Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0LUVB417JLJmxOvYZN7s5j,"Feelin (feat. Spinn & Taso)","Double Cup","DJ Rashad;Spinn;Taso",2013-10-22,270813,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house,drumstep","Hyperdub",0.292,0.82,4,-7.54,1,0.0902,0.00011,0.733,0.329,0.13,159.809,4
spotify:track:1TKinIyzQqDpR8w6qke8r1,"Show U How (feat. Spinn)","Double Cup","DJ Rashad;Spinn",2013-10-22,207466,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.61,0.572,6,-7.008,1,0.053,0.00292,0.576,0.305,0.269,159.977,4
spotify:track:6cQT1AwlDAMo1QufmQgUx2,"Pass That Shit (feat. Spinn & Taso)","Double Cup","DJ Rashad;Spinn;Taso",2013-10-22,258013,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house,drumstep","Hyperdub",0.516,0.513,11,-10.033,0,0.413,0.0123,0.114,0.151,0.454,118.142,4
spotify:track:4rTv4ARpT4Sd72ADEzH5tW,"She a Go (feat. Spinn & Taso)","Double Cup","DJ Rashad;Spinn;Taso",2013-10-22,217733,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house,drumstep","Hyperdub",0.444,0.498,2,-7.631,1,0.199,0.00266,0.0299,0.135,0.303,119.914,4
spotify:track:6Yrbu1pqXmBtlsCpREuAE9,"Only One (feat. Spinn & Taso)","Double Cup","DJ Rashad;Spinn;Taso",2013-10-22,226120,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house,drumstep","Hyperdub",0.597,0.564,2,-8.51,1,0.0797,0.103,0.186,0.118,0.283,119.853,1
spotify:track:6Z458d4Ze8sHEGSz4zu1qw,"Everyday of My Life (feat. DJ Phil)","Double Cup","DJ Rashad;DJ Phil",2013-10-22,196013,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house,jungle,rally house","Hyperdub",0.643,0.784,8,-4.581,1,0.313,0.0603,0.000299,0.0338,0.631,143.641,4
spotify:track:0sjEfES1DOuVq1o5QnHZlE,"I Don't Give a Fuck","Double Cup","DJ Rashad",2013-10-22,157560,0,true,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.632,0.726,6,-8.613,0,0.227,0.0573,0.373,0.257,0.196,119.944,1
spotify:track:2Rp4HkPImXoe9edF3vBzHv,"Double Cup (feat. Spinn)","Double Cup","DJ Rashad;Spinn",2013-10-22,249000,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.595,0.707,7,-8.775,1,0.296,0.102,0.346,0.116,0.441,120.118,3
spotify:track:2eeA9bjZ4RCYC1ceMsmU2N,"Drank, Kush, Barz (feat. Spinn)","Double Cup","DJ Rashad;Spinn",2013-10-22,216560,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.545,0.803,0,-5.247,1,0.0603,0.00413,0.00000352,0.144,0.374,160.199,4
spotify:track:6d1n67uRTEqolUlSBghGBg,"Reggie","Double Cup","DJ Rashad",2013-10-22,218026,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.569,0.687,4,-6.212,1,0.19,0.00175,0.0000957,0.285,0.636,119.008,3
spotify:track:6S51dLXYNHMkhHHhJl699c,"Acid Bit (feat. Addison Groove)","Double Cup","DJ Rashad;Addison Groove",2013-10-22,205160,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house,uk funky,breakbeat,dub techno","Hyperdub",0.797,0.755,7,-5.133,1,0.197,0.0375,0.865,0.105,0.214,160.023,4
spotify:track:4O6h9ZCXQRHLoS6jaUH4oQ,"Leavin (feat. Manny)","Double Cup","DJ Rashad;Manny",2013-10-22,254440,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.454,0.774,7,-8.23,1,0.22,0.00135,0.015,0.0551,0.582,159.946,4
spotify:track:0PNnoNyMZCPMps5eP0bs5S,"Let U No (feat. Spinn)","Double Cup","DJ Rashad;Spinn",2013-10-22,251066,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.632,0.72,5,-8.09,0,0.153,0.0258,0.336,0.0942,0.625,159.93,4
spotify:track:2klIJrmXhf19juJ77zfv11,"I'm Too Hi (feat. Earl)","Double Cup","DJ Rashad;Earl",2013-10-22,179973,0,false,5forty,2013-10-23T04:35:30Z,"footwork,chicago house,miami bass,baltimore club,g-house,blues,classic blues","Hyperdub",0.494,0.73,10,-9.195,0,0.356,0.371,0.0217,0.536,0.17,119.924,4
