Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3s4WwXxQHxadk07CvIdpm4,"Cha Cha Cha 2000","Cha Cha Cha 2000","Prolapse",2025-06-13,179500,3,false,5forty,2025-10-26T09:10:30Z,"noise rock,post-punk,krautrock","Tapete Records",0.391,0.785,0,-6.42,1,0.0316,0.00255,0.000148,0.111,0.652,141.757,4
spotify:track:7uu9k6xfRSn2NjdwJXqWGQ,"B a noBody","Before We Forgot How To Dream","SOAK",2015-06-01,288140,36,false,5forty,2025-10-26T09:12:24Z,"","Rough Trade",0.424,0.268,7,-10.289,1,0.0315,0.905,0.0258,0.157,0.181,124.635,4
spotify:track:167c1Blr84k9YpSCHLNh9m,"On","Inner Song","Kelly Lee Owens",2020-08-28,357240,29,false,5forty,2025-10-26T09:17:59Z,"","Smalltown Supersound",0.694,0.403,7,-12.829,1,0.0421,0.0419,0.723,0.0708,0.376,130.995,4
spotify:track:3jsUC8JiAqVNIX4UWs332s,"Memory Gore","Four Bibles","Hey Colossus",2019-05-17,253979,3,false,5forty,2025-10-26T09:23:45Z,"noise rock,space rock,psychedelic rock,krautrock","Alter",0.29,0.991,2,-3.958,1,0.0685,0.000636,0.96,0.477,0.238,95.55,4
spotify:track:5JPikGNqkUngwpppwRfiFd,"Lawman","The Early Years","Gilla Band",2015-03-30,373864,35,true,5forty,2025-10-26T09:24:54Z,"noise rock,post-punk,industrial rock","Rough Trade",0.53,0.649,5,-8.223,0,0.175,0.0328,0.00735,0.0581,0.458,125.411,4
spotify:track:6JXAXTc4xKGWMM0QZ3mG0G,"Web In Front","Icky Mettle","Archers Of Loaf",1993,124666,0,false,5forty,2025-10-26T09:27:01Z,"noise rock,indie rock","Alias",0.565,0.81,9,-9.389,1,0.0352,0.0148,0.0000121,0.129,0.946,134.909,4
spotify:track:7ibaJQcYuEjvkyab1hRN8D,"Theme From Sparta F.C.","Theme From Sparta F.C. #2","The Fall",2004,230557,33,false,5forty,2025-10-26T09:29:42Z,"post-punk,madchester,new wave,deathrock,proto-punk,cold wave","Take23CD",0.462,0.99,9,-6.005,1,0.161,0.00554,0.222,0.738,0.679,154.895,4
spotify:track:2tHCRnraE3HBGewTsaxhgh,"Teen Age Riot","Daydream Nation (Deluxe Edition)","Sonic Youth",1988,418946,0,false,5forty,2025-10-26T09:31:45Z,"noise rock,grunge,alternative rock,post-punk","Universal Music Ltd.",0.236,0.969,7,-5.529,1,0.0485,0.00571,0.0955,0.0822,0.735,159.415,4
spotify:track:2kHLEvSWSxnynKiKPuMsiY,"Son Of Mustang Ford - 2008 Remastered Version","Raise","Swervedriver",1991-09-30,251840,4,false,5forty,2025-10-26T09:32:23Z,"shoegaze,dream pop,slowcore,noise rock,space rock","Sony BMG Music UK",0.114,0.968,9,-6.311,1,0.107,0.00000372,0.612,0.242,0.15,166.951,4
spotify:track:0i287Q3Gs2WDPVeG31uX4l,"Mad As Snow","The Death of Cool","Kitchens Of Distinction",1992,442306,0,false,5forty,2025-10-26T09:34:02Z,"shoegaze,dream pop,jangle pop","One Little Indian Records",0.405,0.537,2,-14.959,1,0.0317,0.00116,0.0831,0.0736,0.392,122.619,4
spotify:track:78hTdnfnjAvMpFmgnGgkst,"Freeze the Atlantic","When Animals Attack","Cable",1997,167058,13,false,5forty,2025-10-26T09:35:21Z,"mathcore,noise rock","Rhino",0.398,0.759,4,-8.954,1,0.0311,0.0972,0,0.0656,0.7,167.845,4
spotify:track:3LH5BAYksLkP0AWaZ3TgoM,"Everything Flows","A Catholic Education","Teenage Fanclub",1990-06-11,311493,31,false,5forty,2025-10-26T09:36:19Z,"power pop,jangle pop,britpop","Fire Records",0.275,0.895,3,-8.826,1,0.0364,0.0345,0.803,0.0438,0.649,123.271,4
spotify:track:2VzoA2iz7XBTKrDlzAGg9B,"Corduroy","Seamonsters","The Wedding Present",1991,209240,20,false,5forty,2025-10-26T09:37:08Z,"jangle pop,madchester","RCA Camden",0.46,0.783,9,-10.32,1,0.032,0.000231,0.354,0.0823,0.404,89.374,4
spotify:track:4D0geK6VcQ7pmNG046WKbx,"PS Exclusive","Any Other City","Life Without Buildings",2000,256360,34,false,5forty,2025-10-26T09:38:17Z,"","Rough Trade",0.488,0.868,7,-7.971,1,0.0404,0.00655,0.00492,0.0493,0.929,159.37,4
spotify:track:6BWchF8jHCuZ1Ebk9Av4HG,"Grounded","Wowee Zowee","Pavement",1995-04-11,254906,46,false,5forty,2025-10-26T09:38:35Z,"alternative rock,indie","Matador",0.295,0.601,9,-8.512,1,0.029,0.000551,0.129,0.108,0.316,152.286,4
spotify:track:7cIIr1uLfnkV7tBSTUBKKd,"Start Choppin'","Where You Been","Dinosaur Jr.",1993-02-09,340186,50,false,5forty,2025-10-26T09:39:02Z,"noise rock,grunge,alternative rock,power pop","Cherry Red Records",0.376,0.755,2,-7.574,1,0.103,0.00411,0.000766,0.0635,0.572,111.831,4
spotify:track:0NLmRimhANdc9HuqhG7JJm,"Someday I Will Treat You Good","Vivadixiesubmarinetransmissionplot","Sparklehorse",1995-01-01,220893,36,false,5forty,2025-10-26T09:39:54Z,"slowcore","Capitol Records",0.22,0.809,2,-6.769,0,0.0468,0.00543,0.41,0.43,0.408,139.263,4
spotify:track:0hGRlT3PvEVBW6JHuPy12U,"Cockcrow","Here Lies the Body","Aidan Moffat;RM Hubbert;Siobhan Wilson",2018-05-11,215493,9,false,5forty,2025-10-26T09:40:33Z,"spoken word,organic house","Rock Action Records",0.78,0.479,2,-10.761,1,0.0568,0.379,0.0713,0.115,0.681,125.093,4
spotify:track:0btaucYgU9wN0cISK13GxR,"All Compasses Go Wild","Post Neo Anti: Arte Povera In The Forest Of Symbols","Close Lobsters",2020-02-21,247505,7,false,5forty,2025-10-26T09:40:51Z,"jangle pop,power pop","Shelflife",0.331,0.722,7,-11.096,1,0.0303,0.000122,0.642,0.0956,0.538,145.546,4
spotify:track:3VWNKbj9nNhSvKCiaLzyGv,"Alan Is a Cowboy Killer","Mclusky Do Dallas","Mclusky",2002-02-25,249693,26,false,5forty,2025-10-26T09:46:14Z,"noise rock,post-hardcore","Too Pure",0.284,0.941,2,-7.047,1,0.064,0.0000105,0.496,0.254,0.222,111.046,4
spotify:track:0m8Pncj3yut6caEMT3szef,"T.C.R.","T.C.R.","Prolapse",1995-10-23,191600,2,false,5forty,2025-10-26T15:21:03Z,"noise rock,post-punk,krautrock","Prolapse",0.247,0.938,6,-6.917,0,0.13,0.0000382,0.901,0.103,0.621,165.244,1
spotify:track:21vqlbCLLwlWxZX5JPostL,"Super-Electric","Switched On","Stereolab",1992-04-10,322360,27,false,5forty,2025-10-26T17:18:51Z,"art pop,krautrock,post-rock,neo-psychedelic","Too Pure",0.338,0.661,4,-12.472,1,0.0362,0.000452,0.013,0.0808,0.168,143.448,4
