Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4ZTHUVd1LraAIPlYDctRTU,"Live in Berlin","EPM 10","Sandwell District",2011-02-28,518327,3,false,5forty,2013-10-15T22:53:31Z,"dub techno,minimal techno,techno","EPM Music",0.579,0.837,7,-12.502,1,0.0476,0.118,0.91,0.0957,0.0527,130,4
spotify:track:5FPCsBNCoEc9nJVGWd17V2,"Proteus","Sons of Poseidon","Dino Sabatini;Giorgio Gigli",2012-10-22,445734,0,false,5forty,2013-10-16T02:26:28Z,"dub techno,minimal techno,acid techno,techno","Outis Music",0.763,0.713,1,-13.18,1,0.0621,0.00228,0.768,0.081,0.0323,126.008,4
spotify:track:4BPnEbOmXsFOz9PLVIKHKJ,"Indifferent Sight","The Imperceptible Shade Of Illusion","Giorgio Gigli",2011-09-19,365164,0,false,5forty,2013-10-16T02:26:35Z,"dub techno,acid techno,techno","M_REC LTD",0.661,0.562,10,-20.151,0,0.0441,0.28,0.834,0.111,0.0585,126.027,4
spotify:track:3XWaqAIFnBquSZ9Wbo6bLe,"Extrospection","Observation Document #01","Giorgio Gigli",2009-07-17,741891,0,false,5forty,2013-10-16T02:26:35Z,"dub techno,acid techno,techno","Prologue",0.806,0.594,10,-20.266,0,0.0655,0.0434,0.959,0.0951,0.265,126.025,4
spotify:track:0zfOCaFZJ750Yil8p02MB4,"Now I Am Blind And I Can See You","Hier Ist Berlin... 2! - German Electronic Undergound Vol. 5","Obtane",2010-05-21,416744,0,false,5forty,2013-10-16T02:26:49Z,"minimal techno","Tretmuehle",0.631,0.632,4,-15.45,0,0.0433,0.0000569,0.866,0.111,0.183,128.994,4
spotify:track:6cX7FcnOBvZrJi9AeenybI,"Echoes","Inner State","Claudio PRC",2012-04-26,540487,0,false,5forty,2013-10-16T02:27:06Z,"dub techno,minimal techno,techno","Prologue",0.571,0.368,6,-15.221,0,0.0568,0.816,0.94,0.0797,0.105,122.952,4
spotify:track:2ByoG8UMc8RCvhmZRTLt5B,"Black Hole","Inner State","Claudio PRC",2012-04-26,466375,0,false,5forty,2013-10-16T02:27:06Z,"dub techno,minimal techno,techno","Prologue",0.698,0.363,1,-12.949,1,0.0369,0.144,0.886,0.105,0.251,123.005,4
spotify:track:2dpQWZToJKwmjVFh8hGYnS,"Organza - Transparent Dub","Die Faser","Cio D'Or",2009-11-27,317538,0,false,5forty,2013-10-16T02:27:21Z,"dub techno,minimal techno","Prologue",0.798,0.476,6,-18.232,0,0.0643,0.232,0.944,0.126,0.534,130.003,4
spotify:track:0mH3lXsXYRgk4y9NlSgilm,"Psst!","Kimono","Cio D'Or",2007-09-27,428146,0,false,5forty,2013-10-16T02:27:21Z,"dub techno,minimal techno","Motoguzzi Records",0.838,0.279,1,-15.634,1,0.0641,0.0254,0.87,0.108,0.0387,125.01,4
spotify:track:1g5ZsktWvNn3SZm4wrWtWI,"Sequence #1","Inertia #3","Milton Bradley",2011-11-28,298075,0,false,5forty,2013-10-16T02:27:34Z,"acid techno,acid house,dub techno,techno,minimal techno","Delsin Records",0.788,0.906,10,-6.386,0,0.039,0.00241,0.853,0.106,0.116,122.982,4
spotify:track:1qHe00A5dIOnk0liM56gDj,"Trapped In Eternity","Reality Is Wrong","Milton Bradley",2012-10-01,474683,0,false,5forty,2013-10-16T02:27:34Z,"acid techno,acid house,dub techno,techno,minimal techno","Prologue",0.622,0.909,1,-10.737,1,0.0962,0.784,0.939,0.119,0.154,128.01,4
