Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4f2Y2Z2NrJ5hiTOM5N2esp,"On Coming From A Broken Home (Pt. 1)","I’m New Here","Gil Scott-Heron",2010-02-08,140533,0,false,,1970-01-01T00:00:00Z,"spoken word,jazz funk","XL",0.602,0.441,1,-12.372,0,0.26,0.819,0,0.114,0.69,80.352,3
spotify:track:76lCwB3Bu4tNcyXRLGvVba,"Me And The Devil","I’m New Here","Gil Scott-Heron",2010-02-08,213706,0,false,,1970-01-01T00:00:00Z,"spoken word,jazz funk","XL",0.683,0.805,10,-5.526,0,0.0352,0.0136,0.00818,0.103,0.416,83.491,4
spotify:track:1I6I8FkK8bg786dIp2u4fM,"I’m New Here","I’m New Here","Gil Scott-Heron",2010-02-08,213160,0,false,,1970-01-01T00:00:00Z,"spoken word,jazz funk","XL",0.392,0.217,6,-13.656,1,0.0351,0.911,0.274,0.115,0.318,151.46,3
spotify:track:1GNjt6DF5XNPtWe8fcTE81,"Your Soul And Mine","I’m New Here","Gil Scott-Heron",2010-02-08,122400,0,false,,1970-01-01T00:00:00Z,"spoken word,jazz funk","XL",0.54,0.517,4,-13.7,0,0.26,0.248,0.0161,0.0984,0.265,192.207,4
spotify:track:6niSPUQj7slrZWTeipItHZ,"Parents (Interlude)","I’m New Here","Gil Scott-Heron",2010-02-08,18853,0,false,,1970-01-01T00:00:00Z,"spoken word,jazz funk","XL",0.638,0.459,1,-13.169,1,0.934,0.858,0,0.63,0.909,134.999,4
spotify:track:5DKvoYoflkN4UlPosparIo,"I’ll Take Care Of You","I’m New Here","Gil Scott-Heron",2010-02-08,178293,0,false,,1970-01-01T00:00:00Z,"spoken word,jazz funk","XL",0.473,0.372,0,-7.869,0,0.0338,0.863,0.00000647,0.107,0.27,68.311,4
spotify:track:7JVPnB5mvy7KmwzR05G9tj,"Being Blessed (interlude)","I’m New Here","Gil Scott-Heron",2010-02-08,12706,0,false,,1970-01-01T00:00:00Z,"spoken word,jazz funk","XL",0,0.402,8,-8.499,1,0,0.762,0,0.208,0,0,0
spotify:track:5IfH1GTvOZ3if4hsjPO4vV,"Where Did The Night Go","I’m New Here","Gil Scott-Heron",2010-02-08,74333,0,false,,1970-01-01T00:00:00Z,"spoken word,jazz funk","XL",0.718,0.219,1,-12.312,1,0.288,0.226,0.000755,0.145,0.0893,99.855,4
spotify:track:4LN6txVv64Xq4DarlpwbwU,"I Was Guided (Interlude)","I’m New Here","Gil Scott-Heron",2010-02-08,14386,0,false,,1970-01-01T00:00:00Z,"spoken word,jazz funk","XL",0,0.21,1,-13.372,1,0,0.217,0.631,0.128,0,0,0
spotify:track:1TwpzReNcB1Mx689Z5w9iV,"New York Is Killing Me","I’m New Here","Gil Scott-Heron",2010-02-08,269920,0,false,,1970-01-01T00:00:00Z,"spoken word,jazz funk","XL",0.837,0.881,0,-6.427,1,0.293,0.17,0.236,0.197,0.776,103.065,4
