Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1ltShLeWTuDoWzKU7ji8vF,"Mutation","DJ Kenny Ken & DJ SS : World Dance/The Album","Andy C",2001-05-15,174066,0,false,,2011-01-19T08:38:28Z,"drum and bass,jungle","Cleopatra Records",0.669,0.907,10,-5.752,0,0.0896,0.00115,0.123,0.0986,0.808,176.548,4
spotify:track:22M0a4LcMvHExRTB2Upxuw,"Recharge","DJ Kenny Ken & DJ SS : World Dance/The Album","Andy C",2001-05-15,166960,0,false,,2011-01-19T08:38:28Z,"drum and bass,jungle","Cleopatra Records",0.692,0.812,10,-8.723,0,0.0584,0.0874,0.891,0.325,0.649,178.318,4
spotify:track:4pYmgMAeRTWcXNH1I0y3Oq,"Quest","DJ Kenny Ken & DJ SS : World Dance/The Album","Andy C",2001-05-15,141133,0,false,,2011-01-19T08:38:28Z,"drum and bass,jungle","Cleopatra Records",0.666,0.441,10,-7.73,0,0.112,0.00769,0.887,0.202,0.542,177.05,4
spotify:track:2UkqLrgCT5FXW2Q4jdR5IX,"Last Jungle","Ghetto Bass 2","Sub Focus",2010-04-30,219440,0,false,,2011-01-19T08:45:55Z,"drum and bass,liquid funk","",0.478,0.74,5,-7.392,0,0.0384,0.00127,0.882,0.142,0.0506,144.983,4
spotify:track:4NjvTuBlG9A0wvFkWycJFf,"Rock It","Let's Go Crazy","Sub Focus",2009-11-02,303733,0,false,,2011-01-19T08:46:09Z,"drum and bass,liquid funk","New State Music",0.467,0.962,5,-1.775,0,0.0615,0.00131,0.371,0.0936,0.102,173.998,4
spotify:track:1ya4F4AAuuLJZ1l6qB5iEt,"3 Fist Style - Original Remix","3 Fist Style","Datsik",2010-07-20,288108,0,false,,2011-01-19T09:14:41Z,"dubstep,dub,riddim,deathstep,drumstep","Basshead Music",0.56,0.713,7,-5.004,1,0.033,0.000283,0.0197,0.15,0.144,140.029,4
spotify:track:50sH5e0AhEgFkOLpAXL6qn,"3 Fist Style - Serum Remix","3 Fist Style","Datsik",2010-07-20,314057,0,false,,2011-01-19T09:14:41Z,"dubstep,dub,riddim,deathstep,drumstep","Basshead Music",0.5,0.991,6,-0.372,1,0.0708,0.000739,0.00478,0.142,0.815,175.059,4
spotify:track:3aBVxJkwgnO9ozLQUlgCCe,"Southpaw","An-ten-nae Presents Acid Crunk Vol. 2","Datsik",2009-11-27,285226,19,false,,2011-01-19T09:15:15Z,"dubstep,dub,riddim,deathstep,drumstep","Muti Music",0.766,0.688,0,-6.082,1,0.324,0.00835,0.0625,0.0852,0.631,169.909,4
spotify:track:7chFzgOHKDIdQszTlzPZtt,"Gizmo","Gizmo - Single","Datsik",2009-11-17,332571,0,false,,2011-01-19T09:15:15Z,"dubstep,dub,riddim,deathstep,drumstep","Basshead Music",0.58,0.956,9,-6.123,1,0.376,0.014,0.308,0.243,0.622,137.575,4
spotify:track:1bwSlZJIotlKugRUzcQUFd,"Gecko","Gizmo - Single","Datsik",2009-11-17,332571,0,false,,2011-01-19T09:15:15Z,"dubstep,dub,riddim,deathstep,drumstep","Basshead Music",0.811,0.861,1,-8.554,0,0.294,0.0441,0.672,0.144,0.182,140.134,4
spotify:track:1r6joCg95nw0ILOht6oqQC,"Galvanize","Texx Mars EP","Datsik",2009-11-10,281142,0,false,,2011-01-19T09:15:15Z,"dubstep,dub,riddim,deathstep,drumstep","SMOG",0.629,0.725,2,-8.002,1,0.385,0.0062,0.676,0.0717,0.0671,138.74,4
spotify:track:7aYiQH8Hux9mK7bKnVcEnJ,"Texx Mars","Texx Mars EP","Datsik;12th Planet",2009-11-10,332726,0,false,,2011-01-19T09:15:15Z,"dubstep,dub,riddim,deathstep,drumstep,bass music","SMOG",0.75,0.738,0,-7.212,0,0.0598,0.0256,0.146,0.114,0.195,140.043,4
spotify:track:3D2fhQAcgE42LzDdZHIX4h,"That Girl","Dubstep Meditations","Excision",2009-04-07,337660,0,false,,2011-01-19T09:17:55Z,"dubstep,riddim,deathstep,edm,dub,melodic bass,bass music","Full Melt Recordings",0.768,0.875,0,-8.384,1,0.0476,0.0494,0.871,0.167,0.486,140.001,4
spotify:track:5JBmQtCy7usjAqsN9ymIKx,"Wasted","Wasted","Excision",2009-03-16,279200,0,false,,2011-01-19T09:17:55Z,"dubstep,riddim,deathstep,edm,dub,melodic bass,bass music","Rag & Bone Records",0.777,0.957,6,-9.262,0,0.101,0.00351,0.805,0.228,0.351,144.027,4
spotify:track:7tn1TPFJ8fIrLEi3PJtvm5,"Serious Business","Wasted","Excision",2009-03-16,344666,0,false,,2011-01-19T09:17:55Z,"dubstep,riddim,deathstep,edm,dub,melodic bass,bass music","Rag & Bone Records",0.763,0.988,0,-10.088,1,0.0607,0.00137,0.93,0.193,0.696,139.998,4
spotify:track:1ucBhWfbxLURcD5LsU9WeY,"I Love You","OMG","Rusko",2010-06-07,183280,0,false,,2011-01-19T10:43:19Z,"dubstep,drum and bass,dub","Mad Decent/Downtown Music",0.752,0.585,8,-6.167,1,0.05,0.00242,0.0835,0.209,0.204,139.988,4
spotify:track:0Lz4mmq7RMAt6hR53KI8hX,"Kumon Kumon","OMG","Rusko",2010-06-07,205933,0,false,,2011-01-19T10:46:13Z,"dubstep,drum and bass,dub","Mad Decent/Downtown Music",0.714,0.984,1,-3.972,1,0.045,0.00265,0.893,0.2,0.855,139.949,4
spotify:track:5X1xPRi0B6toUUd1GvOGhw,"Oy","OMG","Rusko",2010-06-07,236826,0,false,,2011-01-19T11:05:55Z,"dubstep,drum and bass,dub","Mad Decent/Downtown Music",0.672,0.935,2,-5.448,1,0.0525,0.000132,0.817,0.204,0.341,140.029,4
spotify:track:5BuG7Ebr2LIMbd3saY9EKV,"Fu Manchu - 140 Dubstep Mix","Fu Manchu","Drumsound;Bassline Smith",2010-09-13,277886,0,false,,2012-08-02T04:05:17Z,"drum and bass,jungle","Technique Recordings",0.594,0.958,5,-4.194,1,0.0473,0.000832,0.251,0.772,0.19,140.039,4
spotify:track:5BuG7Ebr2LIMbd3saY9EKV,"Fu Manchu - 140 Dubstep Mix","Fu Manchu","Drumsound;Bassline Smith",2010-09-13,277886,0,false,,2012-08-05T23:29:18Z,"drum and bass,jungle","Technique Recordings",0.594,0.958,5,-4.194,1,0.0473,0.000832,0.251,0.772,0.19,140.039,4
spotify:track:6MiYIZpsBBnhqwHoysUVla,"Where's My Money - Caspa Remix","Where's My Money (Caspa Remix, Tron)","TC",2008-10-06,300293,0,false,,2012-08-06T23:29:22Z,"drum and bass,jungle,bassline","D Style Recordings",0.79,0.806,7,-8.651,0,0.0856,0.0222,0.3,0.0486,0.0749,140.03,4
spotify:track:4TjvI0FY37eTsgoQROPFZQ,"Saxon","Against All Odds","Chase & Status;Kano",2009-02-23,349280,0,false,,2012-08-06T23:36:49Z,"drum and bass,jungle,grime,uk grime","Ram Records",0.661,0.863,6,-3.483,0,0.0514,0.233,0.0093,0.318,0.241,139.996,4
spotify:track:4hT2vWKpA8spxGzkozdeeY,"We Keep It Straight Bombing","Ninja Tune XX Presents King Cannibal: The Way of The Ninja","King Cannibal",2010-11-15,288000,0,false,,2012-08-16T02:36:11Z,"","Ninja Tune",0.667,0.691,1,-12.193,1,0.0721,0.00207,0.0335,0.649,0.344,139.995,4
spotify:track:1noRJ1qRDXxcfX8kwck1s2,"Beelzedub","Wonky","Orbital",2012-03-30,294826,0,false,,2012-08-20T05:18:32Z,"idm,big beat,acid house,breakbeat","ACP Recordings Ltd.",0.358,0.829,0,-7.042,1,0.2,0.000335,0.834,0.126,0.453,74.984,4
spotify:track:0QIYINh2AwmOmdu8CRYvlw,"Bonfire","Rage Valley","Knife Party",2012,272077,60,false,,2012-08-25T06:53:34Z,"dubstep,moombahton,edm,dub","WM UK",0.536,0.944,1,-3.029,1,0.0867,0.000117,0.00345,0.353,0.589,174.031,4
spotify:track:5wJzUrgsjB2BJjspzT8E88,"Get Free - Andy C Remix","Get Free","Major Lazer;Amber of Dirty Projectors",2012-05-20,331363,0,false,,2012-08-30T01:25:40Z,"moombahton","Downtown Records",0.531,0.941,11,-2.615,0,0.0978,0.00415,0.232,0.0914,0.473,175.957,4
