Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:77NPVCsoWjqebN8dOM1NLd,"The Disney Afternoon","St. Catherine","Ducktails",2015-07-24,206346,0,false,5forty,2015-08-14T10:01:35Z,"chillwave,baroque pop,dream pop","Domino Recording Co",0.588,0.5,9,-7.025,0,0.0312,0.136,0.897,0.0878,0.392,117.918,3
spotify:track:5CoVJqvPCvPlYrq1qvAv3W,"Headbanging In The Mirror","St. Catherine","Ducktails",2015-07-24,213966,0,false,5forty,2015-08-14T10:01:35Z,"chillwave,baroque pop,dream pop","Domino Recording Co",0.581,0.568,4,-6.352,0,0.0291,0.00756,0.44,0.0572,0.84,104.308,4
spotify:track:3U2yLM1pyAuyJBgdfla6F2,"Into The Sky","St. Catherine","Ducktails",2015-07-24,212964,0,false,5forty,2015-08-14T10:01:35Z,"chillwave,baroque pop,dream pop","Domino Recording Co",0.496,0.694,9,-6.296,0,0.0302,0.00544,0.454,0.0862,0.564,107.008,4
spotify:track:1BnJ9UUNEmLDKwWsaQvX4i,"Heaven's Room","St. Catherine","Ducktails",2015-07-24,278486,0,false,5forty,2015-08-14T10:01:35Z,"chillwave,baroque pop,dream pop","Domino Recording Co",0.473,0.601,2,-8.067,0,0.028,0.416,0.519,0.215,0.283,110.021,3
spotify:track:5WqUlPQiqS4fZTPcPcYrSE,"St. Catherine","St. Catherine","Ducktails",2015-07-24,195300,0,false,5forty,2015-08-14T10:01:35Z,"chillwave,baroque pop,dream pop","Domino Recording Co",0.515,0.661,0,-6.905,1,0.0305,0.00921,0.183,0.0889,0.778,112.032,4
spotify:track:69aaUSgU0Si3iR2KE2jzlS,"The Laughing Woman","St. Catherine","Ducktails",2015-07-24,205631,0,false,5forty,2015-08-14T10:01:35Z,"chillwave,baroque pop,dream pop","Domino Recording Co",0.572,0.656,5,-5.94,1,0.0299,0.0661,0.00252,0.0947,0.514,119.976,4
spotify:track:6vjoyzppssk85JrpGCaZED,"Surreal Exposure","St. Catherine","Ducktails",2015-07-24,159350,0,false,5forty,2015-08-14T10:01:35Z,"chillwave,baroque pop,dream pop","Domino Recording Co",0.497,0.803,7,-4.865,1,0.0337,0.0599,0.000136,0.0884,0.552,130.031,4
spotify:track:3hahGXklxgnfliCl0NCKmD,"Church","St. Catherine","Ducktails",2015-07-24,191632,0,false,5forty,2015-08-14T10:01:35Z,"chillwave,baroque pop,dream pop","Domino Recording Co",0.682,0.764,9,-5.933,0,0.0275,0.216,0.0274,0.184,0.789,109.993,3
spotify:track:0SVkbHQ4EbV2iaLf9p3YCa,"Medieval","St. Catherine","Ducktails",2015-07-24,199812,0,false,5forty,2015-08-14T10:01:35Z,"chillwave,baroque pop,dream pop","Domino Recording Co",0.514,0.705,9,-6.4,0,0.0244,0.417,0.0305,0.21,0.39,97.854,4
spotify:track:13T0Dz9eoTXwdfLFNCb26y,"Krumme Lanke","St. Catherine","Ducktails",2015-07-24,186143,0,false,5forty,2015-08-14T10:01:35Z,"chillwave,baroque pop,dream pop","Domino Recording Co",0.483,0.357,0,-9.834,1,0.0281,0.304,0.247,0.108,0.105,113.241,4
spotify:track:5Rr8TN5uPDytUjjRrhFuAO,"Reprise","St. Catherine","Ducktails",2015-07-24,255572,0,false,5forty,2015-08-14T10:01:35Z,"chillwave,baroque pop,dream pop","Domino Recording Co",0.428,0.614,7,-9.411,1,0.0252,0.718,0.932,0.21,0.483,95.275,3
