Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7Blr620z0K1HzUaq5qeKuG,"Jukebox","Noctiluca","Dunes",2012-03-06,202463,0,false,,2012-06-27T19:19:01Z,"","Post Present Medium",0.372,0.853,2,-6.122,1,0.0378,0.0000583,0.809,0.111,0.785,130.639,4
spotify:track:6qdmgiJbWvv6eu7GWrdszf,"Lonely Palm","Noctiluca","Dunes",2012-03-06,178691,0,false,,2012-06-27T19:19:01Z,"","Post Present Medium",0.366,0.869,9,-6.271,1,0.0448,0.0042,0.862,0.299,0.689,122.79,4
spotify:track:52ChcNqGvcobIoFYIWJy3L,"Vertical Walk","Noctiluca","Dunes",2012-03-06,281274,0,false,,2012-06-27T19:19:01Z,"","Post Present Medium",0.479,0.907,2,-5.925,1,0.0328,0.00507,0.501,0.283,0.715,115.482,4
spotify:track:3incebNjJTyRSnP0xgyhMe,"Red Gold","Noctiluca","Dunes",2012-03-06,153927,0,false,,2012-06-27T19:19:01Z,"","Post Present Medium",0.359,0.879,9,-5.142,1,0.0408,0.00538,0.718,0.439,0.647,140.375,4
spotify:track:53VKxJ5JVEklHYD6M4trsb,"Living Comfortably","Noctiluca","Dunes",2012-03-06,170410,0,false,,2012-06-27T19:19:01Z,"","Post Present Medium",0.246,0.909,4,-5.541,1,0.0547,0.282,0.881,0.125,0.705,119.995,4
spotify:track:2HcTs4qzUCwCg1AS1w0f78,"Falling","Noctiluca","Dunes",2012-03-06,240549,0,false,,2012-06-27T19:19:01Z,"","Post Present Medium",0.198,0.903,9,-3.914,1,0.0455,0.223,0.592,0.345,0.391,132.116,3
spotify:track:4JUHeLtzP2FtjuoM3fIBYr,"Shadow","Noctiluca","Dunes",2012-03-06,265627,0,false,,2012-06-27T19:19:01Z,"","Post Present Medium",0.25,0.889,9,-5.149,1,0.0352,0.0163,0.01,0.156,0.319,128.03,4
spotify:track:7qqy77WIJdVeCj7ouraGRj,"Cameron","Noctiluca","Dunes",2012-03-06,220539,0,false,,2012-06-27T19:19:01Z,"","Post Present Medium",0.267,0.94,7,-5.292,1,0.0476,0.0041,0.849,0.209,0.431,132.736,4
spotify:track:0DrrfsCWCm0Olqxjb8qMqV,"The Spark","Noctiluca","Dunes",2012-03-06,136503,0,false,,2012-06-27T19:19:01Z,"","Post Present Medium",0.4,0.966,9,-3.987,1,0.043,0.0000525,0.912,0.0732,0.865,127.77,4
spotify:track:1hBRtsz7Q1hEhY9k7tgWyb,"Minnow & The Machine","Noctiluca","Dunes",2012-03-06,241124,0,false,,2012-06-27T19:19:01Z,"","Post Present Medium",0.233,0.901,2,-5.497,1,0.0417,0.0328,0.559,0.171,0.563,131.585,4
spotify:track:6lpVzybak9r3I2xNwMWEzU,"Tied Together","Noctiluca","Dunes",2012-03-06,220565,0,false,,2012-06-27T19:19:01Z,"","Post Present Medium",0.319,0.922,9,-4.035,1,0.0537,0.0255,0.91,0.0878,0.214,133.747,4
