Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6R59BCf0WWaloEXggSCpS6,"Here Comes The Judge - Live","Turning Japanese - Best Of The Vapors","The Vapors",1996-11-11,395493,4,false,5forty,2016-11-04T08:21:15Z,"new wave,power pop","RT Industries",0.476,0.811,4,-11.172,1,0.0437,0.00468,0.00354,0.403,0.568,90.922,4
spotify:track:1NyTUDcWBYPCUxeY3UKbpD,"Stoned and Starving","Light Up Gold","Parquet Courts",2013-04-15,311680,0,false,5forty,2016-11-04T08:21:42Z,"post-punk,indie rock,garage rock","What's Your Rupture",0.234,0.882,5,-7.427,1,0.0566,0.252,0.88,0.117,0.277,169.724,4
spotify:track:30ESV24UGN1p3ijs3fglCG,"Trad","Thriller","Part Chimp",2009-09-21,264093,0,true,5forty,2016-11-04T08:22:13Z,"noise rock,sludge metal,stoner metal,stoner rock","Rock Action Records",0.138,0.907,7,-5.276,1,0.054,0.00000408,0.88,0.218,0.348,141.975,4
spotify:track:6YKtSI3q8vwZizm3x2trLd,"New Town Velocity","The Messenger","Johnny Marr",2013,311613,0,false,5forty,2016-11-04T08:22:52Z,"","BMG Rights Management (UK) Limited",0.493,0.8,2,-6.138,0,0.0325,0.0000323,0.472,0.127,0.579,127.317,4
spotify:track:00LsUQO873qCT7ClS1G8JP,"Open Mind","Open Mind","April",2016-10-21,234887,0,false,5forty,2016-11-04T08:23:20Z,"","Killing Moon Records",0.297,0.949,5,-2.258,0,0.0808,0.0011,0.574,0.385,0.353,144.905,4
spotify:track:0Som6QniLDAfPwRu5u5ma7,"Just Lookin'","Just Lookin'","The Charlatans",1995-04-24,234866,0,false,5forty,2016-11-04T08:23:51Z,"madchester,britpop","Beggars Banquet",0.351,0.813,9,-5.559,1,0.0338,0.000352,0.000388,0.228,0.481,177.58,4
spotify:track:37uRvjD1JPmcxsFJGIhm33,"Get Away","Yuck","Yuck",2011-01-01,214906,30,false,5forty,2016-11-04T08:24:09Z,"noise rock,shoegaze","EMI",0.473,0.698,9,-2.265,1,0.0373,0.00222,0.429,0.362,0.553,132.982,4
spotify:track:5PveEOxkpNQAA8tuMhMDLZ,"A Very Special Day","Treehouse","The Grapes Of Wrath",1987-10-01,240651,6,false,5forty,2016-11-04T08:24:43Z,"jangle pop,power pop","EMI Music Canada",0.506,0.759,2,-11.43,1,0.036,0.0701,0.000108,0.198,0.699,142.032,4
spotify:track:2WM4BG1AsgEhR2oixLvx00,"Nevermore","Nevermore","The Soundtrack Of Our Lives",2001-08-13,201666,1,false,5forty,2016-11-04T08:25:46Z,"neo-psychedelic,swedish pop","WM Sweden",0.482,0.908,0,-4.579,0,0.031,0.0373,0.0269,0.193,0.558,133.799,4
spotify:track:2EURyqU0ToGmh8yq4PVInE,"All Those Who Would Not Go Home Tonight","Gardensouls","mandarinaduck",2016-03-28,236487,1,false,5forty,2016-11-04T08:26:19Z,"shoegaze,jangle pop","Geertruida",0.208,0.765,6,-4.615,0,0.0627,0.0000207,0.915,0.17,0.472,78.046,4
spotify:track:2SnFj3yMOqxaRdByzvYFfv,"Hearts And Crosses","Atta Girl","Heavenly",1993-01-01,242066,0,false,5forty,2016-11-04T08:26:39Z,"jangle pop,riot grrrl","Sarah Records",0.4,0.727,9,-12.131,1,0.0562,0.0273,0.0000424,0.0799,0.961,186.317,4
spotify:track:0yMiHx94E8XCtQqRN9m22V,"The Opening Taste","Y'All Get Scared Now, Ya Hear!","The Reindeer Section",2001-08-20,149226,0,false,5forty,2016-11-04T08:27:16Z,"","[PIAS] Recordings Catalogue",0.618,0.421,7,-13.611,1,0.0372,0.634,0.119,0.111,0.284,124.52,3
spotify:track:2Ip6iqnc82nyn8v3AZSC7Z,"Tina This Is Matthew Stone","Pointless Walks To Dismal Places","Prolapse",1994-01-01,432253,0,false,5forty,2016-11-04T08:28:20Z,"noise rock,post-punk,krautrock","Cherry Red Records",0.31,0.883,10,-9.69,1,0.253,0.00443,0.194,0.388,0.366,175.544,4
spotify:track:3ENqlzNNLuosNozbgWQrqb,"This Moment","Waiting for the Rain to Fall","Under Electric Light",2011-02-21,263373,0,false,5forty,2016-11-04T08:29:50Z,"shoegaze,dream pop","Under Electric Light",0.21,0.66,6,-6.686,1,0.0371,0.283,0.372,0.111,0.221,143.88,5
spotify:track:43f366wSskLZmvcd5iO3M8,"The Seams","Meet the Seams","The Seams",2016-10-28,164665,0,false,5forty,2016-11-04T08:30:36Z,"jangle pop,shoegaze","Hand Drawn Dracula",0.468,0.877,2,-4.554,1,0.0311,0.000873,0.0141,0.0923,0.707,127.302,4
