Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6gYSoEX4QZewydQoC776Ap,"Open Your Heart","Open Your Heart","The Men",2012-03-06,220840,0,false,sw260369,2016-07-10T19:32:26Z,"noise rock,garage rock","Sacred Bones Records",0.249,0.946,7,-3.268,1,0.0866,0.000732,0.477,0.084,0.185,90.35,4
spotify:track:0ia3y9oe24ajAFwB8ISYPL,"1997, Passing in the Hallway","Courting Strong","Martha",2014-05-26,180113,11,false,sw260369,2016-07-10T19:32:26Z,"indie punk,queercore,power pop","Fortuna POP!",0.358,0.86,2,-2.95,1,0.0648,0.000595,0.0000321,0.193,0.826,178.667,4
spotify:track:0iwvgz7kQAnF9DREWhg49g,"Heavenly Pop Hit","Submarine Bells","The Chills",1990,208533,29,false,sw260369,2016-07-10T19:32:26Z,"jangle pop","Rhino/Slash",0.632,0.578,9,-10.474,0,0.0302,0.271,0,0.13,0.912,115.399,4
spotify:track:7sKxp29exJjx58qM9FeJ7u,"Summer Lanes","A Word In Your Ear","Alfie",2002-03-25,276600,0,false,sw260369,2016-07-10T19:32:26Z,"neo-psychedelic,tech house,britpop","Twisted Nerve Recordings",0.271,0.931,9,-5.301,1,0.0488,0.00409,0.562,0.133,0.636,156.024,4
spotify:track:0FqPngxZEb1ZLA2E4vfvdl,"Regina","Regina","The Sugarcubes",1989,279066,0,false,sw260369,2016-07-10T19:32:26Z,"","One Little Indian Records",0.562,0.714,11,-12.22,0,0.0371,0.0707,0,0.288,0.565,94.879,4
spotify:track:2LDdO3rl3ktpUQzHqj8qpJ,"I'm Not Giving Up","I Do Not Love You","Small Factory",1993-09-30,198333,4,false,sw260369,2016-07-10T19:32:26Z,"jangle pop,ballroom vogue","Spinart",0.391,0.558,7,-11.806,1,0.027,0.308,0.0000586,0.254,0.617,97.324,4
spotify:track:3qnU75juDIxEEUwNMFSPcY,"Running","Running - EP","Dan Donnelly",2010-10-03,228280,0,false,sw260369,2016-07-10T19:32:26Z,"celtic punk,folk punk","IRL",0.508,0.737,0,-6.978,1,0.0299,0.168,0.787,0.108,0.604,174.002,4
spotify:track:51Iwd3Y1DY6QAzne0klqi0,"Pristine Christine","Stardust","The Sea Urchins",1992,168626,0,false,sw260369,2016-07-10T19:32:26Z,"","Sarah Records",0.319,0.805,2,-9.063,1,0.0292,0.000862,0.946,0.332,0.952,165.908,4
spotify:track:5tK31pGyjFBTsnzKzcNaza,"Higher Than the Sun","Screamadelica","Primal Scream",1991-09-23,218293,0,false,sw260369,2016-07-10T19:32:26Z,"madchester,britpop,alternative dance","Sony Music UK",0.519,0.824,1,-8.742,1,0.0648,0.0184,0.104,0.0666,0.389,81.34,4
spotify:track:6mvUEZjOYQ5QbXlWv9KQ4Y,"The Only Place","The Only Place","Best Coast",2012-05-14,162666,0,false,sw260369,2016-07-10T19:32:26Z,"surf rock","Wichita Recordings",0.55,0.806,7,-6.56,1,0.03,0.0015,0.000119,0.192,0.716,105.457,4
spotify:track:3yxFhuH2cXicfXVvO3bluG,"This Is Not A Song","Trains, Boats and Planes","The Frank And Walters",1993-04-05,211560,0,false,sw260369,2016-07-10T19:32:26Z,"jangle pop,madchester","Setanta",0.489,0.648,7,-12.126,1,0.0294,0.00162,0,0.089,0.559,111.336,4
spotify:track:2zjvvSTB35nRaVYzzbAzvJ,"Making The Most Of..","Homegrown","Dodgy",1994-01-01,243573,0,false,sw260369,2016-07-10T19:32:26Z,"britpop,madchester","A&M",0.398,0.867,4,-7.372,1,0.0383,0.000521,0,0.206,0.57,132.093,4
spotify:track:3OdLF91U19bI7nMw8wHnE3,"After Hours - Bonus Track Version","The Singles","The Bluetones",2002-01-01,212666,0,false,sw260369,2016-07-10T19:32:26Z,"britpop,madchester","EMI",0.753,0.628,2,-8.233,1,0.0278,0.0181,0.00005,0.0699,0.759,99.032,4
spotify:track:4NO5Ungg5r3aJ8upsDSBtw,"I Keep Thinking About (A New Thing)","Plumb","Field Music",2012-02-14,196413,0,false,sw260369,2016-07-10T19:32:26Z,"","Memphis Industries",0.558,0.74,11,-6.981,0,0.0441,0.178,0.0000334,0.19,0.714,119.724,4
spotify:track:5vhEIPQww4g2A8zFgkDsQs,"Hello Sunshine","Songbook","Super Furry Animals",2004-10-04,219560,0,false,sw260369,2016-07-10T19:32:26Z,"britpop,neo-psychedelic","Sony Music UK",0.292,0.654,2,-7.08,1,0.0392,0.182,0.000571,0.107,0.376,152.584,4
spotify:track:1BFPC1i33WksNPt9BEmvrx,"The Pop Singer's Fear of the Pollen Count - 1999 Best Of Version","A Secret History… The Best Of The Divine Comedy","The Divine Comedy",1999-08-30,234880,0,false,sw260369,2016-07-10T19:32:26Z,"baroque pop,britpop,comedy","Divine Comedy Records",0.69,0.897,7,-5.469,1,0.0516,0.0559,0,0.0325,0.601,123.103,4
spotify:track:2zUC9oPkjOO6gjwsQMupqk,"Market Square","Love Is Not Rescue","Chris T-T",2010-03-15,185946,0,false,sw260369,2016-07-10T19:32:26Z,"folk punk,anti-folk","Xtra Mile Recordings",0.774,0.571,2,-6.059,1,0.0295,0.714,0,0.109,0.764,131.967,4
spotify:track:0XUxMs4a4XZlShJcKNCbYT,"Trampolene","Saint Julian (Expanded Edition)","Julian Cope",1987,218226,30,false,sw260369,2016-07-10T19:32:26Z,"neo-psychedelic,jangle pop","UMC (Universal Music Catalogue)",0.441,0.936,9,-6.716,1,0.0603,0.0417,0.0000261,0.314,0.563,169.846,4
spotify:track:64otvDsAAAmLVTSEM2FYSW,"Movin' on Up","Screamadelica","Primal Scream",1991-09-23,231240,0,false,sw260369,2016-07-10T19:32:26Z,"madchester,britpop,alternative dance","Sony Music UK",0.512,0.925,0,-6.654,0,0.048,0.0998,0.000465,0.112,0.162,94.258,4
