Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:35p0Z5yZDogaXoWXhMVEv4,"Can't Do Without You","Our Love","Caribou",2014-10-03,236400,60,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"idm","City Slang",0.456,0.404,0,-9.1,1,0.0601,0.772,0.777,0.78,0.48,128.028,4
spotify:track:0Z57YWES04xGh3AImDz6Qr,"Real Love Baby","Real Love Baby","Father John Misty",2016-07-26,189293,76,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"","Sub Pop Records",0.417,0.686,7,-6.484,1,0.0373,0.0955,0.0287,0.0989,0.625,204.113,4
spotify:track:2XIJnykS38qV29dEoEMBKl,"I Do This All The Time","Prioritise Pleasure","Self Esteem",2021-10-22,293173,45,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"","Fiction",0.686,0.65,10,-8.079,0,0.111,0.00877,0.0000934,0.362,0.615,92.007,4
spotify:track:2zs0Oae871mUHpS0iOMJ7O,"Afterlife","Afterlife","Sharon Van Etten",2024-10-23,248215,0,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"","Jagjaguwar",0.606,0.658,2,-7.523,1,0.0284,0.33,0.0128,0.11,0.205,97.981,4
spotify:track:7LB1G3aIem48mHFQrDjdaV,"One More Second","Serpentine Prison (Deluxe Edition)","Matt Berninger",2021-03-12,322573,49,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"","Concord Records",0.614,0.629,8,-9.568,0,0.0467,0.357,0.00468,0.113,0.701,82.983,4
spotify:track:64mpPHhJIs1Fzlk1n7b9Kn,"Empty And Silent (feat. King Krule)","The Sunset Violent","Mount Kimbie;King Krule",2024-04-05,367954,49,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"","Warp Records",0.441,0.571,6,-8.892,1,0.0505,0.559,0.102,0.0976,0.191,154.586,3
spotify:track:5Rb1SPunxB1aKDfaYQLwI7,"Besties","Besties","Black Country, New Road",2025-01-30,216757,40,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"art rock,post-rock","Ninja Tune",0.463,0.582,5,-6.868,1,0.0305,0.0445,0.0000108,0.113,0.465,145.86,4
spotify:track:6iKRB4SGZp57HsrMLVovL8,"Run To Your Mama","World Music","Goat",2012-08-20,142480,38,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"neo-psychedelic,psychedelic rock,space rock,stoner rock","Rocket Recordings",0.399,0.903,2,-4.272,1,0.0805,0.339,0.843,0.121,0.546,206.487,4
spotify:track:70zqspCXLvLHsBh1Pl7Izc,"Terra","The New Sound","Geordie Greep",2024-10-04,258463,48,true,end-of-the-road-festival,2025-02-13T08:58:17Z,"art rock","Rough Trade",0.604,0.758,7,-7.625,1,0.102,0.427,0.0000123,0.0836,0.556,102.378,4
spotify:track:4UAF6dCVoJcWZaoOCRKfxD,"Fragment Two","Field of Reeds","These New Puritans",2013-06-10,270543,21,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"post-rock,new rave,art rock","Infectious Music",0.557,0.357,1,-13.851,0,0.0274,0.479,0.753,0.107,0.14,95.443,4
spotify:track:7oNOKWpTqTnTJeyLwkwWqN,"better","still slipping vol. 1","Joy Orbison;Léa Sen",2021-08-13,301933,48,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"uk garage","XL Recordings",0.734,0.585,8,-13.899,0,0.0535,0.421,0.443,0.0919,0.144,124.001,4
spotify:track:1appKZZwq0t8cBeovLBPKi,"they told us it was hard, but they were wrong.","acts of rebellion","Ela Minus",2020-10-23,360987,33,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"electropop","Domino Recording Co",0.536,0.648,2,-9.991,0,0.0447,0.0416,0.692,0.11,0.147,129.406,4
spotify:track:30uvCVEYqgktyLfDcI76Hx,"Doused","Oshin","DIIV",2012-06-26,222973,53,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"shoegaze,dream pop","Captured Tracks",0.376,0.868,5,-4.914,0,0.0377,0.0677,0.762,0.0645,0.742,169.968,4
spotify:track:2a6UrsOfWH65BBo9CZz9km,"Demon","Volume II","Sad Night Dynamite;Moonchild Sanelly",2022-04-07,217506,45,true,end-of-the-road-festival,2025-02-13T08:58:17Z,"gqom","Parametric/Atlantic",0.793,0.555,1,-8.323,1,0.13,0.145,0.0688,0.18,0.372,99.013,4
spotify:track:67gNdta1qUt62Q2heUbKsK,"Not Too Soon","The Real Ramona","Throwing Muses",1991-02-18,190160,34,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"riot grrrl","4AD",0.446,0.906,4,-13.128,1,0.0353,0.00231,0.889,0.151,0.899,154.177,4
spotify:track:1eNcqUpF7DBhN0edqTMuIa,"All the Tired Horses","All the Tired Horses","Lisa O'Neill",2022-04-03,192000,45,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"","Rough Trade",0.334,0.206,11,-11.941,0,0.0363,0.895,0.00886,0.116,0.128,102.34,4
spotify:track:0WmVoQjWbJ1TX8pAZ8Rq0j,"On Tonight","Bite Down","Rosali",2024-03-22,257825,1,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"","Merge Records",0.748,0.484,0,-12.052,1,0.0287,0.0977,0.303,0.0816,0.898,135.111,4
spotify:track:1zYA5cNkQnFyyVOZaY7lqO,"Movementt","Movementt","Emma-Jean Thackray",2020-03-04,213540,42,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"nu jazz,acid jazz,indie jazz","Movementt",0.705,0.719,8,-8.329,0,0.0822,0.00629,0.603,0.111,0.927,118.11,4
spotify:track:2NJGAT43AvS7BQvn2017yS,"Hey Moon","We Must Become the Pitiless Censors of Ourselves","John Maus",2011-06-28,248706,47,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"cold wave,baroque pop,darkwave","Ribbon Music",0.573,0.639,0,-7.143,1,0.0247,0.784,0.633,0.0923,0.24,89.575,4
spotify:track:4RXnTpeP4CvkbGtOx6sN3v,"You Let My Tyres Down","A Laughing Death in Meatspace","Tropical Fuck Storm",2018-05-04,341233,39,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"noise rock,post-punk","Joyful Noise Recordings",0.296,0.579,2,-5.83,1,0.0418,0.00383,0,0.108,0.307,132.895,4
spotify:track:5aLD8CPaEu3Cj9ZcAqWWA6,"Sports","Street Worms","Viagra Boys",2018-09-28,237546,57,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"post-punk,egg punk","YEAR0001",0.425,0.769,2,-4.765,1,0.0465,0.00147,0.266,0.641,0.903,129.452,4
spotify:track:2vcv0Aagjdd3mxkYDSqWXq,"Fucking Wizardry","Prioritise Pleasure","Self Esteem",2021-10-22,232400,47,true,end-of-the-road-festival,2025-02-13T08:58:17Z,"","Fiction",0.739,0.856,0,-5.573,1,0.0746,0.0228,0,0.0763,0.589,125.077,4
spotify:track:6ebFwjg7AyBUjFdOTZLIU8,"She Cleans Up","Mahashmashana","Father John Misty",2024-11-22,266470,40,true,end-of-the-road-festival,2025-02-13T08:58:17Z,"","Bella Union",0.663,0.89,5,-4.291,1,0.0584,0.00238,0.00824,0.158,0.715,119.985,4
spotify:track:5jZoYp0P8ML7AxkS3tQz3j,"Seventeen","Remind Me Tomorrow","Sharon Van Etten",2019-01-18,265920,61,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"","Jagjaguwar",0.538,0.774,5,-7.359,1,0.0484,0.0164,0.265,0.0685,0.249,127.107,4
spotify:track:39hX87e2Ku7elpi5eBYZKM,"Come Find Me","Honey","Caribou",2024-10-04,236332,43,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"idm","City Slang",0.7,0.59,9,-7.363,0,0.0451,0.00364,0.35,0.0578,0.708,129.985,4
spotify:track:5bGMMNxjvlledmzq9dItvf,"Existe Uma Voz","Curyman","Rogê",2023-03-03,225826,53,false,end-of-the-road-festival,2025-04-24T07:53:48Z,"samba","Diamond West Records",0.77,0.738,4,-6.686,0,0.0862,0.286,0.801,0.0749,0.895,90.553,4
spotify:track:75gwWphI9gXlNV0xDyixMw,"Marilyn","Love What Survives","Mount Kimbie;Micachu",2017-09-08,251356,48,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"","Warp Records",0.277,0.521,0,-10.827,0,0.0415,0.354,0.156,0.0982,0.306,179.949,3
spotify:track:4Wrd7TpAgRmlUtcbpJCW3T,"flight fm","flight fm","Joy Orbison",2024-01-17,247820,50,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"uk garage","XL Recordings",0.797,0.626,9,-7.923,1,0.0455,0.00566,0.492,0.0922,0.0815,140.001,4
spotify:track:4PnekQ16RE2bFx4e9dYOsx,"Black Hole (feat. Reggie Watts)","Black Hole (feat. Reggie Watts)","Emma-Jean Thackray;Reggie Watts",2024-11-14,252026,23,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"nu jazz,acid jazz,indie jazz,comedy,jazz house","Parlophone UK",0.679,0.706,9,-6.682,0,0.209,0.435,0.00515,0.621,0.656,119.996,4
spotify:track:077nFid4dzoIfcwwQ4A1Nj,"Goatbrain","Goat","Goat",2024-10-11,246600,30,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"neo-psychedelic,psychedelic rock,space rock,stoner rock","Rocket Recordings",0.73,0.903,6,-8.205,0,0.0718,0.212,0.574,0.103,0.89,94.614,4
spotify:track:0lYWAp40vf0IQSenjwtqM5,"We Want War","Hidden","These New Puritans",2010-01-18,443120,25,false,end-of-the-road-festival,2025-02-13T08:58:17Z,"post-rock,new rave,art rock","Domino Recording Co",0.621,0.597,1,-8.309,1,0.0419,0.0417,0.478,0.23,0.194,100.019,4
