Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3EPkZ3xV2ZmqkZ04m7GVp2,"Dirty Words","Being the girl","Linn Koch-Emmery",2021-05-07,193333,10,false,eio40,2021-06-02T13:31:16Z,"","Boys tears",0.577,0.922,10,-6.146,1,0.0577,0.00174,0.466,0.351,0.762,131.963,4
spotify:track:1RfzPfUj1zKI8Pz4R0QJrI,"Southern Eyes","Southern Eyes","The Party Slogan",2021-04-09,257000,0,true,eio40,2021-05-28T17:14:21Z,"","The Party Slogan",0.211,0.425,4,-12.988,0,0.0457,0.0000204,0.0796,0.523,0.0702,152.939,4
spotify:track:1slp73zleDK0Mb7HMhRdf5,"Greater Expectations","Greater Expectations","Wesley Gonzalez;Rose Elinor Dougall",2021-05-10,193637,0,false,eio40,2021-06-01T13:04:10Z,"","Moshi Moshi Records",0.634,0.786,1,-3.843,1,0.0296,0.12,0,0.0966,0.812,100.99,4
spotify:track:3nrPjcDBZUWM7vOXud8iG3,"Depend On Me","Depend On Me","loulou",2021-05-28,246094,0,false,eio40,2021-06-03T09:41:25Z,"","loulou",0.379,0.926,2,-5.709,1,0.0637,0.0171,0.831,0.456,0.391,77.81,4
spotify:track:2YeaT0rwCdrebC5mulnUxP,"For Everything You Are","Choirs to Heaven","Lea Porcelain",2021-05-21,377373,7,false,eio40,2021-06-01T10:23:17Z,"","LEA PORCELAIN RECORDINGS",0.466,0.828,9,-4.762,0,0.036,0.0408,0.0848,0.174,0.203,107.97,4
spotify:track:75VOH5IZO28qMcEMFwfFie,"Through A Glass Darkly Pt.I","Autocalm","The Nagging Doubts",2021-04-21,267375,2,false,eio40,2021-06-03T09:38:28Z,"","Scenic Drive",0.419,0.851,4,-5.449,1,0.0382,0.00138,0.00718,0.123,0.461,160.076,4
spotify:track:0xgyfWBj9SYY3HbIlOPsfQ,"Simpleton","What's the Rush","Cold Moon",2021-05-07,180958,0,false,eio40,2021-06-01T13:17:39Z,"","Pure Noise Records",0.603,0.724,8,-7.456,0,0.0253,0.00843,0.423,0.264,0.558,129.954,4
spotify:track:7pFNxqezcFwJECOhf605yO,"Reclaim These Streets","Reclaim These Streets","Loud Women",2021-05-14,262198,0,false,eio40,2021-06-03T09:53:33Z,"","Loud Women",0.481,0.842,5,-7.399,0,0.038,0.025,0,0.11,0.469,84.921,4
spotify:track:6uquinYefC718EpM5Ad30t,"So Long For This","Days Go By","Cheval Sombre;Sonic Boom",2021-05-28,360092,0,false,eio40,2021-06-01T12:48:31Z,"space rock,neo-psychedelic","Sonic Cathedral",0.235,0.306,3,-9.487,1,0.0323,0.81,0.00771,0.122,0.102,98.395,4
spotify:track:6LqGGX6csEr35xYFINiAA1,"Fear Colours","Fear Colours","LoneLady",2021-05-17,275709,0,false,eio40,2021-06-06T15:19:56Z,"","Warp Records",0.898,0.783,11,-5.19,1,0.0625,0.113,0.00669,0.0628,0.97,124.971,4
spotify:track:6oQKyvtHZIWAE2k0VaLDer,"END","WINK","CHAI",2021-05-21,135573,14,false,eio40,2021-06-01T09:54:34Z,"","OTEMOYAN record",0.707,0.987,8,-3.79,1,0.127,0.00805,0.0000126,0.275,0.685,119.952,4
spotify:track:2cB4PvkqmSASF4YfGTAOwO,"En Medio","En Medio","Mabe Fratti",2021-05-18,334241,21,false,eio40,2021-06-01T13:11:26Z,"art pop,baroque pop,experimental,electroacoustic","Unheard Of Hope",0.117,0.413,9,-12.551,1,0.0374,0.327,0.843,0.109,0.0981,172.151,3
spotify:track:2oIB1nKJc1JgKE1JIs3g56,"I'm Alright In The World","I'm Alright In The World","BC Camplight",2021-05-25,276991,22,false,eio40,2021-06-14T13:54:13Z,"","Bella Union",0.665,0.431,8,-9.049,1,0.0281,0.0379,0.00648,0.127,0.497,87.014,4
spotify:track:5lmUJGia5hwEPh07bJCceG,"What You Think?","What You Think?","Callum Easter",2021-05-11,164401,0,false,eio40,2021-06-17T22:14:02Z,"","Moshi Moshi Records",0.39,0.917,11,-7.153,1,0.0536,0.00811,0.0186,0.116,0.719,194.478,4
spotify:track:31MnqokGJw8SpmmxbnljPY,"Long Exposure","Long Exposure","Dot Allison",2021-05-05,350122,0,false,eio40,2021-06-12T17:00:12Z,"electroclash,trip hop","SA Recordings",0.461,0.16,6,-16.207,0,0.0353,0.97,0.000834,0.0878,0.245,107.72,3
