Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5dXP2NQU8bzG88zCmmL7Er,"Wait Your Turn","Wait Your Turn","Chime School",2021-10-20,236676,0,false,eio40,2021-11-03T10:22:31Z,"jangle pop,power pop","Slumberland Records",0.378,0.793,2,-5.591,1,0.0433,0.0013,0.832,0.167,0.576,122.963,4
spotify:track:56IRU8GhqXBWMDI9uZZweF,"Hosepipe Ban","RF","Rural France",2021-10-29,140917,0,false,eio40,2021-11-03T10:30:06Z,"jangle pop,power pop","Meritorio Records",0.403,0.835,9,-8.511,1,0.0361,0.819,0.689,0.266,0.496,140.088,4
spotify:track:1Mbjs4YKAlET9s1wx7M25h,"Heavy Night","Heavy Night","MEMES",2021-10-06,131086,1,true,eio40,2021-10-30T11:29:28Z,"","MEMES",0.672,0.929,7,-4.95,1,0.157,0.0225,0.0000158,0.109,0.672,160.02,4
spotify:track:0YsdsNPu6ChqKtsz14ZEDl,"Doers","Doers","BODEGA",2021-10-19,199447,0,false,eio40,2021-10-30T11:33:28Z,"post-punk","What's Your Rupture?",0.536,0.763,10,-6.429,0,0.0709,0.00473,0.00000434,0.0662,0.647,177.99,4
spotify:track:21brT2CZwKz8VPCf0nFxiP,"Valentine","Valentine","Snail Mail",2021-09-15,196173,13,true,eio40,2021-10-30T11:37:34Z,"indie","Matador",0.488,0.623,0,-4.873,1,0.0317,0.000713,0,0.131,0.171,129.874,4
spotify:track:1AnBN4CL7joUFL1nGvEcuj,"What's The Use?","What's The Use?","Peaness",2021-10-27,200176,0,false,eio40,2021-10-30T11:42:33Z,"","Totally Snick Records",0.567,0.774,0,-6.628,1,0.0381,0.0352,0.0627,0.166,0.572,169.949,4
spotify:track:4HOHmq8Xx5VTFDCfWsi3Qo,"Quarter Mile Burnout","Quarter Mile Burnout","The Incomprehensible Static",2021-10-08,132088,0,false,eio40,2021-10-30T11:47:47Z,"","Reckless Yes Records",0.386,0.863,7,-6.881,1,0.0406,0.0548,0.872,0.123,0.795,194.861,4
spotify:track:2DHA5xq7v8KXS8qcwpNwsK,"Who Can You Kiss","Who Can You Kiss","Jennifer O'Connor",2021-09-08,157160,0,false,eio40,2021-11-01T19:27:55Z,"","Kiam Records",0.577,0.421,2,-9.652,1,0.0258,0.77,0.125,0.0887,0.33,99.97,4
spotify:track:0NwF3lqny8ZZzyyi2TYhWQ,"GOD (Let You Lose)","GOD (Let You Lose)","Midding",2021-10-08,266999,0,false,eio40,2021-11-01T19:43:07Z,"","Black Dog Records",0.202,0.735,4,-5.153,1,0.0588,0.00621,0.000604,0.108,0.126,124.623,4
spotify:track:1iyhDvTKV6ZKujGdbHHWne,"Votives","Votives","Old Man of the Woods",2021-10-15,258883,2,false,eio40,2021-11-01T19:48:15Z,"","Totally Real Records",0.837,0.448,0,-5.6,0,0.0328,0.122,0.154,0.0958,0.653,100.016,4
spotify:track:44CVsWkGOBZgt5OC8v44xD,"Will It Take","Recoil","Semihelix",2021-10-01,231533,0,false,eio40,2021-11-01T20:01:40Z,"power pop","Mariel Recording Company",0.279,0.791,9,-7.511,1,0.0315,0.00318,0.0214,0.0869,0.646,172.222,4
spotify:track:31pa5U9BCVpWPZ63ZWrVab,"Steeplechase","De Película","The Limiñanas;Laurent Garnier",2021-09-10,394000,14,false,eio40,2021-11-01T20:09:19Z,"space rock,french house,acid house,techno","Berreto Music / Laurent Garnier",0.506,0.969,7,-6.168,1,0.0667,0.000295,0.908,0.346,0.65,142.999,4
spotify:track:5TnhWeSJAkolB4y8eY3P2T,"Port","Port","bdrmm",2021-10-01,282377,0,false,eio40,2021-11-01T20:12:21Z,"shoegaze,lo-fi indie,dream pop,post-punk","Sonic Cathedral",0.448,0.248,0,-10.965,1,0.0311,0.0202,0.816,0.109,0.0357,139.975,4
spotify:track:2ppeo1IgWjAUtqADrBvWF7,"Could You Believe","La Que Sabe","JuJu",2021-10-28,299104,0,false,eio40,2021-11-01T21:07:15Z,"","Spinnup",0.835,0.512,7,-11.787,1,0.0371,0.00684,0.913,0.109,0.698,120.024,4
spotify:track:6CYZPD2yVzM0R299n9sy9M,"Time","Time","The Jazz Butcher",2021-10-08,325682,0,false,eio40,2021-11-01T21:10:25Z,"jangle pop","Tapete Records",0.823,0.602,9,-11.17,0,0.0551,0.208,0.0136,0.199,0.763,126.006,4
spotify:track:4DdTEcxwIprWEYhGTRJh1b,"Monochrome","Monochrome","Emma Pollock;Pippa Murphy",2021-08-11,230000,3,false,eio40,2021-11-01T21:14:16Z,"folk,celtic","Tantrum Records",0.587,0.522,7,-8.462,1,0.0289,0.012,0.0000129,0.172,0.318,120.052,4
spotify:track:7BFb7hw4Xh9yzuyeYq54wt,"Land of Steve-O","Land of Steve-O","Ovlov",2021-09-22,170199,0,false,eio40,2021-11-01T21:16:49Z,"shoegaze,indie punk,slowcore,noise rock","Exploding In Sound Records",0.364,0.818,9,-8.549,1,0.0569,0.286,0.000362,0.121,0.447,149.738,4
spotify:track:4GV1kncKBl0pogThe5TQOA,"Ladybird","Ladybird","NewDad",2021-10-26,245853,0,true,eio40,2021-11-01T21:19:56Z,"lo-fi indie","Fair Youth",0.492,0.733,8,-7.993,1,0.0346,0.0154,0.00308,0.0737,0.623,90.022,4
spotify:track:5cZQ33YXXZgLXwc0egqPl3,"MORBID FASCINATION","MORBID FASCINATION","Blood Red Shoes",2021-10-28,226622,0,false,eio40,2021-11-01T21:24:10Z,"garage rock","Velveteen Records",0.53,0.848,4,-6.851,1,0.0665,0.123,0.632,0.114,0.253,93.994,4
