Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2CX1FDF4lySLBa6EFVb82W,"Further Down","Wild Peace","Echo Lake",2012-06-25,260708,0,false,5forty,2013-09-12T05:56:56Z,"dream pop,shoegaze,chillwave,space rock","No Pain In Pop",0.372,0.49,6,-5.946,1,0.032,0.0589,0.818,0.29,0.0361,124.516,4
spotify:track:1KL5zgUvwIOLBH3tZ9ywf7,"Another Day","Wild Peace","Echo Lake",2012-06-25,232477,0,false,5forty,2013-09-12T05:56:56Z,"dream pop,shoegaze,chillwave,space rock","No Pain In Pop",0.428,0.706,7,-3.167,1,0.0317,0.0109,0.292,0.327,0.265,129.948,4
spotify:track:4SJSlhE4WHYxq0nfTZl99H,"Wild Peace","Wild Peace","Echo Lake",2012-06-25,254791,0,false,5forty,2013-09-12T05:56:56Z,"dream pop,shoegaze,chillwave,space rock","No Pain In Pop",0.413,0.432,0,-7.918,1,0.0261,0.00143,0.0325,0.185,0.205,90.156,3
spotify:track:32AUktwnjtBGk2WtxkrT0I,"Even the Blind","Wild Peace","Echo Lake",2012-06-25,306723,0,false,5forty,2013-09-12T05:56:56Z,"dream pop,shoegaze,chillwave,space rock","No Pain In Pop",0.418,0.639,1,-6.048,1,0.0332,0.000111,0.0769,0.106,0.0985,133.817,4
spotify:track:0CmOFE8WZJRcbLKT203ZUS,"Monday 5AM","Wild Peace","Echo Lake",2012-06-25,180479,0,false,5forty,2013-09-12T05:56:56Z,"dream pop,shoegaze,chillwave,space rock","No Pain In Pop",0.145,0.196,2,-19.438,1,0.0319,0.938,0.866,0.0832,0.106,85.97,4
spotify:track:6kENZP6LkrE1C0SwYl873A,"Young Silence","Wild Peace","Echo Lake",2012-06-25,129995,0,false,5forty,2013-09-12T05:56:56Z,"dream pop,shoegaze,chillwave,space rock","No Pain In Pop",0.259,0.832,4,-6.071,1,0.0532,0.00000197,0.319,0.256,0.29,150.01,4
spotify:track:6uYN4s3XDR8VFOZXO1Hvx2,"In Dreams","Wild Peace","Echo Lake",2012-06-25,233450,0,false,5forty,2013-09-12T05:56:56Z,"dream pop,shoegaze,chillwave,space rock","No Pain In Pop",0.424,0.928,0,-5.145,0,0.0434,0.000207,0.225,0.327,0.138,145.544,4
spotify:track:4ame0vsShYYLamHdp1NPKC,"Last Song of the Year","Wild Peace","Echo Lake",2012-06-25,248823,0,false,5forty,2013-09-12T05:56:56Z,"dream pop,shoegaze,chillwave,space rock","No Pain In Pop",0.405,0.661,7,-5.414,1,0.0385,0.0000583,0.0627,0.294,0.159,120.067,4
spotify:track:0aben9PrtfzKZyTpfHNqQG,"Swimmers","Wild Peace","Echo Lake",2012-06-25,248028,0,false,5forty,2013-09-12T05:56:56Z,"dream pop,shoegaze,chillwave,space rock","No Pain In Pop",0.407,0.8,4,-6.507,1,0.0302,0.000181,0.656,0.0808,0.58,146.983,3
spotify:track:0NMUCFGi5uq1O93Fi0HZE2,"Just Kids","Wild Peace","Echo Lake",2012-06-25,416077,0,false,5forty,2013-09-12T05:56:56Z,"dream pop,shoegaze,chillwave,space rock","No Pain In Pop",0.31,0.425,0,-6.561,1,0.0305,0.155,0.104,0.0882,0.0664,85.033,4
