Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5i4S9xNkkBw1lE5Rtr5SeB,"Shot By Both Sides","Real Life","Magazine",1978-01-01,244373,40,false,5forty,2020-06-28T10:57:45Z,"post-punk,new wave,proto-punk,madchester,gothic rock","Virgin Records",0.308,0.959,6,-6.261,1,0.0767,0.121,0.0000186,0.0406,0.382,165.872,4
spotify:track:7hs0Q5T9oyYMuGg4EQZenj,"April Skies","Darklands (Expanded Version)","The Jesus and Mary Chain",1987-08-31,239621,53,false,5forty,2020-06-28T11:01:14Z,"shoegaze,post-punk,dream pop,noise rock,new wave","Rhino",0.545,0.717,3,-6.869,1,0.036,0.00417,0.406,0.136,0.589,118.515,4
spotify:track:0LugCVXmhPBlzKjraSCadc,"38 Line Poem","Never Loved Elvis","The Wonder Stuff",1991,324493,14,false,5forty,2020-06-28T11:01:31Z,"madchester,britpop","UMC (Universal Music Catalogue)",0.301,0.879,7,-8.737,1,0.0547,0.0862,0.0000416,0.673,0.406,88.53,4
spotify:track:5ZifGgRDsVxo16tlo2fQsP,"Darlinnn","Love + Light","Daniel Avery",2020-06-26,342130,13,false,5forty,2020-06-28T11:02:49Z,"idm,acid house","Phantasy Sound / [PIAS]",0.669,0.459,2,-14.365,0,0.0981,0.0103,0.847,0.11,0.0362,123.004,4
spotify:track:0NBgmP6Yg5xZYsnIZ0pGdo,"Atmosphere","The Best Of","Joy Division",2008-03-20,250413,50,false,5forty,2020-06-28T11:03:16Z,"post-punk,new wave,gothic rock,darkwave,madchester,cold wave","London Records",0.565,0.467,6,-10.078,1,0.0303,0.165,0.284,0.0808,0.426,120.17,4
spotify:track:4CWgqHRJjDLd2PCedMz8eY,"Waterfall - Remastered 2009","The Stone Roses","The Stone Roses",1989-05-02,278826,64,false,5forty,2020-06-28T11:03:31Z,"madchester,britpop","Sony Music UK",0.491,0.686,11,-8.22,1,0.0289,0.0236,0.263,0.451,0.437,103.715,4
spotify:track:1C5HwOCsF2gY7AVgI7eoiT,"No Te Pongas El Sombrero","El Resto De Mi Vida","Juniper Moon",2002-09-01,207026,0,false,5forty,2020-06-28T11:04:00Z,"latin indie,power pop","Elefant Records distributed by Altafonte",0.473,0.964,9,-4.647,1,0.0821,0.00156,0.0000628,0.178,0.843,152.594,4
spotify:track:7zwNt8YuTz0wXYJEW64jbF,"Freak Scene","Bug","Dinosaur Jr.",1988-10-31,216960,0,true,5forty,2020-06-28T11:04:45Z,"noise rock,grunge,alternative rock,power pop","Baked Goods",0.29,0.939,9,-3.519,1,0.0693,0.00756,0.00257,0.327,0.222,76.996,4
spotify:track:4UuQYk4H88vLxVH2uW2QEy,"The Beat(en) Generation - Remastered","Mind Bomb","The The",1989-05-16,184826,25,false,5forty,2020-06-28T11:05:08Z,"new wave","Epic",0.54,0.835,0,-5.9,1,0.103,0.0555,0.0139,0.171,0.704,169.982,4
spotify:track:5ObgLyp4ytTtnFLDhrmcOi,"I Melt with You","After the Snow","Modern English",1982-05-03,251573,0,false,5forty,2020-06-28T11:05:41Z,"new wave,synthpop","4AD",0.542,0.804,0,-11.752,1,0.035,0.00102,0.00311,0.0658,0.687,155.601,4
spotify:track:7Ig7b1MJJKbNyTxLU6u9rZ,"Suspect Device","Inflammable Material","Stiff Little Fingers",1979,155960,47,true,5forty,2020-06-28T11:05:56Z,"punk,proto-punk,celtic punk","Parlophone UK",0.241,0.943,4,-6.381,1,0.0566,0.000737,0.0269,0.349,0.93,187.71,4
spotify:track:4wNATViXFXHOKsGgEehnBT,"Teenage Kicks","The Anthology","The Undertones",1979,144960,1,false,5forty,2020-06-28T11:06:10Z,"power pop,punk,proto-punk,new wave","Salvo",0.375,0.848,2,-6.818,1,0.0387,0.00000498,0,0.132,0.705,134.926,4
spotify:track:4ciwo5ZCsyzCPjymj940Fw,"Waves","Inlet","Hum",2020-06-24,330719,41,false,5forty,2020-06-28T11:06:25Z,"shoegaze,space rock,post-hardcore","Earth Analog Records",0.373,0.924,7,-5.398,0,0.046,0.00000213,0.336,0.496,0.389,133.446,4
spotify:track:37n72JvpWRjDKS2ZSaT6z3,"Diaphanous","Footnotes","Land of Talk",2020-06-22,268189,0,false,5forty,2020-06-28T11:06:45Z,"","Saddle Creek",0.396,0.372,11,-11.756,0,0.0279,0.815,0.228,0.111,0.122,136.233,4
spotify:track:2WJvMjVWA8qQ6Ijr5P2hAv,"Paycheck (Take My Life) - DP34 Remix","A Guide to Social Distancing","Leg Puppy 2.0;DP34",2020-06-12,415750,1,false,5forty,2020-06-28T11:07:01Z,"witch house","LP Records",0.506,0.869,6,-10.463,1,0.1,0.0308,0.642,0.0755,0.304,126.99,4
spotify:track:6HlCFMRzvSK6txy3aiZao6,"Working for Free","Untenable","Bad Moves",2020-06-26,184070,0,false,5forty,2020-06-28T11:07:17Z,"power pop,indie punk","Don Giovanni Records",0.421,0.951,9,-4.302,1,0.0508,0.0036,0.00000887,0.263,0.806,162.861,4
spotify:track:0gl9mGGBJt6Iofjlq6SFPk,"Heartbeat","Heartbeat","Buddie",2020-05-26,217576,0,false,5forty,2020-06-28T11:07:31Z,"power pop","Crafted Sounds",0.191,0.744,5,-5.616,1,0.0567,0.16,0.000015,0.194,0.55,188.325,4
spotify:track:45uTXOELBJgbBmtyWJWysY,"Clean Kill","Coriky","Coriky",2020-06-12,252128,0,false,5forty,2020-06-28T11:07:46Z,"","Dischord Records",0.587,0.706,10,-9.748,1,0.0453,0.153,0.338,0.144,0.535,140.573,4
