Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5x7ymXOokEoWqSrWABAlCz,"Be Safe","Men's Needs, Women's Needs, Whatever","The Cribs;Lee Ranaldo",2007-01-01,354973,31,true,5forty,2020-05-08T11:29:07Z,"indie rock,indie,spoken word","Wichita Recordings",0.169,0.943,4,-3.844,1,0.129,0.0873,0.000219,0.667,0.31,172.832,4
spotify:track:7GSbvG3RbUYDiKghGIKQ24,"standard in ''c''","Thank You Ancestor Finger","Harper's Jar",2020-04-03,242000,0,false,5forty,2020-05-08T11:41:54Z,"","Heavy Meadow/Brace Cove",0.52,0.794,5,-5.292,1,0.04,0.00621,0.00846,0.155,0.212,135.057,4
spotify:track:6fNg0XJSCq1Dn8GEtoDxbB,"Patio Song","Barafundle","Gorky's Zygotic Mynci",1997-01-01,163466,34,false,5forty,2020-05-08T11:55:40Z,"britpop,neo-psychedelic","EMI",0.338,0.556,1,-7.957,1,0.0364,0.5,0,0.103,0.443,117.821,1
spotify:track:3r28S7cMvpe9xDTmzizIny,"Raleigh Days","Raleigh Days","Archers Of Loaf",2020-02-20,140970,0,false,5forty,2020-05-08T11:35:11Z,"noise rock,indie rock","Merge Records",0.392,0.93,7,-3.044,1,0.0394,0.0000324,0.0121,0.0714,0.757,137.653,4
spotify:track:5jEfJiugp5E2E2kxQbhRcQ,"Europe Endless - 2009 Remaster","Trans-Europe Express (2009 Remaster)","Kraftwerk",1977,581026,36,false,5forty,2020-05-08T11:35:35Z,"krautrock,neue deutsche welle,synthpop,electronic,new wave,electro","Parlophone UK",0.77,0.464,11,-11.391,1,0.0571,0.0408,0.649,0.199,0.419,110.387,4
spotify:track:30sMcGYOzftRFSZ7rcdJeP,"Don't Fight It Marsha, It's Bigger Than Both of Us","The Complete Blam Blam Blam","Blam Blam Blam",2003-01-01,284000,0,false,5forty,2020-05-08T11:35:55Z,"","Blam Blam Blam",0.616,0.678,7,-7.535,1,0.0382,0.122,0.0171,0.287,0.717,139.176,4
spotify:track:2gc1EAQEenoNPzjMGA9qeV,"Tomorrow Never Knows","Blast The Human Flower","Danielle Dax",1990,315346,17,false,5forty,2020-05-08T11:38:50Z,"deathrock,gothic rock,darkwave,post-punk","Rhino/Warner Records",0.585,0.805,5,-12.385,1,0.0388,0.0119,0.259,0.5,0.712,110.744,4
spotify:track:1C67eNHzkZ7s4w2cczADuL,"You're Not Alone","Drawn From Memory","Embrace",2000-01-01,269600,27,false,5forty,2020-05-08T11:40:23Z,"britpop","Hut",0.518,0.655,9,-6.109,1,0.0245,0.118,0,0.0793,0.418,90.909,4
spotify:track:2R0EqUXsOsYQ98z3iiXWkg,"Sheep Tick","Sheep Tick","Young Knives",2020-03-25,287266,0,false,5forty,2020-05-08T11:41:10Z,"new rave","GADZOOK",0.487,0.94,7,-3.791,0,0.0797,0.00315,0.0192,0.269,0.262,140.048,4
spotify:track:7jiITuSYUSvzmGepQafl5T,"Only The Strongest Will Survive","Only The Strongest Will Survive","Hurricane #1",1999-04-29,284053,23,false,5forty,2020-05-08T11:34:46Z,"britpop,madchester","Creation Records",0.435,0.728,7,-7.266,1,0.0358,0.00321,0.0000025,0.298,0.25,179.749,4
