Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5prvOr9iZ7tQgrMKGG1uRy,"Lunatic (With A Loaded Gun)","Lunatic (With A Loaded Gun)","The Blinders",2020-04-24,141917,0,false,5forty,2020-05-02T10:11:49Z,"","Modern Sky UK",0.581,0.856,4,-6.935,1,0.065,0.00508,0.000494,0.169,0.452,118.067,4
spotify:track:5RE5Hxp7ahxBqEFXyM72nM,"Tell Them Where to Go","Far Enough","Cable Ties",2020-03-27,242718,0,false,5forty,2020-05-02T10:12:47Z,"riot grrrl","Merge Records",0.478,0.742,1,-7.934,1,0.039,0.000818,0.198,0.111,0.648,80.05,4
spotify:track:07773ZiAgjeshqcAMOwwhL,"The Onely Ones","The Onely Ones","Lightning Bug",2020-03-04,298000,2,false,5forty,2020-05-02T10:13:22Z,"dream pop,shoegaze","Fat Possum",0.306,0.852,11,-10.266,1,0.0912,0.0144,0.00175,0.28,0.283,179.972,4
spotify:track:6qwUI8wKtRg73QUIM5ZJD7,"Man On The Run","Man On The Run","workfriends",2020-03-27,196874,2,true,5forty,2020-05-02T10:13:53Z,"post-punk","Independent",0.529,0.789,6,-5.18,1,0.0304,0.0841,0.634,0.345,0.552,127.975,4
spotify:track:7oWPowuaC6plk0zTSnRmng,"I'm Always Around","I'm Always Around","Gateway Drugs",2020-05-01,200640,0,false,5forty,2020-05-02T10:14:14Z,"","Aporia Records",0.356,0.817,10,-5.809,0,0.0362,0.0049,0.787,0.193,0.495,77.077,4
spotify:track:3LIrsMDmGrMRqNDBQxYWo9,"Violent and Vivisect","Unmask Whoever","Activity",2020-03-27,260800,0,false,5forty,2020-05-02T10:14:38Z,"art rock","Western Vinyl",0.624,0.751,9,-5.622,1,0.0295,0.0000391,0.639,0.0739,0.552,122.015,4
spotify:track:4DtlKnfV8IyZfEBXermxAn,"Broken Bone Blues","Cyber Space Buffet","Browsing Collection",2020-03-27,194265,7,false,5forty,2020-05-02T10:15:56Z,"","Independent",0.462,0.614,11,-10.13,0,0.0321,0.0103,0.00381,0.407,0.534,81.51,4
spotify:track:57dFEYpLPnYd2RKffMV5Yq,"(Going Back To) Stockholm Syndrome","The Great Lost No Ones Album","The No Ones",2020-03-27,194442,0,false,5forty,2020-05-02T10:16:30Z,"jangle pop,power pop","Yep Roc Records",0.26,0.942,7,-8.42,1,0.0732,0.000734,0.0257,0.827,0.373,176.912,4
spotify:track:64CfW4yWxQD9GVjieJ5cfW,"Glow","Glow","Suburban Living",2020-04-03,227878,0,false,5forty,2020-05-02T10:16:53Z,"shoegaze,dream pop","Egghunt Records",0.421,0.942,4,-4.8,0,0.0754,0.00793,0.841,0.0934,0.399,120.043,4
spotify:track:1g7HjpdpzFtmebUxklPDWd,"Reel","Reel","Slow Crush",2020-04-03,280230,0,false,5forty,2020-05-02T10:18:05Z,"shoegaze,dream pop,slowcore","2020 Holy Roar Records",0.366,0.798,2,-10.147,1,0.0322,0.058,0.948,0.0757,0.397,179.927,4
spotify:track:1pwGbBzK5y3jQqLDqnB4iD,"Pale Skin","Reel","Slow Crush",2020-04-03,300570,0,false,5forty,2020-05-02T10:18:05Z,"shoegaze,dream pop,slowcore","2020 Holy Roar Records",0.461,0.604,9,-11.703,1,0.0334,0.0781,0.807,0.0459,0.0587,113.981,4
spotify:track:6qH4RpLIGpDhX5zVTwS9qV,"Who Are You","Do You Wonder About Me?","Diet Cig",2020-05-01,203643,19,false,5forty,2020-05-02T10:20:09Z,"indie punk","Frenchkiss Records",0.42,0.454,7,-11.962,1,0.0622,0.121,0.000054,0.101,0.349,140.04,4
spotify:track:5rkUpWVTLz4ESkG26HWs12,"No Heaven","No Heaven","Clwb Fuzz",2020-04-03,231156,0,false,5forty,2020-05-02T10:20:32Z,"garage rock","Libertino Records",0.305,0.749,2,-6.52,1,0.0454,0.00233,0.619,0.109,0.536,113.054,4
spotify:track:3uIKeH8gXtaOmFftPbwaUY,"Time Is Now","The Bonnie Nettles","The Bonnie Nettles",2020-03-19,211388,3,false,5forty,2020-05-02T10:21:34Z,"neo-psychedelic,psychedelic rock","Blackspin Records",0.392,0.913,0,-6.181,1,0.0474,0.000003,0.224,0.0852,0.337,126.076,4
spotify:track:3taqwoKcqSQoNky3xOiBBk,"Fear","Sharks","Shepparton Airplane",2020-04-17,195200,0,false,5forty,2020-05-02T10:22:03Z,"","Wing Sing Records",0.622,0.437,0,-9.935,1,0.0713,0.000792,0.63,0.0886,0.735,115.577,4
spotify:track:5UKFWucPL9JIiPv5oXd5Do,"Machine","Sogni","Primo!",2020-04-17,156466,2,false,5forty,2020-05-02T10:22:27Z,"post-punk","Upset The Rhythm",0.497,0.664,9,-6.196,1,0.0312,0.0259,0.686,0.0973,0.617,144.271,4
spotify:track:2eq38c1WNjtqbUZqtx73EU,"The Perks of Being Pearly Dewdrops'","First Echo Solution","Winona Dryver",2020-03-02,277453,4,false,5forty,2020-05-02T10:23:10Z,"shoegaze,indonesian indie,dream pop","Winona Tapes",0.301,0.909,4,-4.507,1,0.0436,0.00000324,0.905,0.13,0.493,136.885,4
