Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:45TmYqULFxbtJHGoeAfWzD,"Get Up Off Our Knees","London 0 Hull 4 - Deluxe E Album Set","The Housemartins",2009-01-01,201733,0,false,5forty,2022-05-07T08:52:20Z,"jangle pop","UMC (Universal Music Catalogue)",0.615,0.879,0,-8.25,1,0.0368,0.144,0.00000294,0.212,0.903,113.623,4
spotify:track:51VhaT2LWqcyO3iR1oidDY,"Everybody Come Down","Universal Audio","The Delgados",2004-09-28,194840,0,false,5forty,2022-05-07T08:52:36Z,"","Chemikal Underground Records",0.47,0.713,7,-7.459,1,0.0277,0.0495,0.0000895,0.289,0.73,135.634,4
spotify:track:1hn02ZG4LN2P4WrgfWcv6Q,"Bring It Down","Bring It Down","Madder Rose",1993,278066,6,false,5forty,2022-05-07T08:53:19Z,"alternative pop","Rhino Atlantic",0.26,0.514,4,-9.13,1,0.0348,0.215,0.00142,0.105,0.179,180.671,4
spotify:track:3Qyat9VWefWNEd72rcp45g,"Rave Down - 2008 Remastered Version","Raise","Swervedriver",1991-09-30,306253,3,false,5forty,2022-05-07T08:52:47Z,"shoegaze,dream pop,slowcore,noise rock,space rock","Sony BMG Music UK",0.14,0.974,9,-6.128,1,0.0708,0.00000163,0.846,0.125,0.311,168.438,4
spotify:track:2l8FjM4NxOgiHyHiE8iDWR,"Falling Down","Best Of","Chapterhouse",2007-05-05,235600,9,false,5forty,2022-05-07T08:54:25Z,"shoegaze,dream pop,madchester,slowcore","Sony BMG Music Entertainment",0.452,0.86,9,-5.972,1,0.0404,0.0000153,0.258,0.158,0.442,101.994,4
spotify:track:5BnYg1Y8XCrOWFpdxzfVTw,"Lights Go Down","Bring It Down","Madder Rose",1993,239733,5,false,5forty,2022-05-09T06:22:26Z,"alternative pop","Rhino Atlantic",0.449,0.448,11,-9.642,0,0.0269,0.547,0.144,0.0582,0.156,129.251,4
spotify:track:3eCQV9HF9CmEH3RTcfcCJY,"Trickle Down","Boces","Mercury Rev",1993,304400,0,false,5forty,2022-05-09T06:22:40Z,"neo-psychedelic,shoegaze","Beggars Banquet",0.293,0.85,11,-5.669,0,0.0818,0.00546,0.000496,0.177,0.193,170.6,4
spotify:track:5DNMFrNsAG1iAB5IknZV9v,"Summer Fun In A Beat Up Datsun","Elvis Sex-Change","Cornershop",1993-07-19,92266,0,false,5forty,2022-05-09T06:24:13Z,"britpop","Wiiija",0.2,0.953,2,-10.386,1,0.27,0.0579,0.0232,0.319,0.432,158.885,4
spotify:track:3rHKQceCHKNPfkyDLQUtLB,"Back to the Middle","Monomania","Deerhunter",2013-05-06,156533,27,false,5forty,2022-05-23T18:21:07Z,"neo-psychedelic,dream pop,shoegaze,noise rock","4AD",0.528,0.821,9,-4.972,1,0.0294,0.00659,0.0174,0.104,0.917,127.452,4
spotify:track:1T5JvZrC4KLccHIpNC5oIU,"Middle Sea","Glow & Behold","Yuck",2013-01-01,255800,7,false,5forty,2022-05-23T18:22:30Z,"noise rock,shoegaze","EMI",0.328,0.957,11,-3.943,1,0.0441,0.0000374,0.0341,0.325,0.458,156.533,4
