Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0iz9lZXqaAzWzYZoCU9D95,"Speed Trials","Either Or","Elliott Smith",1997-02-25,181426,0,false,5forty,2012-07-25T06:21:36Z,"singer-songwriter","Domino",0.634,0.38,0,-13.193,1,0.0304,0.803,0.434,0.111,0.345,102.723,4
spotify:track:2XLTaNZrsrRonaQIvIJ2Cl,"Alameda","Either Or","Elliott Smith",1997-02-25,223373,0,false,5forty,2012-07-25T06:21:36Z,"singer-songwriter","Domino",0.597,0.427,3,-12.025,1,0.03,0.368,0.066,0.0993,0.386,78.466,4
spotify:track:2RAZzOu4jvN7QhBLxoSvfY,"Ballad Of Big Nothing","Either Or","Elliott Smith",1997-02-25,168066,0,false,5forty,2012-07-25T06:21:36Z,"singer-songwriter","Domino",0.648,0.509,0,-10.245,1,0.0293,0.384,0.00405,0.146,0.64,109.217,4
spotify:track:6UgmVIVyznBDdkpqkKyc1O,"Between The Bars","Either Or","Elliott Smith",1997-02-25,141426,0,false,5forty,2012-07-25T06:21:36Z,"singer-songwriter","Domino",0.502,0.0766,7,-23.612,0,0.0591,0.934,0.838,0.107,0.381,134.766,3
spotify:track:7jZs3rRlsdRJmz6DV7LxlL,"Pictures Of Me","Either Or","Elliott Smith",1997-02-25,226973,0,false,5forty,2012-07-25T06:21:36Z,"singer-songwriter","Domino",0.624,0.398,2,-10.884,0,0.0287,0.121,0.000175,0.118,0.322,134.674,4
spotify:track:2aKKHlQi1y1FKnVq6xPnOZ,"No Name No. 5","Either Or","Elliott Smith",1997-02-25,223200,0,false,5forty,2012-07-25T06:21:36Z,"singer-songwriter","Domino",0.514,0.193,0,-15.347,1,0.0282,0.33,0.0182,0.121,0.157,144.92,4
spotify:track:1T1WzJnV9FPVK4PmRAw0dL,"Rose Parade","Either Or","Elliott Smith",1997-02-25,208533,0,false,5forty,2012-07-25T06:21:36Z,"singer-songwriter","Domino",0.752,0.368,2,-14.814,1,0.0308,0.366,0.471,0.268,0.269,102.301,4
spotify:track:0JVCIwkfHBWEkAysG1XsVw,"Punch And Judy","Either Or","Elliott Smith",1997-02-25,145466,0,false,5forty,2012-07-25T06:21:36Z,"singer-songwriter","Domino",0.483,0.25,9,-18.98,0,0.0398,0.576,0.174,0.112,0.199,131.893,4
spotify:track:5ScEEDGpKkkcCgYXzRRNlM,"Angeles","Either Or","Elliott Smith",1997-02-25,177293,0,false,5forty,2012-07-25T06:21:36Z,"singer-songwriter","Domino",0.528,0.0986,4,-23.427,0,0.051,0.869,0.244,0.167,0.622,118.228,4
spotify:track:6rOKNAYDobmLajX2CQ2K2z,"Cupids Trick","Either Or","Elliott Smith",1997-02-25,185000,0,false,5forty,2012-07-25T06:21:36Z,"singer-songwriter","Domino",0.249,0.485,7,-11.045,0,0.0321,0.0907,0.00801,0.112,0.154,175.913,4
spotify:track:2nEM78Vzv0NSZXju6SpwHc,"2:45 a.m.","Either Or","Elliott Smith",1997-02-25,198840,0,false,5forty,2012-07-25T06:21:36Z,"singer-songwriter","Domino",0.486,0.0848,4,-20.449,0,0.042,0.769,0.000272,0.112,0.377,167.202,4
spotify:track:3ZhPm5eKa9OvrszjrMhlAM,"Say Yes","Either Or","Elliott Smith",1997-02-25,138133,0,false,5forty,2012-07-25T06:21:36Z,"singer-songwriter","Domino",0.518,0.0927,0,-20.232,1,0.0432,0.871,0.000811,0.112,0.447,76.008,4
