Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1PeVN5l50dM9eRsxG6aqoW,"Cannot Keep a Secret","In Search of Harperfield","Emma Pollock",2016-01-29,264229,0,false,5forty,2016-02-01T18:25:22Z,"","Chemikal Underground Records",0.424,0.409,2,-8.658,0,0.0306,0.355,0.000169,0.0884,0.108,149.82,3
spotify:track:7C5bnFxRPQ0nQ2FfWwyUIT,"Don't Make Me Wait","In Search of Harperfield","Emma Pollock",2016-01-29,249551,0,false,5forty,2016-02-01T18:25:22Z,"","Chemikal Underground Records",0.56,0.694,9,-6.944,0,0.0312,0.335,0.00313,0.112,0.627,114.262,4
spotify:track:4SwCaHthdi1WFuKxaVnFYx,"Alabaster","In Search of Harperfield","Emma Pollock",2016-01-29,272191,0,false,5forty,2016-02-01T18:25:22Z,"","Chemikal Underground Records",0.592,0.46,1,-11.086,1,0.0409,0.915,0.0235,0.206,0.365,115.011,4
spotify:track:1gFg0G0atyJWDXImbc657F,"Clemency","In Search of Harperfield","Emma Pollock",2016-01-29,159061,0,false,5forty,2016-02-01T18:25:22Z,"","Chemikal Underground Records",0.425,0.322,8,-10.95,1,0.0315,0.86,0.00000227,0.0964,0.146,78.548,4
spotify:track:0LNVF9Aj9pres7cygkdyPn,"Intermission","In Search of Harperfield","Emma Pollock",2016-01-29,287370,0,false,5forty,2016-02-01T18:25:22Z,"","Chemikal Underground Records",0.241,0.3,5,-8.164,0,0.0364,0.877,0.0000439,0.215,0.189,88.64,4
spotify:track:6NQWSMgmGFiD8miMxSJU12,"Parks And Recreation","In Search of Harperfield","Emma Pollock",2016-01-29,192948,0,false,5forty,2016-02-01T18:25:22Z,"","Chemikal Underground Records",0.472,0.84,4,-6.219,1,0.0416,0.277,0.459,0.0915,0.549,151.934,4
spotify:track:4yjwPPRKjGikqoXOj7TKao,"Vacant Stare","In Search of Harperfield","Emma Pollock",2016-01-29,209478,0,false,5forty,2016-02-01T18:25:22Z,"","Chemikal Underground Records",0.682,0.718,1,-6.723,0,0.0307,0.115,0.00109,0.34,0.707,97.983,4
spotify:track:13f1LqeBVxZUFpdVIM0KXE,"In the Company of the Damned","In Search of Harperfield","Emma Pollock",2016-01-29,214416,0,false,5forty,2016-02-01T18:25:22Z,"","Chemikal Underground Records",0.761,0.447,11,-10.078,1,0.0303,0.297,0.184,0.104,0.719,112.039,4
spotify:track:5umFqIreTXQxIsSh0fIsgg,"Dark Skies","In Search of Harperfield","Emma Pollock",2016-01-29,209432,0,false,5forty,2016-02-01T18:25:22Z,"","Chemikal Underground Records",0.351,0.312,9,-9.797,1,0.0341,0.836,0.00000655,0.107,0.254,120.153,4
spotify:track:1keiBfpFOr3bxuzA8n75gg,"Monster in the Pack","In Search of Harperfield","Emma Pollock",2016-01-29,267441,0,false,5forty,2016-02-01T18:25:22Z,"","Chemikal Underground Records",0.582,0.319,9,-11.461,1,0.0278,0.646,0.011,0.107,0.213,110.309,3
spotify:track:6RpZlIPMNDVVbsFzME6Ybb,"Old Ghosts","In Search of Harperfield","Emma Pollock",2016-01-29,342080,0,false,5forty,2016-02-01T18:25:22Z,"","Chemikal Underground Records",0.411,0.506,9,-9.524,0,0.0342,0.339,0.00193,0.0675,0.479,163.615,4
