Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4m1sGrIUD50hOdaPy0SFcp,"A Sender","Enter The Slasher House","Avey Tare's Slasher Flicks",2014-04-07,335680,0,false,5forty,2014-04-10T03:20:59Z,"","Domino Recording Co",0.431,0.887,11,-6.64,1,0.104,0.00105,0.000197,0.0873,0.285,109.223,4
spotify:track:3yOGc4T8TGZbdM08lX4ebz,"Duplex Trip","Enter The Slasher House","Avey Tare's Slasher Flicks",2014-04-07,260426,0,false,5forty,2014-04-10T03:20:59Z,"","Domino Recording Co",0.606,0.838,3,-6.072,0,0.0406,0.00306,0.000556,0.654,0.701,112.487,3
spotify:track:4VTl97GgX2kSRsTtyIWc19,"Blind Babe","Enter The Slasher House","Avey Tare's Slasher Flicks",2014-04-07,223893,0,false,5forty,2014-04-10T03:20:59Z,"","Domino Recording Co",0.493,0.931,5,-5.914,0,0.0666,0.0000072,0.304,0.694,0.548,110.078,4
spotify:track:10AjxgpD5oDUBkLikGNKRd,"Little Fang","Enter The Slasher House","Avey Tare's Slasher Flicks",2014-04-07,251773,0,false,5forty,2014-04-10T03:20:59Z,"","Domino Recording Co",0.7,0.635,11,-6.866,0,0.0714,0.00743,0.177,0.204,0.399,114.968,4
spotify:track:712P6LKfA5G1I3D68KDgJE,"Catchy (Was Contagious)","Enter The Slasher House","Avey Tare's Slasher Flicks",2014-04-07,200773,0,false,5forty,2014-04-10T03:20:59Z,"","Domino Recording Co",0.265,0.746,1,-7.582,1,0.33,0.00137,0.0109,0.187,0.35,172.596,4
spotify:track:6ziSHW5XpHrdE9QWQKSqjs,"That It Won't Grow","Enter The Slasher House","Avey Tare's Slasher Flicks",2014-04-07,268320,0,false,5forty,2014-04-10T03:20:59Z,"","Domino Recording Co",0.457,0.725,3,-6.33,0,0.043,0.0012,0.00648,0.369,0.287,136.066,4
spotify:track:1b0dVCNjNF0vYr8QXrUZXi,"The Outlaw","Enter The Slasher House","Avey Tare's Slasher Flicks",2014-04-07,350546,0,false,5forty,2014-04-10T03:20:59Z,"","Domino Recording Co",0.275,0.574,6,-8.705,0,0.0533,0.00101,0.00036,0.23,0.309,158.598,3
spotify:track:0v251m24ttygcrbHRW9WDv,"Roses On The Window","Enter The Slasher House","Avey Tare's Slasher Flicks",2014-04-07,403026,0,false,5forty,2014-04-10T03:20:59Z,"","Domino Recording Co",0.662,0.642,10,-6.85,0,0.0529,0.000234,0.257,0.0644,0.387,96.99,4
spotify:track:0VtlGWuL2zstN3eSySkIX3,"Modern Days E","Enter The Slasher House","Avey Tare's Slasher Flicks",2014-04-07,201826,0,false,5forty,2014-04-10T03:20:59Z,"","Domino Recording Co",0.533,0.788,6,-6.173,1,0.154,0.0109,0.000822,0.0545,0.702,150.087,4
spotify:track:076eBict3cT4fSmLvSjy0G,"Strange Colores","Enter The Slasher House","Avey Tare's Slasher Flicks",2014-04-07,180280,0,false,5forty,2014-04-10T03:20:59Z,"","Domino Recording Co",0.465,0.877,4,-5.518,1,0.106,0.0876,0,0.19,0.51,100.967,4
spotify:track:496mT3gaibgnQWLTxyrxjQ,"Your Card","Enter The Slasher House","Avey Tare's Slasher Flicks",2014-04-07,308013,0,false,5forty,2014-04-10T03:20:59Z,"","Domino Recording Co",0.238,0.798,5,-7.641,0,0.303,0.000649,0.121,0.0937,0.208,197.877,4
