Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4Yr3Ik0ui853mnxuDqj9tz,"Son Of A Gun","Enter The Vaselines","The Vaselines",2009-05-05,225760,0,false,5forty,2018-08-04T22:36:51Z,"jangle pop","Sub Pop",0.525,0.95,7,-6.027,1,0.0494,0.493,0.264,0.926,0.774,144.755,4
spotify:track:1ySkwVOmCt2GltNAbSd7eO,"Rory Rides Me Raw","Enter The Vaselines","The Vaselines",2009-05-05,146493,0,false,5forty,2018-08-04T22:36:51Z,"jangle pop","Sub Pop",0.268,0.656,2,-6.968,1,0.0313,0.655,0,0.346,0.848,107.805,3
spotify:track:70zTqR5NMGIo5qsVIfRcHE,"You Think You're A Man","Enter The Vaselines","The Vaselines",2009-05-05,340133,0,false,5forty,2018-08-04T22:36:51Z,"jangle pop","Sub Pop",0.825,0.613,2,-8.05,1,0.0607,0.0331,0.000115,0.0543,0.881,130.718,4
spotify:track:6fFg9kZw7G34f1yrWVAYsm,"Dying For It","Enter The Vaselines","The Vaselines",2009-05-05,141826,0,false,5forty,2018-08-04T22:36:51Z,"jangle pop","Sub Pop",0.194,0.985,9,-4.92,1,0.0528,0.0896,0.232,0.387,0.274,179.09,4
spotify:track:0mLjmQrRKWvPPdaNFDW5he,"Molly's Lips","Enter The Vaselines","The Vaselines",2009-05-05,104906,0,false,5forty,2018-08-04T22:36:51Z,"jangle pop","Sub Pop",0.401,0.85,9,-7.716,1,0.0375,0.439,0,0.344,0.895,141.366,4
spotify:track:0Ii6qr0J4ifjdy05BAQxyY,"Teenage Superstars","Enter The Vaselines","The Vaselines",2009-05-05,207186,0,false,5forty,2018-08-04T22:36:51Z,"jangle pop","Sub Pop",0.134,0.997,2,-5.999,1,0.0592,0.301,0.00964,0.635,0.108,191.609,4
spotify:track:5oJy5l04JScnOvpIgFL1WZ,"Jesus Wants Me For A Sunbeam","Enter The Vaselines","The Vaselines",2009-05-05,210360,0,false,5forty,2018-08-04T22:36:51Z,"jangle pop","Sub Pop",0.373,0.659,7,-7.218,1,0.0321,0.764,0.000285,0.102,0.479,129.742,4
spotify:track:7LiTSmGsajDywT6PT1HQcd,"Sex Sux (Amen)","Enter The Vaselines","The Vaselines",2009-05-05,190000,0,false,5forty,2018-08-04T22:36:51Z,"jangle pop","Sub Pop",0.24,0.855,7,-6.86,1,0.0503,0.0000157,0.106,0.155,0.304,161.553,4
spotify:track:2CDQ53bj3dMx3rLAZaywnN,"Slushy","Enter The Vaselines","The Vaselines",2009-05-05,116026,0,false,5forty,2018-08-04T22:36:51Z,"jangle pop","Sub Pop",0.283,0.9,2,-8.093,1,0.0505,0.00133,0.00496,0.0958,0.838,124.918,3
spotify:track:3GhbN0HCXTFnWh9Ql4k0LY,"Monsterpussy","Enter The Vaselines","The Vaselines",2009-05-05,102253,0,false,5forty,2018-08-04T22:36:51Z,"jangle pop","Sub Pop",0.229,0.859,7,-6.67,1,0.0653,0.000132,0.0172,0.312,0.636,155.338,4
