Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:60eZCIqGhOHfUdjzxrh3FR,"I Believe In Miracles","I Believe In Miracles: The Collection","Jackson Sisters",2006-01-01,177653,0,false,jondo,2016-07-29T20:24:50Z,"","Universal Records",0.642,0.844,2,-10.553,0,0.0626,0.355,0,0.652,0.919,108.3,4
spotify:track:0fp8XEUc9Yxxd1Ago0VgyA,"Cross The Tracks (We Better Go Back)","Funky Good Time: The Anthology","Maceo And The Macks",1995-02-28,198160,51,false,jondo,2025-05-01T21:25:30Z,"funk,jazz funk","Polydor",0.55,0.589,3,-11.964,1,0.0328,0.211,0.0103,0.42,0.953,204.383,4
spotify:track:73sxblh7nAhtljDWbEyca8,"Things Got To Get Better (Get Together)","It's My Thing","Marva Whitney",1969-10-08,181973,21,false,jondo,2021-10-16T22:48:54Z,"funk","Universal Records",0.78,0.822,5,-7.551,1,0.205,0.235,0.00473,0.2,0.921,122.958,4
spotify:track:2pYGaKzdKUFw5EDewD7Pfv,"Voodoo Village","RIGHT ON! 5","Tony Joe White",2004-01-26,186826,10,false,,2011-01-24T19:52:35Z,"blues,blues rock","WM UK",0.71,0.728,2,-8.546,1,0.0321,0.00128,0.00658,0.163,0.668,105.373,4
spotify:track:6WSI0FOgocioREXQpUyoXL,"Moonshadow","Good Times 5","LaBelle",2012-06-19,563546,0,false,,2012-10-21T20:58:12Z,"","PMI Dance",0.51,0.762,7,-7.132,1,0.09,0.293,0.0102,0.0572,0.517,92.869,4
spotify:track:692sXG95OTkiqKVPktHIMK,"Moon Shadow - Edit","The Funk Scene","LaBelle",2018-06-22,265066,6,false,jondo,2025-10-18T04:59:34Z,"disco,philly soul","Warner Music Group - X5 Music Group",0.434,0.71,7,-6.478,1,0.0547,0.378,0.0036,0.141,0.619,86.61,4
spotify:track:7KkqBZYoqFHqOxBWQkGqlK,"Oh What A Party","He Told Me Lies: Classic Soul Sides","Dee Edwards",2007-01-12,127289,0,false,,2011-01-24T19:58:14Z,"northern soul","Tuff City",0.577,0.439,7,-12.175,0,0.033,0.628,0.00152,0.164,0.69,97.158,4
spotify:track:0HcKZL4j1rr7hvPwtZX6r6,"Top Going Down, Bottom Going Up","Quantic Presents: Worlds Rarest Funk 45s, Vol. 2","Nathan Bartell",2009-01-01,199640,19,false,,2011-01-24T20:11:29Z,"","Jazzman",0.82,0.749,7,-7.807,0,0.0386,0.33,0.0000135,0.0844,0.962,101.417,4
spotify:track:3Ayg3GuANfKMVhaLclJEjY,"Walking on the Moon","Quantic Presents: Worlds Rarest Funk 45s, Vol. 2","Reverend Jamel & Bob Johnson",2009-01-01,234653,15,false,,2011-01-24T20:11:39Z,"funk","Jazzman",0.681,0.792,10,-6.602,0,0.26,0.0583,0.000048,0.0492,0.64,113.962,4
spotify:track:2XBwHd40hsSByDrLvcsGgU,"I Can't Dance With You - Sleeve Remix","Fresh Out The Box","The Fantastics!;Sleeve",2010-06-07,282906,14,false,,2011-01-24T20:15:46Z,"jazz funk","Freestyle Records",0.792,0.829,0,-6.184,1,0.0467,0.111,0.0000193,0.112,0.879,121.759,4
spotify:track:7jULmqRvuEsvu6OkWkjBgl,"Beggin' - Pilooski Re-Edit","Beggin' (Pilooski Re-Edit)","Frankie Valli & The Four Seasons;Cedric Marszewski",2007-06-25,332613,32,false,jondo,2013-08-11T06:10:20Z,"doo-wop,northern soul,motown","Warner Records",0.596,0.726,9,-4.746,0,0.0333,0.0347,0.0000105,0.0844,0.367,130.063,4
spotify:track:4vneXOwQoBPaMQclkoLqtU,"Funkier Than a Mosquito's Tweeter - Remastered 2002","Flying Funk","Nina Simone",2003-01-31,304200,15,false,,2011-09-14T16:01:12Z,"vocal jazz,soul jazz,soul,jazz,blues","RCA Bluebird",0.54,0.695,8,-9.919,0,0.0515,0.274,0.00253,0.109,0.752,139.316,4
spotify:track:43rk5ONw9u0SUTay9T2ip5,"Love From The Sun","Destination Motherland: The Roy Ayers Anthology","Roy Ayers",2003,161613,0,false,,2011-01-24T20:12:53Z,"jazz funk,acid jazz,funk,soul jazz","Polydor",0.446,0.634,1,-10.299,0,0.0521,0.531,0.0207,0.367,0.593,134.756,4
spotify:track:3kbwGVYNXuE1xYNYPuh3iB,"Rock Steady - Alternate Mix","What It Is! Funky Soul And Rare Grooves [1967-1977][digital version] [International]","Aretha Franklin",2006-10-16,270440,0,false,,2011-01-24T20:28:19Z,"soul,motown,classic soul","Rhino",0.734,0.78,7,-6.992,1,0.14,0.021,0.0735,0.295,0.769,104.066,4
spotify:track:6ZnHrF3PTc3JEVz4tlKAJh,"Rock Steady","The Very Best of Aretha Franklin - The 70's","Aretha Franklin",1994-03-22,195573,26,false,jondo,2025-05-01T21:47:00Z,"soul,motown,classic soul","Rhino Atlantic",0.734,0.811,7,-9.083,1,0.125,0.0332,0.0539,0.238,0.926,104.414,4
spotify:track:0CtIeWGR551UhXAAiLcM6C,"Baby I Love You","MORE PSYCHEDELIC JAZZ & SOUL","Cold Blood",2004-07-05,370613,12,false,,2011-11-01T10:14:25Z,"funk","WM UK",0.595,0.913,7,-9.318,1,0.0919,0.102,0.0217,0.0443,0.644,108.128,4
spotify:track:71aaaFSrHHDEQMXBAMdtyM,"When You Are Who You Are - Remastered - 1988","The Revolution Will Not Be Televised","Gil Scott-Heron",1988-05-15,202400,0,false,,2012-03-30T10:00:50Z,"spoken word,jazz funk","RCA Records Label",0.659,0.569,10,-13.627,1,0.0379,0.652,0.0000116,0.159,0.963,125.376,4
spotify:track:2KW6BsbLwRhksNljVMvcde,"Chevere Que Chevere","Call My Name","Joe Bataan",2005-02-01,257320,15,false,jondo,2013-12-05T06:07:02Z,"latin jazz","Vampisoul",0.566,0.878,0,-9.25,1,0.0436,0.00435,0.529,0.0806,0.964,112.999,4
spotify:track:3q0smeDtmjTQJEkh4VWuHr,"You Can't Judge A Book By Its Cover","I'm Thankful","Spanky Wilson;The Quantic Soul Orchestra",2006-10-02,179040,0,false,,2011-01-24T20:42:37Z,"jazz funk,acid jazz,nu jazz,funk","Tru Thoughts Recordings",0.726,0.819,1,-3.876,1,0.0515,0.0545,0.000131,0.154,0.932,126.028,4
spotify:track:04jf7IYBUnnvEkFicyNzBj,"No Conversation","No Conversation","Elephant Lathe",2023-02-24,182727,7,false,jondo,2023-02-24T11:10:54Z,"big beat","Sound Recordings",0.669,0.652,5,-11.559,0,0.0488,0.0379,0.0000218,0.655,0.772,110.03,4
spotify:track:5i3LGr77KlAUvaAPqnwrFb,"You'll Get Enough","Choice Cuts - Rare Soul Gems from Philly Groove!","The Delfonics",2011-01-03,144360,0,false,,2011-01-24T20:51:01Z,"philly soul,classic soul,motown","Philly Groove",0.649,0.67,11,-7.543,0,0.0337,0.508,0,0.123,0.812,123.24,4
spotify:track:6S7PklMjEABORVAVCJieET,"California Soul","Sampled! (Jazz Club)","Marlena Shaw",2008-01-01,177213,0,false,,2011-06-07T00:48:08Z,"northern soul,soul","Verve",0.512,0.842,8,-6.83,0,0.0613,0.544,0.0000101,0.373,0.632,94.584,4
spotify:track:5brbWCkzQDuzvD7ddY0ta5,"Save Me","Flying Funk","Nina Simone",2003-01-31,203626,17,false,,2011-12-10T17:08:22Z,"vocal jazz,soul jazz,soul,jazz,blues","RCA Bluebird",0.765,0.682,0,-7.227,1,0.146,0.161,0.0000196,0.0848,0.873,125.18,4
spotify:track:6vyQ16BaJD028xZbJY5bUO,"Would You Believe In Me","The Masters Series: Rare Groove","Jon Lucien",2009-05-14,146666,10,false,,2011-01-24T21:07:19Z,"jazz funk","Sony Music Entertainment",0.631,0.689,1,-7.886,0,0.0483,0.686,0.000682,0.146,0.948,97.815,4
spotify:track:4xQmRJP8XZIF4WLHlV3Vjp,"War","Funk/Soul Revival: Classic Tracks & the New Breed","Generation Gap?",2007-07-24,222540,0,false,,2011-01-24T21:11:13Z,"","Selector Series",0.785,0.53,8,-9.084,0,0.155,0.0873,0.00828,0.121,0.713,118.454,4
spotify:track:476GmXlObQ1xOA0J7PE8oN,"New Generation","Quantic Presents: The World's Rarest Funk 45s Volume Two","The Universals",2007-08-07,144266,0,false,,2011-01-25T17:57:40Z,"doo-wop","Jazzman",0.728,0.782,7,-8.001,0,0.162,0.142,0.0414,0.227,0.934,89.811,4
spotify:track:64KwITu35JsahaKZbNpfMu,"I Can't Get Next To You","Motown: The Complete No. 1's","The Temptations",2008-12-15,171986,0,false,,2011-09-14T16:22:02Z,"motown,classic soul,soul","Motown Records, a Division of UMG Recordings, Inc.",0.695,0.825,5,-7.254,1,0.147,0.424,0,0.373,0.659,109.421,4
spotify:track:5BF6J7ZHbncg8ynxI22ER4,"It's Just Begun","16 Slabs of Funk","The Jimmy Castor Bunch",2002-03-07,210360,40,false,,2011-05-17T17:17:43Z,"funk,breakbeat","RCA/BMG Heritage",0.639,0.889,7,-9.502,1,0.0576,0.201,0.473,0.589,0.889,117.717,4
spotify:track:0Fgr6MA005TdcoSPaHDZU1,"Just Take Your Time","Quantic Presents: The World's Rarest Funk 45s Volume Two","Innersouls",2007-08-07,164560,0,false,,2011-01-25T17:53:39Z,"funk","Jazzman",0.659,0.92,0,-8.431,1,0.295,0.0588,0.00000569,0.119,0.43,126.919,4
