Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5kSkA7u4k6pl62fZ07kzEY,"Adhara","Hundred Eight Stars","fat jon",2009-07-10,253376,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.838,0.636,6,-9.064,1,0.149,0.0379,0.726,0.11,0.757,100.017,4
spotify:track:6jnQgouGCbQGSeDIQMCfWX,"Tara","Hundred Eight Stars","fat jon",2009-07-10,127802,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.816,0.417,4,-9.815,0,0.221,0.000378,0.787,0.106,0.42,98.006,4
spotify:track:0pemoTaLOogPwi6ZI9z9dN,"Chara","Hundred Eight Stars","fat jon",2009-07-10,185016,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.721,0.554,1,-11.198,1,0.083,0.000628,0.904,0.0968,0.718,95.023,4
spotify:track:7aEBQPev5MxbO7JECUxyVG,"Naos","Hundred Eight Stars","fat jon",2009-07-10,185016,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.703,0.692,4,-8.67,0,0.0904,0.0461,0.871,0.0796,0.445,186.976,4
spotify:track:5rvRiSW1FIsqtKa4fiI0R8,"Kuma","Hundred Eight Stars","fat jon",2009-07-10,184273,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.917,0.567,11,-9.824,1,0.0456,0.0000644,0.815,0.0625,0.89,97.996,4
spotify:track:0uuc780wcO1mr59qURoTv5,"Atria","Hundred Eight Stars","fat jon",2009-07-10,227369,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.75,0.411,1,-10.555,1,0.0789,0.149,0.913,0.121,0.563,93.02,4
spotify:track:6g1gPwQTlzM9un1CTbs4Mu,"Cursa","Hundred Eight Stars","fat jon",2009-07-10,165697,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.785,0.584,11,-11.733,1,0.086,0.124,0.922,0.11,0.743,93.034,4
spotify:track:2BvobVDlXPBWP3zCCnhl8Q,"Altais","Hundred Eight Stars","fat jon",2009-07-10,191703,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.86,0.721,8,-7.689,0,0.0914,0.00208,0.677,0.059,0.669,98.004,4
spotify:track:1POzIthMTlUwhQUJMzLahH,"Diadem","Hundred Eight Stars","fat jon",2009-07-10,194676,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.677,0.424,10,-13.447,0,0.0541,0.456,0.907,0.138,0.205,95.031,4
spotify:track:6jxgWseu8h06S6fBOOJCat,"Sirrah","Hundred Eight Stars","fat jon",2009-07-10,173127,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.57,0.669,2,-8.414,1,0.129,0.00294,0.526,0.157,0.588,160.763,4
spotify:track:6mFz19Nu7gXs8yZGgwD5cr,"Nashira","Hundred Eight Stars","fat jon",2009-07-10,242973,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.689,0.418,0,-11.4,0,0.0476,0.00537,0.412,0.0765,0.763,93.004,4
spotify:track:7cAztkfxxDOiulV1LkRT52,"Vela","Hundred Eight Stars","fat jon",2009-07-10,213995,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.763,0.672,1,-10.605,1,0.0982,0.0165,0.843,0.0911,0.837,161.929,4
spotify:track:4xniIy5Y6b37cSf0HYTozb,"Mira","Hundred Eight Stars","fat jon",2009-07-10,204335,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.704,0.635,11,-12.406,0,0.0386,0.106,0.828,0.173,0.642,96.033,4
spotify:track:6GpJlKvxmN7g3lXaKV2NkH,"Turais","Hundred Eight Stars","fat jon",2009-07-10,126316,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.71,0.542,5,-10.984,0,0.0461,0.0954,0.908,0.109,0.264,95.042,4
spotify:track:0F32zLEF7LnL2wJGE5Laxw,"Rana","Hundred Eight Stars","fat jon",2009-07-10,233314,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.779,0.611,7,-10.391,1,0.091,0.133,0.904,0.0857,0.718,96.016,4
spotify:track:5ZOLCD4vWKAILiU5dWhHyK,"Pleione","Hundred Eight Stars","fat jon",2009-07-10,211765,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.829,0.374,10,-11.051,0,0.134,0.347,0.809,0.115,0.763,96.99,4
spotify:track:5y32swaMAYXmJKae8QypAF,"Sarin","Hundred Eight Stars","fat jon",2009-07-10,208793,0,false,5forty,2013-03-27T21:13:17Z,"jazz rap,downtempo,lo-fi beats","Ample Soul",0.701,0.592,7,-6.414,1,0.0847,0.00536,0.867,0.195,0.598,92.033,4
