Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5nuCXCnbKpPOxZ1qXjxcLF,"If I Had A Heart","Fever Ray","Fever Ray",2009,228400,0,false,,2011-01-06T15:02:02Z,"","Rabid Records",0.411,0.237,4,-16.184,1,0.0293,0.79,0.819,0.108,0.117,170.064,4
spotify:track:24ZDnpE6kXoQTgGDAtotsx,"When I Grow Up","Fever Ray","Fever Ray",2009,269640,0,false,,2011-01-06T15:02:02Z,"","Rabid Records",0.659,0.622,0,-9.641,1,0.0386,0.349,0.568,0.155,0.581,92.012,4
spotify:track:3R19hohwCK7QkWF6IjfZld,"Dry And Dusty","Fever Ray","Fever Ray",2009,225120,0,false,,2011-01-06T15:02:02Z,"","Rabid Records",0.535,0.546,0,-8.513,0,0.0247,0.237,0.000312,0.121,0.225,90.979,4
spotify:track:2mizLY0u57lwyabAJ0eTib,"Seven","Fever Ray","Fever Ray",2009,309573,0,false,,2011-01-06T15:02:02Z,"","Rabid Records",0.717,0.628,7,-6.14,0,0.0398,0.136,0.9,0.172,0.806,105.001,4
spotify:track:0TrdNDLh7xOF4aBXLFPi5w,"Triangle Walks","Fever Ray","Fever Ray",2009,261600,0,false,,2011-01-06T15:02:02Z,"","Rabid Records",0.578,0.723,10,-6.193,1,0.0495,0.519,0.395,0.124,0.779,179.911,4
spotify:track:0nok7IO8yS32ScEWianD1O,"Concrete Walls","Fever Ray","Fever Ray",2009,338520,0,false,,2011-01-06T15:02:02Z,"","Rabid Records",0.605,0.43,10,-6.731,1,0.0284,0.121,0.842,0.0937,0.204,80.013,4
spotify:track:0mc4lwmjgwzZpUq5tNHIcL,"Now's The Only Time I Know","Fever Ray","Fever Ray",2009,237720,0,false,,2011-01-06T15:02:02Z,"","Rabid Records",0.813,0.626,5,-8.455,0,0.0356,0.809,0.846,0.0884,0.865,123.991,4
spotify:track:5ZuaNemgm1WDyHKCA7K9Up,"I'm Not Done","Fever Ray","Fever Ray",2009,257666,0,false,,2011-01-06T15:02:02Z,"","Rabid Records",0.485,0.824,0,-6.728,1,0.0307,0.122,0.0137,0.165,0.585,162.001,3
spotify:track:3uSWANxjNzWNYzeKfQKE2m,"Keep The Streets Empty For Me","Fever Ray","Fever Ray",2009,337106,0,false,,2011-01-06T15:02:02Z,"","Rabid Records",0.579,0.277,9,-11.169,1,0.0308,0.776,0.931,0.108,0.305,157.993,4
spotify:track:3thOwD1867rdcVVQ26Srb2,"Coconut","Fever Ray","Fever Ray",2009,408106,0,false,,2011-01-06T15:02:02Z,"","Rabid Records",0.597,0.605,7,-11.157,1,0.0295,0.0444,0.728,0.111,0.548,140.002,4
spotify:track:2YT3PjvMwRJnjrJ4CVcy9K,"Stranger Than Kindness","Fever Ray (Deluxe)","Fever Ray",2009-10-15,300946,0,false,,2011-01-06T15:02:02Z,"","Digital Distribution Latvia",0.547,0.607,0,-11.473,1,0.0271,0.012,0.942,0.0827,0.131,127.005,4
spotify:track:7IocKn7qliSw4SnS1iuXlo,"Here Before","Fever Ray (Deluxe)","Fever Ray",2009-10-15,195653,0,false,,2011-01-06T15:02:02Z,"","Digital Distribution Latvia",0.508,0.316,0,-16.136,0,0.0395,0.787,0.327,0.448,0.199,137.91,4
spotify:track:1nok29KvCdtGToySLw8lsM,"When I Grow Up","When I Grow Up","Fever Ray",2009-03-30,271280,0,false,,2011-01-06T15:02:10Z,"","Universal Music Ltd.",0.656,0.621,0,-9.649,1,0.04,0.343,0.49,0.154,0.57,92.048,4
spotify:track:3bD4fkerppm0axHVUvDqAE,"When I Grow Up - Håkan Lidbo's Encephalitis Remix","When I Grow Up","Fever Ray",2009-03-30,359386,0,false,,2011-01-06T15:02:10Z,"","Universal Music Ltd.",0.635,0.862,0,-5.925,1,0.439,0.0437,0.000167,0.0906,0.78,122.98,4
spotify:track:1bi7r9i34ZX4qyPUqRoDbb,"When I Grow Up - D.Lissvik","When I Grow Up","Fever Ray",2009-03-30,268120,0,false,,2011-01-06T15:02:10Z,"","Universal Music Ltd.",0.695,0.767,5,-6.252,1,0.0487,0.0101,0.0119,0.622,0.822,92.012,4
spotify:track:3mk78YBPtCTnZOUCc9KFnW,"Memories From When I Grew Up - Remembered by The Subliminal Kid","When I Grow Up","Fever Ray",2009-03-30,1001480,0,false,,2011-01-06T15:02:10Z,"","Universal Music Ltd.",0.729,0.559,10,-17.342,0,0.243,0.76,0.932,0.0993,0.136,117.966,4
spotify:track:4KFsqlXBPScWzLxalqO7p3,"When I Grow Up - Van Rivers Dark Sails On The Horizon Mix","When I Grow Up","Fever Ray",2009-03-30,556093,0,false,,2011-01-06T15:02:10Z,"","Universal Music Ltd.",0.872,0.835,1,-6.618,1,0.0491,0.0423,0.903,0.667,0.244,123.006,5
spotify:track:3SfSA6q5rlvZhfg70H9N56,"When I Grow Up - We Grow Apart Vocal Version By Pär Grindvik","When I Grow Up","Fever Ray",2009-03-30,362040,0,false,,2011-01-06T15:02:10Z,"","Universal Music Ltd.",0.75,0.599,9,-8.323,0,0.0737,0.0249,0.0675,0.0904,0.511,121.991,4
spotify:track:6nyew9i4uiLMWuFSooUIFt,"When I Grow Up - We Grow Apart Inspiration - Take 2 - By Pär Grindvik","When I Grow Up","Fever Ray",2009-03-30,479853,0,false,,2011-01-06T15:02:10Z,"","Universal Music Ltd.",0.841,0.723,0,-8.715,1,0.0934,0.000036,0.865,0.17,0.402,126.003,4
spotify:track:2SJFZMKkQcAZzNN1pgbYvS,"When I Grow Up - Scuba's High Up mix","When I Grow Up","Fever Ray",2009-03-30,377013,0,false,,2011-01-06T15:02:10Z,"","Universal Music Ltd.",0.656,0.664,7,-10.379,0,0.3,0.0626,0.829,0.372,0.323,68.908,4
spotify:track:4OdyfhKnHqBBAJt8zXRQcI,"When I Grow Up - Scuba's Straight Down mix","When I Grow Up","Fever Ray",2009-03-30,354560,0,false,,2011-01-06T15:02:10Z,"","Universal Music Ltd.",0.724,0.7,7,-10.879,0,0.16,0.0165,0.599,0.615,0.144,137.994,4
spotify:track:67Wf8Ye1y6PBDfvfj4x7R7,"If I Had A Heart - Live","Live In Lulea","Fever Ray",2009-01-01,306493,0,false,,2011-01-06T15:02:16Z,"","Universal Music Group",0.151,0.371,9,-16.865,1,0.0443,0.158,0.895,0.694,0.0377,169.793,4
spotify:track:51EwaRxuThNfSwxo5rf42s,"Triangle Walks - Live","Live In Lulea","Fever Ray",2009-01-01,260959,0,false,,2011-01-06T15:02:16Z,"","Universal Music Group",0.623,0.69,10,-9.17,1,0.0397,0.179,0.109,0.87,0.544,90.009,4
spotify:track:5uSFZL0q4cXO61ZOcHEi3v,"Concrete Walls - Live","Live In Lulea","Fever Ray",2009-01-01,359800,0,false,,2011-01-06T15:02:16Z,"","Universal Music Group",0.541,0.469,7,-10.5,0,0.0292,0.0494,0.884,0.943,0.0797,80.038,4
spotify:track:1NLdqKglu2Sfe6dBZs3HCm,"Seven - Live","Live In Lulea","Fever Ray",2009-01-01,336040,0,false,,2011-01-06T15:02:16Z,"","Universal Music Group",0.641,0.678,10,-9.616,1,0.0413,0.211,0.0866,0.155,0.869,104.996,4
spotify:track:7cGS6qWbp7KyQs7yJQlf7d,"I'm Not Done - Live","Live In Lulea","Fever Ray",2009-01-01,280266,0,false,,2011-01-06T15:02:16Z,"","Universal Music Group",0.512,0.807,0,-7.873,1,0.0389,0.00325,0.893,0.696,0.645,162.012,3
spotify:track:25BEldoRx1u1w0nhsP8KZX,"Now's The Only Time I Know - Live","Live In Lulea","Fever Ray",2009-01-01,234546,0,false,,2011-01-06T15:02:16Z,"","Universal Music Group",0.838,0.714,8,-10.149,1,0.043,0.0507,0.586,0.706,0.698,124.013,4
spotify:track:4PreG8r2Tutm4xCQi6YCxC,"Keep The Streets Empty For Me - Live","Live In Lulea","Fever Ray",2009-01-01,343360,0,false,,2011-01-06T15:02:16Z,"","Universal Music Group",0.597,0.345,9,-11.743,0,0.0292,0.795,0.408,0.592,0.256,158.011,4
spotify:track:4QW7pz02X0AQQYjwABjTdL,"Dry And Dusty - Live","Live In Lulea","Fever Ray",2009-01-01,218960,0,false,,2011-01-06T15:02:16Z,"","Universal Music Group",0.572,0.661,5,-9.442,1,0.0299,0.0819,0.569,0.456,0.311,91.018,4
spotify:track:4EvRHR9ErUg78FUkWMwI8l,"Stranger Than Kindness - Live","Live In Lulea","Fever Ray",2009-01-01,305080,0,false,,2011-01-06T15:02:16Z,"","Universal Music Group",0.481,0.803,0,-9.179,1,0.0416,0.00114,0.119,0.708,0.239,127.006,4
spotify:track:5TqVUzCcAMnOA8PkrLTco7,"When I Grow Up - Live","Live In Lulea","Fever Ray",2009-01-01,335560,0,false,,2011-01-06T15:02:16Z,"","Universal Music Group",0.326,0.693,0,-9.113,1,0.288,0.0233,0.287,0.947,0.177,184.071,4
spotify:track:5P4jXtzWH3UveyaTpyERnQ,"Here Before - Live","Live In Lulea","Fever Ray",2009-01-01,224120,0,false,,2011-01-06T15:02:16Z,"","Universal Music Group",0.256,0.726,7,-15.11,0,0.545,0.593,0.115,0.927,0.529,102.68,3
spotify:track:5eJiCRo4elocsP8Lnm7NCK,"Coconut - Live","Live In Lulea","Fever Ray",2009-01-01,481266,0,false,,2011-01-06T15:02:16Z,"","Universal Music Group",0.578,0.702,7,-9.115,1,0.0322,0.0127,0.764,0.476,0.408,140.016,4
