Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0cWEqBpSYDRK9Aw3mNb95F,"Heart Full of Pentagons","Fission","Film School",2010-08-30,256173,16,false,5forty,2016-07-01T07:29:34Z,"shoegaze,dream pop","Film School",0.389,0.814,2,-8.007,1,0.0381,0.00000254,0.842,0.098,0.506,150.098,4
spotify:track:2vltNUFmhr1Z6pIajTJd2q,"When I'm Yours","Fission","Film School",2010-08-30,229880,12,false,5forty,2016-07-01T07:29:34Z,"shoegaze,dream pop","Film School",0.322,0.873,7,-7.712,1,0.0656,0.0000169,0.0668,0.225,0.351,180.028,4
spotify:track:03PO8FTmrsndJM1ffHt9h4,"Time to Listen","Fission","Film School",2010-08-30,234413,30,false,5forty,2016-07-01T07:29:34Z,"shoegaze,dream pop","Film School",0.424,0.647,2,-7.789,1,0.0281,0.000817,0.901,0.111,0.439,142.026,4
spotify:track:2dHbCQdtThgFzlOMiAkRRY,"Waited","Fission","Film School",2010-08-30,245053,4,false,5forty,2016-07-01T07:29:34Z,"shoegaze,dream pop","Film School",0.394,0.932,9,-5.686,1,0.04,0.000139,0.87,0.0854,0.596,141.908,4
spotify:track:0NJwJBdol18Ymakdnd7B0f,"Meet Around 10","Fission","Film School",2010-08-30,354000,10,false,5forty,2016-07-01T07:29:34Z,"shoegaze,dream pop","Film School",0.348,0.853,2,-7.977,1,0.0305,0.00113,0.00518,0.116,0.426,162.051,4
spotify:track:1FeQGCWPrqaW5JP7ik5qr2,"Direct","Fission","Film School",2010-08-30,264520,4,false,5forty,2016-07-01T07:29:34Z,"shoegaze,dream pop","Film School",0.515,0.823,2,-8.727,1,0.028,0.0125,0.799,0.154,0.838,124.984,4
spotify:track:0AnTmlOHBOiOKB3GIR3xW5,"Still Might","Fission","Film School",2010-08-30,226693,18,false,5forty,2016-07-01T07:29:34Z,"shoegaze,dream pop","Film School",0.554,0.653,5,-8.139,1,0.0294,0.00804,0.793,0.117,0.382,124.976,4
spotify:track:2qH00a7AlufeEb9mME7skO,"Distant Life","Fission","Film School",2010-08-30,171453,4,false,5forty,2016-07-01T07:29:34Z,"shoegaze,dream pop","Film School",0.261,0.812,7,-6.049,1,0.0343,0.00000505,0.176,0.0935,0.56,200.054,4
spotify:track:73js069pxsDuKOmI5dpOMD,"Sunny Day","Fission","Film School",2010-08-30,211720,7,false,5forty,2016-07-01T07:29:34Z,"shoegaze,dream pop","Film School",0.393,0.886,2,-7.079,1,0.0376,0.0000708,0.414,0.0792,0.702,141.941,4
spotify:track:0Zf3Lj5Xjf5cSU678nDGiV,"Bones","Fission","Film School",2010-08-30,256013,3,false,5forty,2016-07-01T07:29:34Z,"shoegaze,dream pop","Film School",0.542,0.656,2,-8.339,1,0.0312,0.000702,0.636,0.35,0.671,123.946,4
spotify:track:0mS2OHa4fFM7DQMgLoECTW,"Nothing's Mine","Fission","Film School",2010-08-30,294933,6,false,5forty,2016-07-01T07:29:34Z,"shoegaze,dream pop","Film School",0.162,0.74,11,-6.693,1,0.0377,0.0000104,0.849,0.308,0.423,179.326,4
spotify:track:4InC92gfrPKDvShgUlWgDo,"Find You Out","Fission","Film School",2010-08-30,272213,5,false,5forty,2016-07-01T07:29:34Z,"shoegaze,dream pop","Film School",0.462,0.81,7,-7.075,1,0.0296,0.0000174,0.774,0.102,0.519,143.014,4
