Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0IVkP59yJ9GFF6B7IrvrxA,"Paper Bag","When The Pawn...","Fiona Apple",1999-11-09,219266,66,false,,2012-07-20T05:06:04Z,"art pop","Clean Slate/Epic",0.709,0.446,0,-9.904,1,0.037,0.716,0.0000239,0.11,0.843,140.993,3
spotify:track:4MHB6aVYOgd3j4qtRPTbsh,"Criminal","Tidal","Fiona Apple",1996-07-23,341533,0,false,,2012-07-20T05:06:04Z,"art pop","Work",0.595,0.804,7,-7.911,0,0.0326,0.0129,0.0000197,0.299,0.586,89.846,4
spotify:track:1UmmSKPdCtBuJsmbZG9G3u,"Fast As You Can","When The Pawn...","Fiona Apple",1999-11-09,278266,56,false,,2012-07-20T05:06:04Z,"art pop","Clean Slate/Epic",0.46,0.772,0,-9.233,1,0.0444,0.131,0.0412,0.0527,0.531,138.002,4
spotify:track:5h9Iek7Hp9wayRt7fBp7Ab,"Extraordinary Machine","Extraordinary Machine","Fiona Apple",2005-10-04,223613,49,false,,2012-07-20T05:06:04Z,"art pop","Epic/Clean Slate",0.701,0.202,1,-12.48,1,0.0604,0.905,0.000157,0.107,0.478,85.39,4
spotify:track:43o7PowhXdkjBlaGC6GIfg,"On The Bound","When The Pawn...","Fiona Apple",1999-11-09,322000,53,false,,2012-07-20T05:06:04Z,"art pop","Clean Slate/Epic",0.654,0.577,0,-8.217,0,0.0285,0.0506,0.0499,0.481,0.657,116.903,4
spotify:track:6HPZo9krwjbhMGKbqVkkDQ,"Every Single Night","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition)","Fiona Apple",2012-06-18,209386,47,false,,2012-07-20T05:06:04Z,"art pop","Epic",0.687,0.195,0,-12.612,1,0.0603,0.859,0,0.226,0.402,125.949,4
spotify:track:67ftdeQCBBgd3rB78NVLr2,"Daredevil","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition)","Fiona Apple",2012-06-18,208200,44,false,,2012-07-20T05:06:04Z,"art pop","Epic",0.709,0.386,7,-15.281,1,0.058,0.761,0.00131,0.0605,0.443,85.614,4
spotify:track:2zhOjOH2DvARkRcCvCo7DC,"Valentine","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition)","Fiona Apple",2012-06-18,212840,50,false,,2012-07-20T05:06:04Z,"art pop","Epic",0.51,0.18,2,-15.673,1,0.0553,0.784,0.000478,0.0944,0.145,109.973,4
spotify:track:1xq9GyfTbElPmxFMcKHNiI,"Jonathan","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition)","Fiona Apple",2012-06-18,303733,39,false,,2012-07-20T05:06:04Z,"art pop","Epic",0.548,0.423,11,-14.138,1,0.0262,0.737,0.172,0.0901,0.236,155.025,3
spotify:track:18U67rsYOw5X0rY7LJzZQD,"Left Alone","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition)","Fiona Apple",2012-06-18,290680,43,false,,2012-07-20T05:06:04Z,"art pop","Epic",0.495,0.416,10,-13.717,0,0.041,0.673,0.0204,0.103,0.362,171.167,3
spotify:track:5exHP9IYyaFSeQ5Y4OtbKb,"Werewolf","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition)","Fiona Apple",2012-06-18,192706,45,false,,2012-07-20T05:06:04Z,"art pop","Epic",0.453,0.303,9,-13.748,0,0.0424,0.836,0.0000148,0.0937,0.213,123.223,3
spotify:track:2cf3Yj51sQZXmK2Kra0m7p,"Periphery","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition)","Fiona Apple",2012-06-18,298280,39,false,,2012-07-20T05:06:04Z,"art pop","Epic",0.435,0.374,7,-11.403,1,0.0417,0.657,0.0882,0.0945,0.807,109.316,4
spotify:track:7fzfi31oBNGZAwgE1Q41u0,"Regret","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition)","Fiona Apple",2012-06-18,316960,40,false,,2012-07-20T05:06:04Z,"art pop","Epic",0.663,0.287,0,-16.088,1,0.0389,0.826,0.577,0.0839,0.217,146.96,3
spotify:track:1eBB2ZqS7NAVe6henP56PY,"Anything We Want","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition)","Fiona Apple",2012-06-18,280893,39,false,,2012-07-20T05:06:04Z,"art pop","Epic",0.728,0.413,0,-13.061,1,0.0326,0.538,0.00514,0.0864,0.425,98.497,4
spotify:track:4eZPjR0dLEYvH5Ku26rnLi,"Hot Knife","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition)","Fiona Apple",2012-06-18,242040,45,false,,2012-07-20T05:06:04Z,"art pop","Epic",0.783,0.464,5,-13.55,0,0.143,0.858,0.0000137,0.152,0.812,97.499,4
spotify:track:12C2Fd7NeDucehWCstk83l,"Largo","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition)","Fiona Apple",2012-06-18,158466,38,false,,2012-07-20T05:06:04Z,"art pop","Epic",0.516,0.266,8,-11.271,1,0.0395,0.904,0,0.113,0.278,64.558,4
