Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3hlBBIxuqtd5pJzUwUUiih,"Agnes Revenge","Flatland","Objekt",2014-10-24,114105,0,false,5forty,2014-11-03T21:02:59Z,"idm,breakbeat","PAN",0.213,0.424,0,-17.518,1,0.0842,0.0479,0.867,0.112,0.0498,158.829,4
spotify:track:7I5WO7FFtFvEYvs8f18FqJ,"One Fell Swoop","Flatland","Objekt",2014-10-24,282613,0,false,5forty,2014-11-03T21:02:59Z,"idm,breakbeat","PAN",0.768,0.912,7,-13.077,1,0.0883,0.138,0.872,0.306,0.513,139.984,4
spotify:track:6x42BsE1NuQeSxGWy0AH06,"Ratchet","Flatland","Objekt",2014-10-24,301616,0,false,5forty,2014-11-03T21:02:59Z,"idm,breakbeat","PAN",0.734,0.927,10,-8.374,0,0.0586,0.0115,0.799,0.206,0.942,148.98,4
spotify:track:5veVDHCUlHXtA1LRpKPqK5,"Strays","Flatland","Objekt",2014-10-24,313874,0,false,5forty,2014-11-03T21:02:59Z,"idm,breakbeat","PAN",0.51,0.805,9,-10.017,0,0.0414,0.00448,0.884,0.362,0.887,163.995,4
spotify:track:5CpRwuxMTvnWf03HQ872re,"Agnes Apparatus","Flatland","Objekt",2014-10-24,201695,0,false,5forty,2014-11-03T21:02:59Z,"idm,breakbeat","PAN",0.213,0.582,11,-15.37,1,0.159,0.392,0.899,0.125,0.106,59.96,4
spotify:track:6N5dpsW2fdBxh8QqUEc6aG,"Dogma","Flatland","Objekt",2014-10-24,275768,0,false,5forty,2014-11-03T21:02:59Z,"idm,breakbeat","PAN",0.717,0.686,11,-9.795,1,0.0454,0.0028,0.769,0.151,0.569,91.004,4
spotify:track:3yztpdMJo30rBTvFzJCnMZ,"First Witness","Flatland","Objekt",2014-10-24,254610,0,false,5forty,2014-11-03T21:02:59Z,"idm,breakbeat","PAN",0.682,0.471,1,-12.719,1,0.0445,0.0197,0.64,0.596,0.236,119.943,4
spotify:track:6oWlBRhp8mQZXIZqSPjtA3,"Interlude (Whodunnit?)","Flatland","Objekt",2014-10-24,131856,0,false,5forty,2014-11-03T21:02:59Z,"idm,breakbeat","PAN",0.8,0.98,2,-13.343,1,0.0865,0.203,0.902,0.0477,0.868,131,4
spotify:track:2XD2XhJ2Ylag7FHegz1EXO,"Second Witness","Flatland","Objekt",2014-10-24,225040,0,false,5forty,2014-11-03T21:02:59Z,"idm,breakbeat","PAN",0.691,0.702,10,-11.77,0,0.088,0.184,0.0423,0.409,0.519,123.99,4
spotify:track:0LO9MmjkN9skVsi1hovgc0,"One Stitch Follows Another","Flatland","Objekt",2014-10-24,265850,0,false,5forty,2014-11-03T21:02:59Z,"idm,breakbeat","PAN",0.556,0.443,7,-16.443,1,0.0706,0.219,0.877,0.141,0.142,131.957,4
spotify:track:7o266PMn6Q81tZZyGmNhqy,"Cataracts","Flatland","Objekt",2014-10-24,313801,0,false,5forty,2014-11-03T21:02:59Z,"idm,breakbeat","PAN",0.205,0.362,9,-17.761,1,0.0656,0.149,0.769,0.112,0.106,163.579,4
spotify:track:3jUYamxQBvjJagKxeaL0Zt,"Fishbone","Objekt #3","Objekt",2013-11-19,312500,4,false,5forty,2014-12-03T02:26:56Z,"idm,breakbeat","OBJEKT",0.771,0.96,6,-10.316,1,0.0673,0.000754,0.892,0.0943,0.435,134.002,4
