Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Dz2f8aCcVuaeTBZbgHQd9,"Shape","Flyaway Garden","Breakfast In Fur",2015-02-03,218398,0,false,5forty,2015-02-05T03:29:23Z,"","Bar/None Records",0.322,0.939,9,-4.225,1,0.0435,0.0082,0.0499,0.103,0.674,142.744,4
spotify:track:4BituYNTM140ukS4Z21Ca4,"Portrait","Flyaway Garden","Breakfast In Fur",2015-02-03,221983,0,false,5forty,2015-02-05T03:29:23Z,"","Bar/None Records",0.375,0.798,4,-6.471,0,0.0319,0.0219,0.686,0.145,0.337,93.799,4
spotify:track:50GIrUAf1bJsXjBMzFNL6G,"Aurora Falls","Flyaway Garden","Breakfast In Fur",2015-02-03,154681,0,false,5forty,2015-02-05T03:29:23Z,"","Bar/None Records",0.343,0.545,0,-7.54,1,0.0302,0.328,0.777,0.117,0.341,156.094,4
spotify:track:43yDyIw87o2Q2SNDD7XGR7,"Whisper","Flyaway Garden","Breakfast In Fur",2015-02-03,298419,0,false,5forty,2015-02-05T03:29:23Z,"","Bar/None Records",0.386,0.594,2,-6.622,1,0.0329,0.0381,0.28,0.19,0.363,122.221,4
spotify:track:1D6pMYed6Z9TjZxVGc9BFr,"Lifter","Flyaway Garden","Breakfast In Fur",2015-02-03,211919,0,false,5forty,2015-02-05T03:29:23Z,"","Bar/None Records",0.424,0.73,5,-7.907,1,0.034,0.0705,0.206,0.142,0.468,153.587,4
spotify:track:4hNVfPPaJRoSA0IGNItdlt,"Ghum","Flyaway Garden","Breakfast In Fur",2015-02-03,61646,0,false,5forty,2015-02-05T03:29:23Z,"","Bar/None Records",0.336,0.442,0,-15.068,1,0.0521,0.944,0.965,0.0834,0.344,80.183,3
spotify:track:1HNQZn8vN7oTf3E3eD4Pn0,"Setting Stone","Flyaway Garden","Breakfast In Fur",2015-02-03,201233,0,false,5forty,2015-02-05T03:29:23Z,"","Bar/None Records",0.347,0.439,2,-7.226,1,0.0298,0.112,0.081,0.109,0.447,138.629,4
spotify:track:3VQmoB7kiQXs47sdBHCqNy,"Cripple Creek Ferry","Flyaway Garden","Breakfast In Fur",2015-02-03,200151,0,false,5forty,2015-02-05T03:29:23Z,"","Bar/None Records",0.343,0.823,7,-6.792,0,0.14,0.471,0.0106,0.166,0.107,194.961,4
spotify:track:0q7bjH6ZlbhBU7VeUJkr5S,"Flyaway Garden","Flyaway Garden","Breakfast In Fur",2015-02-03,71323,0,false,5forty,2015-02-05T03:29:23Z,"","Bar/None Records",0.286,0.127,7,-19.24,0,0.0421,0.994,0.826,0.0942,0.04,58.439,4
spotify:track:7E2TmuDi7mZEYa69PMwuzL,"Episode","Flyaway Garden","Breakfast In Fur",2015-02-03,238780,0,false,5forty,2015-02-05T03:29:23Z,"","Bar/None Records",0.196,0.547,4,-12.22,1,0.112,0.907,0.791,0.148,0.03,108.502,4
spotify:track:2VjxVsXPbPaOavd0hvJ8CU,"Sun Catcher","Flyaway Garden","Breakfast In Fur",2015-02-03,277670,0,false,5forty,2015-02-05T03:29:23Z,"","Bar/None Records",0.218,0.415,11,-10.54,1,0.0332,0.923,0.882,0.123,0.0379,99.505,4
