Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:62D4ilwxJNhjiixorqH567,"Rage Of Angels","Coup De Grace","Orange Goblin",2002,268026,21,false,,2011-12-08T13:32:01Z,"stoner rock,stoner metal,sludge metal,doom metal,space rock","Rise Above Records",0.306,0.847,2,-6.393,1,0.0804,0.000393,0.0311,0.102,0.371,150.699,4
spotify:track:5NyFFIp7NRmqF0wmuJLxqZ,"Supa Scoopa and Mighty Scoop","Welcome to Sky Valley","Kyuss",1994-06-07,356200,0,false,,2011-12-08T13:34:46Z,"stoner rock,stoner metal,sludge metal,doom metal,space rock","Rhino/Elektra",0.263,0.679,5,-11.883,0,0.0498,0.202,0.776,0.0968,0.406,82.261,4
spotify:track:07HF5tFmwh6ahN93JC6LmE,"Space Cadet","Welcome to Sky Valley","Kyuss",1994-06-07,422533,0,true,,2011-12-08T13:34:46Z,"stoner rock,stoner metal,sludge metal,doom metal,space rock","Rhino/Elektra",0.461,0.168,11,-16.225,0,0.042,0.449,0.886,0.267,0.309,169.675,4
spotify:track:2cVphsi72OjF7s0rtt2z5e,"Demon Cleaner","Welcome to Sky Valley","Kyuss",1994-06-07,311906,0,false,,2011-12-08T13:34:46Z,"stoner rock,stoner metal,sludge metal,doom metal,space rock","Rhino/Elektra",0.516,0.824,10,-10.027,0,0.0363,0.0695,0.753,0.221,0.882,102.044,4
spotify:track:6nxHMqTNKWlQnx5AFxz1iX,"Green Machine","Blues for the Red Sun","Kyuss",1992-01-01,217906,55,false,,2011-12-08T13:34:50Z,"stoner rock,stoner metal,sludge metal,doom metal,space rock","Rhino/Elektra",0.497,0.947,0,-8.802,1,0.0391,0.0000821,0.000693,0.118,0.588,90.371,4
spotify:track:5GtBdVBzYVoYZor3gIUv79,"Just A Fraction","Gentleman's Pistols","Gentlemans Pistols",2007-06-25,178440,0,false,,2011-12-08T13:29:13Z,"stoner rock,stoner metal,sludge metal","Rise Above Records",0.231,0.849,4,-4.977,0,0.0358,0.00025,0.000227,0.174,0.646,162.785,4
spotify:track:2AEtafWTMAFpGqrS1zjryN,"Meantime - Originals","Firebird","Firebird",2000,157253,0,false,,2011-12-08T13:29:47Z,"stoner rock,stoner metal,sludge metal,blues rock","Paradise MusicWerks",0.39,0.979,7,-4.095,1,0.0602,0.000788,0.192,0.175,0.583,100.104,4
spotify:track:23JiM1Bl7SxamhXtdXFBr6,"Desert Cruiser","Gravity X","Truckfighters",2005,449946,0,false,,2011-12-08T13:30:01Z,"stoner rock,stoner metal,sludge metal,space rock,doom metal,psychedelic rock","MeteorCity",0.201,0.748,1,-7.066,1,0.0502,0.00256,0.75,0.161,0.244,121.9,4
spotify:track:3vUxHAIdQIDOlfPvRYsiVf,"Last Curfew","Truckfighters - Mania","Truckfighters",2005-04-04,475800,0,false,,2011-12-08T13:30:01Z,"stoner rock,stoner metal,sludge metal,space rock,doom metal,psychedelic rock","Fuzzorama Records",0.252,0.631,6,-7.985,0,0.0322,0.00718,0.0365,0.107,0.18,93.893,4
spotify:track:0hjsWP4DNYmYHD21ZhDcya,"Venus in Furs","Black Masses","Electric Wizard",2010-11-01,382466,24,false,,2011-12-08T13:30:35Z,"stoner metal,sludge metal,doom metal,drone metal,drone","Rise Above Records",0.207,0.754,2,-4.074,1,0.0484,0.0000211,0.801,0.357,0.248,95.275,4
spotify:track:5D5VBVIdXJlaY96nFTuYev,"Bab el-Mandeb","Regress","Slabdragger",2011-05-16,576078,0,false,,2011-12-08T13:30:50Z,"sludge metal,stoner metal,doom metal,stoner rock,drone metal","Holy Roar",0.294,0.767,2,-7.986,1,0.0536,0.0317,0.785,0.106,0.157,65.709,4
spotify:track:1aTnFlvvhD3YZOfXUQh7fx,"Tres Brujas","Warp Riders","The Sword",2010-08-23,249333,0,false,,2011-12-08T13:31:30Z,"stoner metal,stoner rock,sludge metal,doom metal","Kemado Records",0.557,0.949,0,-4.514,1,0.0482,0.00197,0.0101,0.157,0.485,109.987,4
spotify:track:4vq8fEjeBE7gczue9Ow95x,"Some You Win, Some You Lose","Thieving From The House Of God","Orange Goblin",2004,201026,20,false,,2011-12-08T13:31:40Z,"stoner rock,stoner metal,sludge metal,doom metal,space rock","Rise Above Records",0.207,0.948,11,-2.058,0,0.0811,0.0000291,0,0.217,0.297,100.133,4
spotify:track:6rz5qZ9u3rrrD0hUlju2Lu,"Your World Will Hate This","Coup De Grace","Orange Goblin",2002,119240,16,false,,2011-12-08T13:32:01Z,"stoner rock,stoner metal,sludge metal,doom metal,space rock","Rise Above Records",0.414,0.962,2,-5.475,0,0.0578,0.000992,0.000229,0.415,0.412,106.987,4
spotify:track:6iZOMVz1q4iPD5SlC0wbrU,"Stinkin O Gin","Coup De Grace","Orange Goblin",2002,442000,6,false,,2011-12-08T13:32:01Z,"stoner rock,stoner metal,sludge metal,doom metal,space rock","Rise Above Records",0.243,0.871,2,-6.196,1,0.052,0.000837,0.118,0.164,0.438,75.813,4
spotify:track:5zNq14WHp0GkW1EbxhjGWi,"Jerusalem (Pt. 1) - Original","Jerusalem","Sleep",1999,568066,0,false,,2011-12-08T13:32:29Z,"stoner metal,sludge metal,doom metal,stoner rock,drone metal,drone","Paradise MusicWerks",0.171,0.534,0,-10.126,1,0.0331,0.00000878,0.711,0.112,0.0381,97.563,4
spotify:track:5oABn2E9jiDrmhDdiNWbKS,"Honey Bucket","Houdini","Melvins",1993-08-31,181146,54,false,,2011-12-08T13:33:08Z,"sludge metal,grunge,stoner metal,stoner rock,drone metal,doom metal,noise rock,post-grunge","Atlantic Records",0.414,0.892,2,-10.722,1,0.0523,0.00000531,0.346,0.345,0.594,88.064,4
spotify:track:6LjCGyGlid0lsuwlwh31Lq,"Hag Me","Houdini","Melvins",1993-08-31,426400,35,false,,2011-12-08T13:33:08Z,"sludge metal,grunge,stoner metal,stoner rock,drone metal,doom metal,noise rock,post-grunge","Atlantic Records",0.355,0.663,2,-8.398,1,0.0563,0.003,0.0035,0.186,0.108,82.118,4
spotify:track:5kQf33aiP0YoVyrHJj8Xee,"Ride","The Ethereal Mirror","Cathedral",1993,287200,33,false,,2011-12-08T13:35:32Z,"doom metal,stoner metal,sludge metal,stoner rock,drone metal","Earache Records Ltd",0.302,0.926,6,-6.368,1,0.161,0.000444,0.114,0.0419,0.559,123.707,4
spotify:track:7HqhmKzHaiHsbg8cyL8VHk,"Midnight Mountain","The Ethereal Mirror","Cathedral",1993,295360,26,false,,2011-12-08T13:35:32Z,"doom metal,stoner metal,sludge metal,stoner rock,drone metal","Earache Records Ltd",0.306,0.937,0,-6.295,1,0.107,0.0000583,0.384,0.303,0.461,145.09,4
spotify:track:2cmXcRFMJ6LHqflP82hYBx,"The Mob Goes Wild","Blast Tyrant","Clutch",2011-05-02,212333,0,false,,2011-12-08T13:36:45Z,"stoner rock,stoner metal,sludge metal","Weathermaker Music",0.398,0.949,0,-4.097,1,0.149,0.00552,0,0.376,0.569,171.888,4
spotify:track:60WaHgX7a6BQHcOjdIQ9fE,"White's Ferry","From Beale Street To Oblivion","Clutch",2007,322760,0,false,,2011-12-08T13:36:45Z,"stoner rock,stoner metal,sludge metal","Weathermaker Music",0.39,0.707,0,-6.435,1,0.0304,0.395,0.504,0.141,0.141,73.702,4
spotify:track:6VR2wTjJGtlBnQztwVCbQM,"Burning Beard","Robot Hive/Exodus (Bonus Track Version)","Clutch",2005,240266,38,false,,2011-12-08T13:36:45Z,"stoner rock,stoner metal,sludge metal","Weathermaker Music",0.246,0.914,7,-5.751,1,0.17,0.0169,0.000302,0.204,0.55,172.658,3
spotify:track:3E8fhd4nlgSeqUCP0z9PlX,"10001110101","Robot Hive/Exodus (Bonus Track Version)","Clutch",2005,300346,31,false,,2011-12-08T13:36:45Z,"stoner rock,stoner metal,sludge metal","Weathermaker Music",0.571,0.85,5,-6.099,1,0.101,0.194,0.0000286,0.258,0.464,91.118,4
spotify:track:1zTeAVnh8z7socaDE3IR9R,"Pure Rock Fury","Pure Rock Fury (US Version)","Clutch",2001-03-13,201626,32,false,,2011-12-08T13:36:45Z,"stoner rock,stoner metal,sludge metal","Atlantic Records",0.197,0.969,0,-6.008,1,0.168,0.00849,0.00000169,0.155,0.269,163.873,4
spotify:track:6raRCdd8RoWvtBpzhJ1CJb,"Bury Me in Smoke","Nola","DOWN",1995-08-29,424000,42,false,,2011-12-08T13:38:06Z,"sludge metal,stoner metal,stoner rock,groove metal,doom metal,metal","EastWest",0.349,0.925,4,-6.934,1,0.104,0.0134,0.339,0.0783,0.367,142.237,4
