Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0O8UJs2QAtV5HetSC0hOlK,"Alap","New Energy","Four Tet",2017-09-29,81780,34,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.326,0.0431,2,-21.172,1,0.0436,0.992,0.967,0.0991,0.0347,127.713,3
spotify:track:2ZIaH69kaz55RM4Pjx6KXl,"Two Thousand and Seventeen","New Energy","Four Tet",2017-09-29,252255,54,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.551,0.469,2,-8.393,1,0.0296,0.327,0.161,0.0939,0.498,75.495,4
spotify:track:3DIqOukIhN6BbXzdvC5iZW,"LA Trance","New Energy","Four Tet",2017-09-29,347393,40,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.685,0.342,1,-12.478,1,0.0358,0.94,0.891,0.0942,0.344,129.983,4
spotify:track:1tpBdgM1LZXSfQ6gF2d8Ps,"Tremper","New Energy","Four Tet",2017-09-29,89402,34,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.219,0.533,9,-25.386,1,0.344,0.946,0.185,0.804,0.769,74.53,3
spotify:track:4KjNEsQ4jkqXwCmsn71a9p,"Lush","New Energy","Four Tet",2017-09-29,311893,52,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.659,0.667,1,-10.463,0,0.0326,0.83,0.896,0.118,0.637,132.907,4
spotify:track:4W7f4EzaVPJfLvmYwls6l6,"Scientists","New Energy","Four Tet",2017-09-29,299305,34,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.676,0.54,0,-10.028,1,0.0356,0.472,0.79,0.0755,0.304,121.967,4
spotify:track:6EOZBOQzTVZh9737ULhb0j,"Falls 2","New Energy","Four Tet",2017-09-29,72167,33,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.291,0.05,8,-31.928,0,0.0358,0.982,0.936,0.0814,0.193,75.51,4
spotify:track:5OokYDHFAJceLdDuPmtvZ7,"You Are Loved","New Energy","Four Tet",2017-09-29,368595,35,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.649,0.464,11,-11.497,1,0.0378,0.91,0.926,0.111,0.233,120.996,4
spotify:track:2xN54cw14BBwQVCzQS2izH,"SW9 9SL","New Energy","Four Tet",2017-09-29,475639,36,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.71,0.832,4,-9.759,0,0.0371,0.592,0.924,0.098,0.282,128.99,4
spotify:track:4NI4vAv7Mu8zS7RbSnphCi,"10 Midi","New Energy","Four Tet",2017-09-29,85056,31,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.537,0.0743,6,-24.607,1,0.0464,0.981,0.826,0.0944,0.113,61.889,5
spotify:track:0QIyJvZOkzMFLJb6mTLFUM,"Memories","New Energy","Four Tet",2017-09-29,197903,33,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.393,0.393,11,-14.891,1,0.0388,0.762,0.866,0.107,0.0391,128.004,4
spotify:track:4H4p1B3GrZHnh71vgPtHQW,"Daughter","New Energy","Four Tet",2017-09-29,295131,42,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.621,0.3,1,-9.135,1,0.056,0.765,0.00598,0.11,0.369,81.098,4
spotify:track:2aeUaNxToB2xb5kNoqNQBC,"Gentle Soul","New Energy","Four Tet",2017-09-29,72185,30,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.216,0.00585,5,-34.014,0,0.0485,0.988,0.902,0.0916,0.0582,94.024,3
spotify:track:4U6ThqF3jiaUVgYcxmpOXQ,"Planet","New Energy","Four Tet",2017-09-29,438480,35,false,5forty,2018-02-28T18:36:13Z,"idm,electronica","Text Records",0.672,0.762,0,-10.114,1,0.0747,0.467,0.862,0.111,0.232,126.983,5
