Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1tww3WtASroAknUf41LNpD,"Ark","Eph Reissue","Fridge",2002,475427,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.495,0.778,1,-6.114,1,0.0299,0.015,0.875,0.118,0.0498,126.391,4
spotify:track:4vpDVSiE64fuEhgGvewMIf,"Kinoshita","Eph Reissue","Fridge",2002,302693,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.633,0.946,8,-5.746,1,0.069,0.129,0.826,0.146,0.654,139.984,4
spotify:track:1xweER127icjXqIWuIJZRa,"Meum","Eph Reissue","Fridge",2002,110267,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.357,0.129,7,-18.198,1,0.0426,0.885,0.868,0.382,0.0648,112.506,4
spotify:track:6axTeka40BWfXHn8FEhcWH,"Terasaka","Eph Reissue","Fridge",2002,645720,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.665,0.683,8,-9.328,1,0.0601,0.279,0.602,0.0829,0.485,117.252,4
spotify:track:5LeQvlQnZioKPRRdzm2VSC,"Transience","Eph Reissue","Fridge",2002,271173,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.348,0.843,1,-3.155,1,0.0405,0.00164,0.783,0.524,0.116,153.404,5
spotify:track:4rZhKwPywRVB7Li1QTd2ev,"Version","Eph Reissue","Fridge",2002,315480,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.755,0.61,1,-9.349,1,0.0366,0.00343,0.146,0.12,0.111,137.467,4
spotify:track:76XoEQcPB7yBjTTY0uUiDj,"Of","Eph Reissue","Fridge",2002,343973,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.668,0.839,4,-10.522,1,0.0369,0.651,0.852,0.322,0.511,109.959,3
spotify:track:78gVZQMcHY4TapjUtIe9f4,"Remix","Eph Reissue","Fridge",2002,521720,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.612,0.553,0,-11.486,1,0.031,0.203,0.947,0.258,0.251,109.947,3
spotify:track:4SyPTxkkRh9Ww2CGrTE4rd,"Edit","Eph Reissue","Fridge",2002,474693,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.678,0.928,0,-8.759,1,0.0413,0.22,0.825,0.378,0.781,119.971,4
spotify:track:62VvEClnUSB6s7UD7bIRCQ,"Tuum","Eph Reissue","Fridge",2002,65467,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.82,0.0204,0,-24.925,1,0.0772,0.995,0.185,0.111,0.947,92.295,4
spotify:track:77m35beclXSXtnFATPcQ24,"Bad Ischl","Eph Reissue","Fridge",2002,389667,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.221,0.542,7,-6.529,0,0.0341,0.208,0.00896,0.331,0.0906,133.983,4
spotify:track:1Tbjv3DIeCiwBObKr5ZYfv,"Dub","Eph Reissue","Fridge",2002,523253,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.838,0.414,6,-9.972,0,0.0436,0.766,0.917,0.0662,0.55,109.935,3
spotify:track:6XlG560N9ACEBlt18e9KBl,"Ark (Herbert's Fully Flooded Mix)","Eph Reissue","Fridge",2002,408333,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.81,0.889,10,-9.054,0,0.0317,0.0661,0.291,0.0999,0.641,123.428,4
spotify:track:6zX4TLzEODPrpSPEX0kr8E,"Yttrium","Eph Reissue","Fridge",2002,227227,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.561,0.466,3,-9.404,0,0.0461,0.322,0.812,0.102,0.498,170.398,4
spotify:track:4CjhMQzrOXNvBZpwdSUeBX,"Aphelion","Eph Reissue","Fridge",2002,597813,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.215,0.444,2,-7.494,1,0.0338,0.35,0.893,0.111,0.039,196.617,3
spotify:track:69s1ohKpg4tb6yivIMWxlW,"Bad Ischil","Eph Reissue","Fridge",2002,307640,0,false,,2010-06-01T15:27:34Z,"post-rock,idm","Temporary Residence",0.44,0.731,7,-8.63,0,0.0497,0.000365,0.846,0.5,0.336,70.412,4
spotify:track:5ZbvHpw2WhxOOY4nAOOkbb,"Angel - Trance Version","Greatest Trance Tracks Of All Times","Fridge",2007-11-30,423213,0,false,,2010-06-01T15:27:34Z,"parang","KNM Special Marketing",0.605,0.812,11,-9.561,0,0.0345,0.000255,0.817,0.109,0.0479,139.979,4
