Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0U8Av7bPjqeYkE9SkUsYXZ,"Made a gun with my fingers and shot at my friends","Kid, just letting you know we are doing it again","Fucking Werewolf Asso",2012,114360,18,false,5forty,2015-02-23T21:42:35Z,"egg punk,electroclash","Alleycat Records",0.515,0.94,8,-3.502,1,0.182,0.0259,0.00649,0.176,0.601,164.796,4
spotify:track:6USWBOwPYVaC9iEZvW6aQP,"We are driving a 400000 dollar car","Kid, just letting you know we are doing it again","Fucking Werewolf Asso",2012,107040,16,false,5forty,2015-02-23T21:42:35Z,"egg punk,electroclash","Alleycat Records",0.613,0.833,0,-5.006,1,0.0923,0.00244,0.714,0.057,0.794,164.989,4
spotify:track:66doSHn20QHQnz2GhMZhTU,"A bunch of backpacks for this wolfpack","Kid, just letting you know we are doing it again","Fucking Werewolf Asso",2012,90120,16,false,5forty,2015-02-23T21:42:35Z,"egg punk,electroclash","Alleycat Records",0.341,0.995,3,-4.321,0,0.0943,0.0023,0.731,0.184,0.552,214.941,4
spotify:track:1Gu0BIRZ9xg8KfXz9kONro,"A whole wolfpack in a bunch of backpacks","Kid, just letting you know we are doing it again","Fucking Werewolf Asso",2012,41040,9,false,5forty,2015-02-23T21:42:35Z,"egg punk,electroclash","Alleycat Records",0.791,0.984,0,-6.39,1,0.107,0.0000752,0.716,0.0914,0.497,107.515,4
spotify:track:4S3eukXGHcZvvAXct1neZU,"When it´s done as evidence it´s a shirt again","Kid, just letting you know we are doing it again","Fucking Werewolf Asso",2012,75720,12,false,5forty,2015-02-23T21:42:35Z,"egg punk,electroclash","Alleycat Records",0.526,0.994,2,-3.639,1,0.102,0.00418,0.000263,0.158,0.112,136.005,4
spotify:track:38jb4HxtqzK0pOyEg02gZa,"A walrus! Like a vampire, but awesome!","Kid, just letting you know we are doing it again","Fucking Werewolf Asso",2012,54840,11,false,5forty,2015-02-23T21:42:35Z,"egg punk,electroclash","Alleycat Records",0.306,0.979,2,-4.032,1,0.574,0.674,0.89,0.311,0.167,199.702,4
spotify:track:0QB80VhLr5l4bGFwZs0IFq,"No, I didn´t say the keyboar needed flattery","Kid, just letting you know we are doing it again","Fucking Werewolf Asso",2012,101640,25,false,5forty,2015-02-23T21:42:35Z,"egg punk,electroclash","Alleycat Records",0.524,0.971,1,-4.265,1,0.0428,0.018,0.551,0.267,0.472,105.025,4
spotify:track:5jPlSVhK0KRij0bAq0axIs,"You got leave shield (goodbye!)","Kid, just letting you know we are doing it again","Fucking Werewolf Asso",2012,140520,17,false,5forty,2015-02-23T21:42:35Z,"egg punk,electroclash","Alleycat Records",0.597,0.949,6,-4.705,1,0.0839,0.0208,0.00765,0.214,0.395,115.091,4
spotify:track:0v6VySWeH2X4LD1A4VTSAc,"Stop screaming! It´s just what the bomb wants us to do","Kid, just letting you know we are doing it again","Fucking Werewolf Asso",2012,136320,12,false,5forty,2015-02-23T21:42:35Z,"egg punk,electroclash","Alleycat Records",0.309,0.99,8,-4.763,1,0.0684,0.00122,0.76,0.242,0.135,208.111,4
spotify:track:08ZDer4nhpLAJMIgoncSnp,"Bladebraham Lincoln","Kid, just letting you know we are doing it again","Fucking Werewolf Asso",2012,135480,13,false,5forty,2015-02-23T21:42:35Z,"egg punk,electroclash","Alleycat Records",0.56,0.98,2,-4.476,1,0.306,0.000367,0.451,0.418,0.381,150.036,4
