Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0WCzQ9kGx1QUQ47uEl7FXK,"Nobody's Perfect","Nobody's Perfect","Me Not You",2023-06-16,202055,2,false,mgurwell,2023-07-04T06:11:41Z,"","MNY Music",0.428,0.687,9,-3.989,0,0.0287,0.00374,0.000257,0.0738,0.489,174.088,4
spotify:track:5tzhZfYp7n6zpTX41Ad3cK,"On Your Own","Bright Sides","Deadlights",2023-06-30,316621,0,false,mgurwell,2023-07-04T06:11:47Z,"power pop,shoegaze,jangle pop,dream pop","Deadlights",0.397,0.757,7,-7.444,1,0.0308,0.00000232,0.858,0.094,0.314,153.921,4
spotify:track:0rutEJDJhHGZMwl3PTX1N6,"Save Me, Satellite!","Falling From Aeroplanes","Falling From Aeroplanes",2023-03-31,206013,0,false,mgurwell,2023-07-04T06:11:55Z,"shoegaze","Falling From Aeroplanes Music",0.332,0.969,0,-4.787,1,0.0617,0.00012,0.526,0.103,0.328,153.95,4
spotify:track:6uFE6s7WqG6sYnkDngXezq,"Swimming Thru","Universal Hologram","ultrasaturated",2023-06-30,160000,6,false,mgurwell,2023-07-04T06:12:04Z,"post-punk,darkwave,cold wave","ultrasaturated",0.49,0.889,11,-7.361,0,0.0333,0.0072,0.86,0.0813,0.701,75.01,4
spotify:track:3M7hp6l3Als3ZGv9BxcGgW,"Your Kiss","Petrichor","Ramona Heart",2023-07-01,180000,1,false,mgurwell,2023-07-04T06:12:17Z,"","Ramona Heart",0.334,0.311,3,-3.465,1,0.0362,0.00548,0.603,0.165,0.0399,111.914,4
spotify:track:15kIIljB6b5pmMafU7w9CB,"Lush","Lust","Chlorine",2023-06-20,315629,32,false,mgurwell,2023-07-04T06:12:25Z,"shoegaze,slowcore","ChlorinE",0.332,0.762,1,-6.546,1,0.055,0.0000594,0.82,0.0852,0.369,139.044,4
spotify:track:5uNiFMeP9KPCxnVJhoMVL9,"Petrichor","7 Words","Carrows",2023-06-08,295648,0,false,mgurwell,2023-07-04T06:12:39Z,"","Poison Arrow Records",0.491,0.544,5,-9.49,1,0.0261,0.00000758,0.217,0.0857,0.135,99.945,4
spotify:track:59frlzg9C1EPckdkpG9iaU,"Syndulla","Wisteria","she's green",2023-06-30,263625,41,false,mgurwell,2023-07-04T06:12:54Z,"shoegaze,dream pop","she's green",0.291,0.837,9,-5.286,1,0.0437,0.00000271,0.799,0.129,0.44,104.905,4
spotify:track:2ItUJv7e5pCPBNXrxi6IM7,"Say Nothing","Say Nothing","Dreamcoaster",2023-06-30,182693,0,false,mgurwell,2023-07-04T06:13:10Z,"shoegaze,jangle pop,dream pop","Duck Race Recording Co.",0.325,0.602,11,-7.118,1,0.0386,0.0407,0.879,0.522,0.543,142.014,4
spotify:track:0pYPYTNDiAqhdNNLmtKmNA,"Monuments","22","MATANDROB",2023-08-04,144937,0,false,mgurwell,2023-08-10T18:09:25Z,"","Sorted",0.481,0.547,8,-9.5,1,0.0384,0.185,0.424,0.27,0.509,133.631,4
spotify:track:2UZwLRzB0MSqpgmiZuQsB8,"Copper And Gold","Copper And Gold","Klüver",2023-07-14,197354,0,false,mgurwell,2023-07-31T17:55:02Z,"","Klüver",0.617,0.632,11,-4.66,0,0.0352,0.177,0.688,0.0933,0.534,73.981,4
spotify:track:4ITkuoB2JosXGcRcfsfbCg,"Damaged Goods","Damaged Goods","Pamphlets",2023-06-16,195192,0,false,mgurwell,2023-07-04T06:13:29Z,"post-punk,indie punk","Pamphlets",0.397,0.865,0,-5.906,1,0.0936,0.00992,0.0000432,0.112,0.483,161.958,4
spotify:track:4EXOeKv2qaZOT0JXnAxUmU,"blister","blister","Creature in the Spiral",2023-07-14,198818,0,false,mgurwell,2023-07-31T17:55:42Z,"shoegaze","Imaginary Era",0.414,0.705,4,-8.879,1,0.0426,0.000355,0.87,0.166,0.504,109.951,3
spotify:track:6bDYnY2GkLHM1Rbxat2Ulb,"Self Destroyed","Self Destroyed","Glimmer",2023-06-21,220816,10,false,mgurwell,2023-07-04T06:14:22Z,"shoegaze,dream pop","Glimmer",0.412,0.799,2,-5.723,1,0.0458,0.0974,0.584,0.157,0.425,114.224,4
spotify:track:1VKEi2gCOilCg9pM8dPo1j,"Edges","Edges","meeve",2023-06-30,223764,0,false,mgurwell,2023-07-04T06:14:31Z,"shoegaze,indonesian rock","meeve",0.296,0.714,9,-6.693,1,0.0371,0.0000211,0.885,0.116,0.396,93.763,4
spotify:track:2sOTArRDUFgndG6HauQYQn,"When It Meant Something","When It Meant Something","Bliss Fields",2023-06-29,225317,0,false,mgurwell,2023-07-04T06:14:39Z,"shoegaze,slowcore,dream pop","Bliss Fields",0.211,0.789,9,-4.97,1,0.042,0.0148,0.222,0.3,0.333,140.609,4
