Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0YVYL0mEyfkrGkDaOm8xlR,"We Just Won't Be Defeated (CV Vision Remix)","We Just Won't Be Defeated (CV Vision Remix)","The Go! Team;CV Vision",2024-04-02,185852,0,false,thegoteam2013,2024-04-02T11:39:31Z,"plunderphonics,alternative dance","Memphis Industries",0.519,0.964,8,-6.077,1,0.0743,0.0749,0.387,0.195,0.809,175.612,4
spotify:track:5JYZqKt0xch9BlzluiNbAm,"Look Away, Look Away","Get Up Sequences Part Two","The Go! Team",2023-02-03,225835,16,false,thegoteam2013,2023-02-08T10:42:06Z,"plunderphonics,alternative dance","Memphis Industries",0.509,0.978,11,-1.877,0,0.0601,0.0912,0.000414,0.644,0.72,135.013,4
spotify:track:2UcK2ebxDPjBO47y4pkYnN,"Getting to Know (All The Ways We're Wrong for Each Other)","Get Up Sequences Part Two","The Go! Team",2023-02-03,231941,14,false,thegoteam2013,2023-02-08T10:42:06Z,"plunderphonics,alternative dance","Memphis Industries",0.641,0.88,6,-3.654,1,0.0292,0.113,0,0.272,0.933,97.014,4
spotify:track:0vIURrzxP1hhEYyYyrftwb,"Stay and Ask Me In a Different Way","Get Up Sequences Part Two","The Go! Team",2023-02-03,196614,9,false,thegoteam2013,2023-02-08T10:42:06Z,"plunderphonics,alternative dance","Memphis Industries",0.435,0.96,3,-3.226,1,0.0451,0.0439,0.0355,0.35,0.771,147.04,4
spotify:track:6q5rsMEzQBHuXaS6sBqWmb,"The Me Frequency","Get Up Sequences Part Two","The Go! Team",2023-02-03,236029,10,false,thegoteam2013,2023-02-08T10:42:06Z,"plunderphonics,alternative dance","Memphis Industries",0.484,0.966,9,-3.848,1,0.0455,0.00928,0.000183,0.0765,0.879,187.998,4
spotify:track:2hRdiiF4tCt2UDRBLIMdES,"Divebomb","Get Up Sequences Part Two","The Go! Team",2023-02-03,202754,14,false,thegoteam2013,2023-02-08T10:42:06Z,"plunderphonics,alternative dance","Memphis Industries",0.532,0.976,6,-4.536,0,0.0692,0.000129,0.0845,0.125,0.74,109.934,4
spotify:track:49tuNEBy78NLpruhAzAVDu,"Whammy-O","Get Up Sequences Part Two","The Go! Team",2023-02-03,179825,18,true,thegoteam2013,2023-02-08T10:42:06Z,"plunderphonics,alternative dance","Memphis Industries",0.706,0.938,10,-4.261,0,0.0897,0.0111,0,0.221,0.931,103.483,4
spotify:track:33CF1XEbeXPgHLYNaOD9h7,"But We Keep On Trying","Get Up Sequences Part Two","The Go! Team",2023-02-03,205181,7,false,thegoteam2013,2023-02-08T10:42:06Z,"plunderphonics,alternative dance","Memphis Industries",0.568,0.962,5,-3.559,0,0.0405,0.276,0.0933,0.0474,0.932,94.975,4
spotify:track:5OTYSmTVqVo6rkic0tFtA5,"Sock It To Me","Get Up Sequences Part Two","The Go! Team",2023-02-03,203189,6,false,thegoteam2013,2023-02-08T10:42:06Z,"plunderphonics,alternative dance","Memphis Industries",0.42,0.962,10,-3.34,1,0.0481,0.00988,0.903,0.121,0.777,126.537,4
spotify:track:6n1eb4ABoiH3vTdhYMoCcf,"Going Nowhere","Get Up Sequences Part Two","The Go! Team",2023-02-03,120048,6,false,thegoteam2013,2023-02-08T10:42:06Z,"plunderphonics,alternative dance","Memphis Industries",0.55,0.866,2,-3.335,1,0.0307,0.0223,0.000481,0.364,0.938,150.089,4
