Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2wZX565Nh0UgXjG7mfqatO,"Top Bunk","Gauntlet Hair","Gauntlet Hair",2011-10-17,283653,0,false,,2011-12-05T12:01:47Z,"","Dead Oceans",0.401,0.953,5,-3.415,0,0.115,0.0782,0.773,0.187,0.462,67.972,4
spotify:track:62oAhJYhjEUFTvmqioqogs,"Keep Time","Gauntlet Hair","Gauntlet Hair",2011-10-17,248720,0,false,,2011-12-05T12:01:47Z,"","Dead Oceans",0.193,0.853,8,-4.87,1,0.0627,0.000842,0.0382,0.325,0.312,157.089,3
spotify:track:7iYds2Ycwo6AdKazBhhuU8,"Mop It Up","Gauntlet Hair","Gauntlet Hair",2011-10-17,160186,0,false,,2011-12-05T12:01:47Z,"","Dead Oceans",0.447,0.881,8,-4.138,1,0.0415,0.0000186,0.00912,0.152,0.358,119.986,4
spotify:track:5QFGRBQ3BYKZl1dTccXVre,"My Christ","Gauntlet Hair","Gauntlet Hair",2011-10-17,261053,0,false,,2011-12-05T12:01:47Z,"","Dead Oceans",0.4,0.905,3,-3.228,0,0.0645,0.00108,0.00467,0.152,0.357,111.928,4
spotify:track:3SAnQlrW19xIq0Fq3R9Ihu,"Lights Out","Gauntlet Hair","Gauntlet Hair",2011-10-17,304000,0,false,,2011-12-05T12:01:47Z,"","Dead Oceans",0.522,0.87,0,-4.792,1,0.0545,0.000132,0.908,0.0835,0.425,119.995,4
spotify:track:6emwU64w0JKHm2OxIKrYUI,"Showing","Gauntlet Hair","Gauntlet Hair",2011-10-17,184706,0,false,,2011-12-05T12:01:47Z,"","Dead Oceans",0.288,0.804,1,-4.796,1,0.036,0.000012,0.0217,0.202,0.211,117.367,5
spotify:track:77WR6of4RaLSDnsFSLLAfn,"Overkill","Gauntlet Hair","Gauntlet Hair",2011-10-17,117186,0,false,,2011-12-05T12:01:47Z,"","Dead Oceans",0.496,0.833,5,-3.414,0,0.0506,0.0000524,0.848,0.531,0.417,81.596,4
spotify:track:0pqUMziSidpCSMAfTvfunA,"That's Your Call","Gauntlet Hair","Gauntlet Hair",2011-10-17,213133,0,false,,2011-12-05T12:01:47Z,"","Dead Oceans",0.417,0.906,0,-4.398,0,0.0404,0.000121,0.792,0.413,0.2,97.5,4
spotify:track:01IDaytnkdWcvGRe3CtaWL,"Shout in Tongues","Gauntlet Hair","Gauntlet Hair",2011-10-17,291960,0,false,,2011-12-05T12:01:47Z,"","Dead Oceans",0.449,0.882,8,-4.58,1,0.0555,0.0375,0.878,0.0866,0.55,145.071,4
spotify:track:1Mq8UN1UPVZXXJiYiRmYtk,"Out, Don't","Out...Don't","Gauntlet Hair",2010-10-14,276059,0,false,,2011-12-05T12:01:47Z,"","Mexican Summer",0.524,0.984,5,-0.15,0,0.191,0.0252,0.267,0.0616,0.261,129.656,4
spotify:track:3Q3jpylPjHavzbYf5PygmG,"Heave","Out...Don't","Gauntlet Hair",2010-10-14,161610,0,false,,2011-12-05T12:01:47Z,"","Mexican Summer",0.46,0.991,5,-0.834,0,0.228,0.00264,0.000382,0.719,0.159,131.177,4
spotify:track:73exHO5GsuFYrKQfUTdkpN,"Keep Still","Common Era","Belong",2011-03-21,278666,0,false,,2012-01-28T09:33:12Z,"drone,shoegaze,ambient,dark ambient","kranky",0.0604,0.579,1,-9.902,0,0.0521,0.887,0.914,0.093,0.0898,69.819,3
