Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1zpmsoZFhaRn7ltJEZcrI6,"Bombs","Here Come The Bombs","Gaz Coombes",2012-05-21,153573,9,false,5forty,2012-10-14T22:46:03Z,"","Hot Fruit Records",0.602,0.49,4,-9.105,0,0.0338,0.24,0.154,0.111,0.162,129.999,4
spotify:track:6GwJn31xUirEk0AA6Mq87M,"Hot Fruit","Here Come The Bombs","Gaz Coombes",2012-05-21,247653,11,false,5forty,2012-10-14T22:46:03Z,"","Hot Fruit Records",0.548,0.958,0,-5.554,1,0.0552,0.0018,0.801,0.139,0.345,90.039,4
spotify:track:2Oa7l0EzXV2WT6cfrWVZJA,"Whore","Here Come The Bombs","Gaz Coombes",2012-05-21,170266,5,false,5forty,2012-10-14T22:46:03Z,"","Hot Fruit Records",0.465,0.856,10,-5.616,0,0.115,0.00293,0.0000927,0.176,0.491,150.052,4
spotify:track:00MntGfHwcA2i0cV5qGbJj,"Sub Divider","Here Come The Bombs","Gaz Coombes",2012-05-21,209213,9,false,5forty,2012-10-14T22:46:03Z,"","Hot Fruit Records",0.545,0.889,0,-7.172,1,0.053,0.0209,0.443,0.0923,0.495,146.957,4
spotify:track:4UMxoV3gcBKfMin9T9cEj2,"Universal Cinema","Here Come The Bombs","Gaz Coombes",2012-05-21,369586,6,false,5forty,2012-10-14T22:46:03Z,"","Hot Fruit Records",0.459,0.814,11,-6.631,0,0.0345,0.0255,0.613,0.0566,0.274,80.115,4
spotify:track:4tFhynISEIMy7MDNDOCQ64,"Simulator","Here Come The Bombs","Gaz Coombes",2012-05-21,187506,8,false,5forty,2012-10-14T22:46:03Z,"","Hot Fruit Records",0.512,0.965,2,-3.566,1,0.0414,0.000369,0.000254,0.233,0.711,93.476,4
spotify:track:2FhWdsRtTs4lVrSwOSmtil,"White Noise","Here Come The Bombs","Gaz Coombes",2012-05-21,249493,15,false,5forty,2012-10-14T22:46:03Z,"","Hot Fruit Records",0.383,0.752,8,-6.199,0,0.0363,0.00202,0.12,0.108,0.264,152.153,4
spotify:track:4D7VP44oW3srcn09RjHtY1,"Fanfare","Here Come The Bombs","Gaz Coombes",2012-05-21,215066,4,false,5forty,2012-10-14T22:46:03Z,"","Hot Fruit Records",0.35,0.716,0,-5.723,1,0.0393,0.00185,0.00206,0.0936,0.17,116.626,3
spotify:track:1JAzfXhizmVRp2Sa1CPrmd,"Break The Silence","Here Come The Bombs","Gaz Coombes",2012-05-21,237373,10,false,5forty,2012-10-14T22:46:03Z,"","Hot Fruit Records",0.576,0.954,5,-6.156,1,0.0496,0.00189,0.629,0.0826,0.382,130.024,4
spotify:track:6qmrc7m0817JmBpAxX39HQ,"Daydream On A Street Corner","Here Come The Bombs","Gaz Coombes",2012-05-21,79040,4,false,5forty,2012-10-14T22:46:03Z,"","Hot Fruit Records",0.369,0.521,0,-15.473,1,0.0611,0.66,0.228,0.2,0.123,75.029,4
spotify:track:3jYG9uoI7empuhKFo8qg2y,"Sleeping Giant","Here Come The Bombs","Gaz Coombes",2012-05-21,184640,4,false,5forty,2012-10-14T22:46:03Z,"","Hot Fruit Records",0.293,0.488,7,-11.553,1,0.0402,0.82,0.00187,0.0983,0.345,142.01,4
