Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:58LeUMdRmcdwarnAHHN20m,"Dizzy Ghosts","A Dream Outside","Gengahr",2015-06-15,211133,0,false,5forty,2015-06-22T22:58:43Z,"","Transgressive",0.365,0.535,2,-8.638,1,0.0371,0.139,0.0000111,0.132,0.199,135.466,4
spotify:track:0WJ2QWI5AOvhBf6FDW7IHe,"She's A Witch","A Dream Outside","Gengahr",2015-06-15,164066,0,false,5forty,2015-06-22T22:58:43Z,"","Transgressive",0.599,0.708,2,-7.937,1,0.0278,0.259,0.00211,0.104,0.644,122.665,4
spotify:track:2zHaEj6qy6DhaMRbEpbs9s,"Heroine","A Dream Outside","Gengahr",2015-06-15,184200,0,false,5forty,2015-06-22T22:58:43Z,"","Transgressive",0.499,0.764,4,-7.51,1,0.0369,0.233,0.000447,0.0975,0.311,131.62,4
spotify:track:4gvnTM1tIl0kpFUwx07XgQ,"Bathed In Light","A Dream Outside","Gengahr",2015-06-15,190720,0,false,5forty,2015-06-22T22:58:43Z,"","Transgressive",0.627,0.512,2,-8.253,0,0.0334,0.475,0,0.38,0.685,98.869,4
spotify:track:1C5I2bZAc8uYKIwitrsEol,"Where I Lie","A Dream Outside","Gengahr",2015-06-15,184013,0,false,5forty,2015-06-22T22:58:43Z,"","Transgressive",0.441,0.796,10,-7.091,1,0.0495,0.358,0.000857,0.166,0.367,95.637,4
spotify:track:0h7iYA5is7czkPEEUYrivV,"Dark Star","A Dream Outside","Gengahr",2015-06-15,142613,0,false,5forty,2015-06-22T22:58:43Z,"","Transgressive",0.721,0.553,2,-9.453,0,0.0283,0.00468,0.803,0.165,0.791,94.393,4
spotify:track:26tQohy6sM0vYNNqcbPVrm,"Embers","A Dream Outside","Gengahr",2015-06-15,252493,0,false,5forty,2015-06-22T22:58:43Z,"","Transgressive",0.483,0.759,0,-8.435,1,0.0656,0.0578,0.00416,0.192,0.494,126.078,4
spotify:track:0yWULD5FYoYwz9UJZUb53L,"Powder","A Dream Outside","Gengahr",2015-06-15,220826,0,false,5forty,2015-06-22T22:58:43Z,"","Transgressive",0.293,0.892,9,-6.904,1,0.119,0.0184,0.000799,0.36,0.356,101.032,4
spotify:track:6cgIFLS5qwzPiv5q5qmWoL,"Fill My Gums With Blood","A Dream Outside","Gengahr",2015-06-15,188146,0,false,5forty,2015-06-22T22:58:43Z,"","Transgressive",0.54,0.848,2,-7.708,1,0.139,0.436,0.00677,0.137,0.453,96.232,4
spotify:track:45QAN6r83nmrr9pUq0cAmp,"Lonely As A Shark","A Dream Outside","Gengahr",2015-06-15,184946,0,false,5forty,2015-06-22T22:58:43Z,"","Transgressive",0.546,0.809,5,-6.936,1,0.0457,0.0257,0,0.13,0.469,130.192,4
spotify:track:41WmwOMwYX5jPC1BhfIbdZ,"Trampoline","A Dream Outside","Gengahr",2015-06-15,233231,0,false,5forty,2015-06-22T22:58:43Z,"","Transgressive",0.256,0.577,6,-7.697,0,0.039,0.0102,0.11,0.153,0.587,145.73,3
