Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0dLHKyTZHhtGY4ZxnR8bZL,"Stealing Cars","Fast Food","Nadine Shah",2015-04-06,242555,31,false,5forty,2020-04-23T09:27:27Z,"art rock","Apollo",0.375,0.615,2,-6.14,1,0.0295,0.0000835,0.769,0.115,0.165,90.331,4
spotify:track:1FNvsOtp6bnSOQTBgJOtha,"Falcons","Docks","Amanda Bergman",2016-02-26,234013,0,false,5forty,2020-04-23T09:27:35Z,"swedish pop","INGRID",0.526,0.646,7,-9.939,1,0.0324,0.65,0.0232,0.0713,0.364,110.044,4
spotify:track:2aWbVo5B7Y6rrRUqKERTOG,"Animal Fear","We Slept at Last","Marika Hackman",2015-02-16,204470,25,false,5forty,2020-04-23T09:27:41Z,"southern gothic,ambient folk","Dirty Hit",0.537,0.732,0,-7.886,1,0.0315,0.449,0.00658,0.118,0.283,159.973,4
spotify:track:1BmDAh8M1Mrhwd9WQBnRtK,"Canary Island","Ride Out the Dark","Houndstooth",2013-07-16,229853,0,false,5forty,2020-04-23T09:27:59Z,"","No Quarter",0.483,0.63,5,-6.561,1,0.0273,0.085,0.388,0.121,0.56,75.403,4
spotify:track:1ImdBUOBB4DvOOUTXgnzDJ,"Where Do You Run To","Vivian Girls","Vivian Girls",2008-09-30,195573,0,false,5forty,2020-04-23T09:28:08Z,"riot grrrl,garage rock","In The Red",0.43,0.569,11,-11.931,0,0.0299,0.000455,0.0182,0.141,0.633,140.953,4
spotify:track:2fVXN86sPkKwNEMhwjnsD7,"Turnstile","Shoo","Lionlimb",2016-03-04,209737,0,false,5forty,2020-04-23T09:28:24Z,"","Bayonet Records",0.522,0.826,5,-6.913,1,0.0312,0.0762,0.133,0.284,0.616,118.89,4
spotify:track:10TF4Eccj5ctOHc3B5hvDc,"Fool","Fast Food","Nadine Shah",2015-04-06,280950,33,false,5forty,2020-04-23T09:33:10Z,"art rock","Apollo",0.49,0.782,10,-5.391,0,0.0286,0.0000615,0.69,0.061,0.589,119.422,4
spotify:track:0vIwhPGBrTcrYM1f7u9grh,"Ultimate Painting","Ultimate Painting","Ultimate Painting",2014-10-27,219129,0,false,5forty,2020-04-23T10:11:23Z,"jangle pop,neo-psychedelic,space rock","Trouble In Mind Records",0.789,0.698,7,-7.842,1,0.0304,0.59,0.802,0.11,0.705,120.961,4
spotify:track:04C6HjFwhRtEnh0MQt1DKe,"Are You with Me Now?","Mug Museum","Cate Le Bon",2013-11-11,260573,0,false,5forty,2020-04-24T10:41:18Z,"art pop","Turnstile Music",0.603,0.633,0,-7.792,1,0.0259,0.00323,0.0347,0.0722,0.721,141.565,4
spotify:track:0D6sB55ghk8IOOtoCoG83Z,"Low Light","Entropicalia","The Soundcarriers",2014-05-20,232903,0,false,5forty,2020-04-24T10:46:51Z,"neo-psychedelic,space rock,psychedelic rock","Ghost Box",0.289,0.735,9,-6.303,1,0.0574,0.237,0.561,0.209,0.558,81.942,4
