Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5udnrY00yVUOAzupil2H56,"Play Your Part (Pt. 1)","Feed the Animals","Girl Talk",2008-09-23,284799,47,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.791,0.675,5,-7.447,0,0.233,0.0226,0,0.235,0.698,149.98,4
spotify:track:6GJ9BTsYMQc6BZ8QxogDcw,"Shut The Club Down","Feed the Animals","Girl Talk",2008-09-23,186719,42,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.793,0.693,11,-7.589,0,0.394,0.0772,0.00000124,0.0754,0.726,165.073,4
spotify:track:1f9qTGnov1fiaEK451GWjG,"Still Here","Feed the Animals","Girl Talk",2008-09-23,237098,44,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.786,0.699,11,-8.403,0,0.293,0.0899,0,0.379,0.525,90.035,4
spotify:track:4fOFWrYmRUfS9sC9TyOlUb,"What It's All About","Feed the Animals","Girl Talk",2008-09-23,254705,37,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.714,0.709,11,-7.086,0,0.281,0.0651,0,0.743,0.764,90.109,4
spotify:track:4XTl02cmvjPPoQcCDwINvy,"Set It Off","Feed the Animals","Girl Talk",2008-09-23,221840,42,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.592,0.786,1,-7.132,1,0.228,0.0426,0.0000212,0.334,0.438,102.52,4
spotify:track:5WuLqgolua3xAHxOfBdxsA,"No Pause","Feed the Animals","Girl Talk",2008-09-23,192183,49,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.845,0.764,1,-7.247,1,0.156,0.0883,0.000028,0.309,0.596,105.008,4
spotify:track:2d5NS2muVoJ3vFClNn2XFR,"Like This","Feed the Animals","Girl Talk",2008-09-23,201096,38,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.789,0.863,6,-8.197,0,0.0955,0.0078,0.00325,0.0373,0.817,105.037,4
spotify:track:7khpNS9twfu7yh18JGJQRg,"Give Me A Beat","Feed the Animals","Girl Talk",2008-09-23,252211,37,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.826,0.704,2,-7.376,1,0.134,0.0512,0.000488,0.107,0.582,119.966,4
spotify:track:6Uz6e17DB98Dwcged65Eob,"Hands In The Air","Feed the Animals","Girl Talk",2008-09-23,260288,38,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.826,0.782,6,-8.502,0,0.0416,0.0155,0.0132,0.313,0.668,127.477,4
spotify:track:6DraJdQzb2zlaIrF4ts93Q,"In Step","Feed the Animals","Girl Talk",2008-09-23,203281,46,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.785,0.9,11,-7.765,1,0.0548,0.0227,0.00206,0.049,0.754,127.498,4
spotify:track:3EqQNebH2FwBk314V80H8q,"Let Me See You","Feed the Animals","Girl Talk",2008-09-23,243808,34,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.546,0.824,0,-8.287,1,0.0642,0.0115,0.0332,0.192,0.775,129.606,4
spotify:track:2fDDeqp6oLk0MJcCfuFZKF,"Here's The Thing","Feed the Animals","Girl Talk",2008-09-23,285492,36,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.571,0.752,6,-8.488,1,0.0773,0.00403,0.000197,0.201,0.801,138.518,4
spotify:track:2SJIUcGFyD7irXChj8rykp,"Don't Stop","Feed the Animals","Girl Talk",2008-09-23,178179,33,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.524,0.805,3,-8.229,1,0.0767,0.0731,0.00000864,0.0978,0.682,143.897,4
spotify:track:58EJILAMWUgUxqzXan2UT1,"Play Your Part (Pt. 2)","Feed the Animals","Girl Talk",2008-09-23,205199,35,true,5forty,2012-11-03T07:23:54Z,"plunderphonics","Illegal Art",0.654,0.739,11,-7.602,0,0.0504,0.00779,0.000266,0.0963,0.652,150.031,4
