Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4vZGCBtLlTDl6PfpQFlOJO,"You","Lucky Shiner","Gold Panda",2010-10-10,216373,0,false,,2011-08-23T13:17:52Z,"chillwave,idm","Notown Records",0.501,0.954,11,-4.824,1,0.0979,0.00102,0.834,0.334,0.646,179.879,4
spotify:track:2bbccembOxlrKJxIpYcKJ8,"Vanilla Minus","Lucky Shiner","Gold Panda",2010-10-10,243920,0,false,,2011-08-23T13:17:52Z,"chillwave,idm","Notown Records",0.878,0.773,7,-4.037,1,0.275,0.0086,0.0158,0.151,0.546,119.979,4
spotify:track:7e2pmVHoUvv3Gyq3rhd9HK,"Lonely Owl","Before","Gold Panda",2009-08-13,258000,0,false,,2011-08-23T13:17:52Z,"chillwave,idm","Gold Panda",0.45,0.542,7,-12.02,1,0.0364,0.559,0.761,0.126,0.098,102.031,4
spotify:track:68yT0e8xWF4weutdUnQIfZ,"Snow & Taxis","Lucky Shiner","Gold Panda",2010-10-10,280466,0,false,,2011-08-23T13:17:52Z,"chillwave,idm","Notown Records",0.575,0.612,10,-4.674,1,0.0786,0.0000435,0.386,0.139,0.133,129.96,4
spotify:track:1Re5nJsd4VR9kHiOVNUiTY,"Marriage","Lucky Shiner","Gold Panda",2010-10-10,281360,0,false,,2011-08-23T13:17:52Z,"chillwave,idm","Notown Records",0.312,0.912,7,-6.614,1,0.252,0.0513,0.464,0.364,0.116,119.688,4
spotify:track:4Kv3T3X2lrayjYQL0rjl7n,"Same Dream China","Lucky Shiner","Gold Panda",2010-10-10,254746,0,false,,2011-08-23T13:17:52Z,"chillwave,idm","Notown Records",0.571,0.948,0,-3.959,0,0.0335,0.457,0.697,0.0952,0.438,124.971,4
spotify:track:7hZLHkcOn08YakYJFBgWiF,"Jamelia - Gold Panda Remix","Swim (Remixes)","Caribou",2010-11-01,252053,0,false,,2011-08-23T13:17:52Z,"idm","Caribou",0.794,0.711,1,-8.373,0,0.567,0.172,0.00000218,0.347,0.786,119.997,4
spotify:track:7uLvXs2HjnqfsGiqGZhTij,"Parents","Lucky Shiner","Gold Panda",2010-10-10,121493,0,false,,2011-08-23T13:17:52Z,"chillwave,idm","Notown Records",0.468,0.414,7,-16.903,1,0.0581,0.915,0.437,0.19,0.825,115.074,4
spotify:track:3fpCyGLtYnwaCCRRON4C4U,"Before We Talked","Lucky Shiner","Gold Panda",2010-10-10,320440,0,false,,2011-08-23T13:17:52Z,"chillwave,idm","Notown Records",0.577,0.787,6,-5.95,0,0.113,0.251,0.91,0.0954,0.0409,139.985,4
spotify:track:0VgvceVuj7jn53YChI1CjL,"I'm With You But I'm Lonely","Lucky Shiner","Gold Panda",2010-10-10,314440,0,false,,2011-08-23T13:17:52Z,"chillwave,idm","Notown Records",0.517,0.663,6,-6.57,1,0.0353,0.915,0.752,0.118,0.165,139.964,4
spotify:track:4Qa6aORtDt4XWUDasf6xHa,"After We Talked","Lucky Shiner","Gold Panda",2010-10-10,219426,0,false,,2011-08-23T13:17:52Z,"chillwave,idm","Notown Records",0.286,0.279,9,-5.559,0,0.0324,0.665,0.000136,0.195,0.0765,79.848,4
spotify:track:56G1TYh8MUsLGMGoduCowF,"India Lately","Lucky Shiner","Gold Panda",2010-10-10,395146,0,false,,2011-08-23T13:17:52Z,"chillwave,idm","Notown Records",0.577,0.972,6,-3.776,0,0.208,0.293,0.0666,0.327,0.262,124.997,4
