Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2HxnEqQpt2zfV7jT3vPvqw,"Winds Of Change","Golden Skies","Mono/Poly",2014-08-26,208148,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.227,0.862,1,-8.729,1,0.329,0.00457,0.677,0.772,0.254,102.735,1
spotify:track:4n9AImkbbwPeQ49TI3Arzy,"Transit to the Golden Planet","Golden Skies","Mono/Poly",2014-08-26,146097,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.193,0.476,5,-11.266,0,0.0367,0.0896,0.183,0.0981,0.0685,80.546,3
spotify:track:11nF9qSAr9eDsNaEBgAA6W,"Ra Rise","Golden Skies","Mono/Poly",2014-08-26,227914,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.41,0.838,6,-5.411,1,0.0335,0.018,0.189,0.561,0.241,115.946,4
spotify:track:0POLorxjnfkiSI8oH6Tlrb,"Golden Gate","Golden Skies","Mono/Poly",2014-08-26,105017,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.515,0.723,2,-9.692,1,0.0382,0.358,0.802,0.756,0.534,120.065,4
spotify:track:08moWlL3MDBCjKEJObcPTH,"Golden Skies","Golden Skies","Mono/Poly",2014-08-26,199998,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.611,0.845,5,-5.261,0,0.0345,0.282,0.00236,0.553,0.0861,119.986,4
spotify:track:4JfBvTgwqRbB1inV8Fxio9,"Light Age","Golden Skies","Mono/Poly",2014-08-26,134651,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.249,0.279,7,-14.221,0,0.0389,0.884,0.735,0.686,0.0549,120.033,3
spotify:track:4F7Q9wRnLV3jKWSo8HBtLE,"Alpha & Omega","Golden Skies","Mono/Poly",2014-08-26,213365,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.304,0.941,7,-5.552,0,0.0663,0.101,0.0111,0.383,0.203,120.105,4
spotify:track:4wzyhXkvQD9S79O9PIscJN,"Urania","Golden Skies","Mono/Poly",2014-08-26,200549,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.605,0.834,6,-8.31,0,0.0407,0.24,0.889,0.199,0.103,125.001,4
spotify:track:3kGDzvMQnTJBiuSjSRsSKz,"Empyrean (feat. Mendee Ichikawa)","Golden Skies","Mono/Poly;Mendee Ichikawa",2014-08-26,215673,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.438,0.547,1,-9.094,1,0.0314,0.00626,0.753,0.645,0.14,59.965,4
spotify:track:3NeZHE419AQ4njo3NgcHPZ,"Dreamscape","Golden Skies","Mono/Poly",2014-08-26,96775,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.167,0.394,8,-13.228,0,0.043,0.909,0.732,0.842,0.526,128.026,3
spotify:track:6e30X3k4uJPeJisMj27tIw,"Night Garden","Golden Skies","Mono/Poly",2014-08-26,231432,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.177,0.613,3,-10.545,0,0.0747,0.166,0.267,0.101,0.437,167.992,3
spotify:track:3gY2O5eHzq0BvQXGbhT2Zn,"Euphoria","Golden Skies","Mono/Poly",2014-08-26,199365,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.535,0.734,10,-7.997,0,0.0364,0.00129,0.97,0.375,0.386,160.08,4
spotify:track:3tnzO3P9cDwuvFlbbpm20b,"Gamma","Golden Skies","Mono/Poly",2014-08-26,224933,0,false,5forty,2014-09-05T02:10:19Z,"","Brainfeeder",0.658,0.562,7,-9.907,0,0.0251,0.014,0.907,0.175,0.556,111.026,4
