Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2SVTvYgCsSWEqrkcCZ1oTY,"She's Fresh","The Message Expanded Edition","Grandmaster Flash & The Furious Five",1982-10-01,296026,0,false,,2012-07-13T02:49:08Z,"old school hip hop","Sanctuary Records Group Ltd.",0.877,0.826,1,-8.615,1,0.16,0.0211,0,0.313,0.685,117.943,4
spotify:track:6bnCfaQdDjtEdG9I9FH4LI,"It's Nasty","The Message Expanded Edition","Grandmaster Flash & The Furious Five",1982-10-01,258560,0,false,,2012-07-13T02:49:08Z,"old school hip hop","Sanctuary Records Group Ltd.",0.925,0.753,1,-10.042,1,0.19,0.0129,0,0.26,0.645,102.248,4
spotify:track:3E3HkvL2OEKooj3ysKJO5s,"Scorpio","The Message Expanded Edition","Grandmaster Flash & The Furious Five",1982-10-01,294106,0,false,,2012-07-13T02:49:08Z,"old school hip hop","Sanctuary Records Group Ltd.",0.831,0.666,10,-13.087,0,0.06,0.00317,0.744,0.331,0.622,122.77,4
spotify:track:0bEIvHZOkkKWuLxXXRQE5f,"It's A Shame (Mt. Airy Groove)","The Message Expanded Edition","Grandmaster Flash & The Furious Five",1982-10-01,297093,0,false,,2012-07-13T02:49:08Z,"old school hip hop","Sanctuary Records Group Ltd.",0.924,0.619,10,-9.314,0,0.107,0.0417,0.00019,0.24,0.302,107.42,4
spotify:track:7akOiiRQFjmHs5TN6jgU2J,"Dreamin'","The Message Expanded Edition","Grandmaster Flash & The Furious Five",1982-10-01,344560,0,false,,2012-07-13T02:49:08Z,"old school hip hop","Sanctuary Records Group Ltd.",0.614,0.562,10,-9.609,1,0.0826,0.175,0,0.0869,0.647,80.853,4
spotify:track:52J5MIUIXjpSmVDnnXpFsP,"You Are","The Message Expanded Edition","Grandmaster Flash & The Furious Five",1982-10-01,288560,0,false,,2012-07-13T02:49:08Z,"old school hip hop","Sanctuary Records Group Ltd.",0.439,0.334,8,-12.069,1,0.0326,0.0885,0,0.092,0.234,132.687,3
spotify:track:1EAtN67zm9xl3zNa2b9lN4,"The Message","The Message Expanded Edition","Grandmaster Flash & The Furious Five",1982-10-01,430013,0,false,,2012-07-13T02:49:08Z,"old school hip hop","Sanctuary Records Group Ltd.",0.947,0.629,10,-10.085,0,0.215,0.0217,0.00000217,0.0672,0.726,100.61,4
spotify:track:5Ko1yqwLvuxFwxVRzVfUtu,"Message II (Survival)","The Message Expanded Edition","Grandmaster Flash;Grandmaster Melle Mel;Duke Bootee",1982-10-01,412826,0,false,,2012-07-13T02:49:08Z,"old school hip hop,hip hop,east coast hip hop","Sanctuary Records Group Ltd.",0.934,0.849,10,-8.234,0,0.0832,0.056,0.00000383,0.0934,0.835,125.038,4
spotify:track:0A5W7SeqVAwPCcSkgAMhEQ,"New York, New York","The Message Expanded Edition","Grandmaster Flash & The Furious Five;Grandmaster Melle Mel",1982-10-01,445200,0,false,,2012-07-13T02:49:08Z,"old school hip hop,east coast hip hop","Sanctuary Records Group Ltd.",0.899,0.831,7,-7.848,1,0.178,0.00282,0.00000751,0.292,0.692,99.829,4
spotify:track:7gaEKkToIaiMwfwFMAXf8V,"The Adventures Of Grandmaster Himself","The Message Expanded Edition","Grandmaster Flash",1982-10-01,345733,0,false,,2012-07-13T02:49:08Z,"old school hip hop,hip hop,east coast hip hop","Sanctuary Records Group Ltd.",0.659,0.827,10,-11.925,0,0.286,0.00694,0.0176,0.101,0.716,107.091,4
spotify:track:3nkPpzqWa3p5piq7KfhGQx,"The Message - Instrumental","The Message Expanded Edition","Grandmaster Flash & The Furious Five",1982-10-01,427960,0,false,,2012-07-13T02:49:08Z,"old school hip hop","Sanctuary Records Group Ltd.",0.878,0.511,0,-11.327,0,0.0778,0.0179,0.852,0.0875,0.64,100.045,4
