Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6MosFTZp4A2oSTER4GO9HS,"laughing and not being normal","Art Angels","Grimes",2015-11-06,107508,0,false,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.585,0.378,1,-12.516,0,0.0337,0.631,0.017,0.192,0.27,120.019,4
spotify:track:3zxqTbepxLQesm41y2NoE4,"California","Art Angels","Grimes",2015-11-06,198337,0,false,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.468,0.647,6,-7.966,1,0.064,0.00185,0.000266,0.266,0.466,203.86,4
spotify:track:6cgvDYk7YGQTVfd5jsw0Qw,"SCREAM","Art Angels","Grimes;潘PAN",2015-11-06,140140,0,false,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.69,0.916,1,-5.922,0,0.0708,0.00453,0.0296,0.324,0.657,112.045,4
spotify:track:4ZcGbQ5dOKX6rJk4yvza9R,"Flesh without Blood","Art Angels","Grimes",2015-11-06,264523,0,false,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.481,0.965,8,-2.993,1,0.0875,0.000904,0.000727,0.476,0.66,155.938,4
spotify:track:35OppZQwLS8hpxIom3LGHz,"Belly of the Beat","Art Angels","Grimes",2015-11-06,205567,0,false,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.513,0.786,5,-7.507,1,0.0389,0.0419,0.118,0.202,0.619,179.914,4
spotify:track:17eu2pSgSUpIG1GFWBnODv,"Kill V. Maim","Art Angels","Grimes",2015-11-06,246006,0,false,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.578,0.947,11,-2.431,0,0.036,0.00744,0.0816,0.105,0.456,134.034,4
spotify:track:2xMBf5lFjQvrkWL2toULNg,"Artangels","Art Angels","Grimes",2015-11-06,247368,0,false,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.568,0.951,10,-3.568,1,0.0402,0.000202,0.557,0.0483,0.435,118.005,4
spotify:track:7d3cx47aWj0XbW7mLXXT9u,"Easily","Art Angels","Grimes",2015-11-06,183078,0,false,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.594,0.585,1,-7.999,1,0.0463,0.127,0.00206,0.14,0.308,188.913,4
spotify:track:4EbkpSxyWfJcpqzO2MzPz7,"Pin","Art Angels","Grimes",2015-11-06,212439,0,false,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.611,0.886,10,-4.696,1,0.0506,0.00569,0.000763,0.286,0.692,141.963,4
spotify:track:3AAdbLZWOptsP8ViSj71RD,"Realiti","Art Angels","Grimes",2015-11-06,306532,0,false,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.638,0.632,9,-7.589,1,0.029,0.000904,0.0406,0.115,0.349,114.992,4
spotify:track:4tjMjfL8cmYOIRRMFGZ8g7,"World Princess part II","Art Angels","Grimes",2015-11-06,305752,0,false,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.654,0.885,10,-5.41,0,0.058,0.000918,0.667,0.373,0.674,107.494,4
spotify:track:3JI2mIJto0JuYbrq87aFqu,"Venus Fly","Art Angels","Grimes;Janelle Monáe",2015-11-06,225734,0,false,5forty,2015-12-12T10:49:09Z,"art pop,alternative r&b","4AD",0.62,0.742,4,-7.327,0,0.0273,0.000285,0.869,0.297,0.252,128.41,4
spotify:track:2HatzmU2P4RehpC0GYyfUQ,"Life in the Vivid Dream","Art Angels","Grimes",2015-11-06,87675,0,false,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.487,0.389,3,-12.977,0,0.0448,0.592,0.0013,0.389,0.432,143.791,3
spotify:track:6pfmQTZWmwL2H2BpdzSl8l,"Butterfly","Art Angels","Grimes",2015-11-06,252558,0,true,5forty,2015-12-12T10:49:09Z,"art pop","4AD",0.698,0.638,8,-6.536,1,0.0296,0.00131,0.0611,0.184,0.595,111.982,4
