Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7MEg9OeXmB5h0iPuNZUJAX,"Dreamsucker","Rejoicer","Grooms",2010-06-08,209493,0,false,,2011-12-08T13:44:09Z,"","Kanine Records",0.26,0.883,6,-5.119,0,0.0538,0.0729,0.183,0.0824,0.326,173.966,4
spotify:track:0ArgFUxFt85tbssRd8zjNS,"The Nights Were Walls (We Climbed Them All)","Rejoicer","Grooms",2010-06-08,137893,0,false,,2011-12-08T13:44:09Z,"","Kanine Records",0.291,0.274,1,-11.896,1,0.0394,0.889,0.654,0.0998,0.0372,131.547,4
spotify:track:67tp2A5AfJJ9DrNodZ6sSQ,"Kier","Rejoicer","Grooms",2010-06-08,258519,0,false,,2011-12-08T13:44:09Z,"","Kanine Records",0.414,0.827,5,-4.693,0,0.0498,0.106,0.653,0.113,0.368,121.617,4
spotify:track:55HpfjnD6LSEtE6YHL1pkD,"She-Bears","Rejoicer","Grooms",2010-06-08,308000,0,false,,2011-12-08T13:44:09Z,"","Kanine Records",0.112,0.656,7,-4.877,1,0.0355,0.112,0.871,0.115,0.0452,82.286,3
spotify:track:7rlbRjZfxeUadRk0HudbEP,"CJ","Rejoicer","Grooms",2010-06-08,209480,0,false,,2011-12-08T13:44:09Z,"","Kanine Records",0.399,0.879,5,-4.45,0,0.0433,0.0396,0.338,0.098,0.143,126.281,4
spotify:track:2u7kmIZDVX3tBuUKL2tNDV,"Ghost Cat","Rejoicer","Grooms",2010-06-08,270293,0,false,,2011-12-08T13:44:09Z,"","Kanine Records",0.332,0.761,2,-5.437,1,0.0543,0.277,0.827,0.104,0.0546,119.32,4
spotify:track:39aGCXzWaft649uqKOrg8V,"Acid King of Hell (Guitar Feelings)","Rejoicer","Grooms",2010-06-08,183520,0,false,,2011-12-08T13:44:09Z,"","Kanine Records",0.349,0.753,11,-4.168,1,0.0605,0.263,0.471,0.099,0.126,137.974,4
spotify:track:60xWpjp4sYjRG76ajRU1Hg,"Fag Feels Good","Rejoicer","Grooms",2010-06-08,202506,0,false,,2011-12-08T13:44:09Z,"","Kanine Records",0.423,0.629,6,-4.755,0,0.0334,0.206,0.503,0.0813,0.282,134.1,4
spotify:track:66ob7HxZerFsuuoaUTc1DK,"At the Pool","Rejoicer","Grooms",2010-06-08,247946,0,false,,2011-12-08T13:44:09Z,"","Kanine Records",0.518,0.851,4,-5.402,0,0.0475,0.0281,0.0663,0.116,0.0392,127.061,4
spotify:track:4cQOOKehNeY7qG52FMjAR2,"Thumbs","Rejoicer","Grooms",2010-06-08,172560,0,false,,2011-12-08T13:44:09Z,"","Kanine Records",0.334,0.814,2,-4.397,1,0.0452,0.0576,0.472,0.116,0.0565,128.044,4
