Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0dVT6tsNYERlaTkDOYbsKO,"Dig Your Own Hole","Dig Your Own Hole","The Chemical Brothers",1997-01-01,327426,0,false,,2012-08-07T02:18:38Z,"big beat,alternative dance,electronic,breakbeat","Astralwerks",0.675,0.991,1,-3.431,0,0.0754,0.0275,0.862,0.454,0.528,135.122,4
spotify:track:2LCIunS81ISzaUg47Bmalx,"Block Rockin' Beats","Dig Your Own Hole","The Chemical Brothers",1997-01-01,314840,0,false,,2012-08-07T02:18:41Z,"big beat,alternative dance,electronic,breakbeat","Astralwerks",0.611,0.983,10,-3.12,0,0.0561,0.0218,0.49,0.112,0.727,109.387,4
spotify:track:3Bjx94921MJ0DvjQQ9KVpK,"Setting Sun","Dig Your Own Hole","The Chemical Brothers",1997-01-01,329000,0,false,,2012-08-07T02:19:01Z,"big beat,alternative dance,electronic,breakbeat","Astralwerks",0.445,0.995,6,-1.155,1,0.222,0.000829,0.12,0.35,0.229,135.065,4
spotify:track:2GPrWPPHrjw1aK6vOVcNXs,"Get Up On It Like This","Dig Your Own Hole","The Chemical Brothers",1997-01-01,168066,0,false,,2012-08-07T02:22:04Z,"big beat,alternative dance,electronic,breakbeat","Astralwerks",0.473,0.998,1,-2.726,1,0.108,0.0775,0.653,0.28,0.522,130.153,4
spotify:track:6sQEHHIxPTRQCzTtzSQasr,"Where Do I Begin","Dig Your Own Hole","The Chemical Brothers",1997-01-01,411133,0,false,,2012-08-07T02:26:15Z,"big beat,alternative dance,electronic,breakbeat","Astralwerks",0.431,0.677,2,-6.432,1,0.0458,0.574,0.499,0.367,0.548,101.945,4
spotify:track:43418VYRcl6aGKNXtSWXaY,"The Private Psychedelic Reel","Dig Your Own Hole","The Chemical Brothers",1997-01-01,568333,0,false,,2012-08-07T02:42:55Z,"big beat,alternative dance,electronic,breakbeat","Astralwerks",0.446,0.983,9,-3.741,1,0.23,0.0169,0.568,0.19,0.0642,125.027,4
spotify:track:3m1JFLpKLYgMi1jf6Bu16P,"Let Forever Be","Surrender","The Chemical Brothers",1999-01-01,236360,57,false,,2012-08-07T03:03:59Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.252,0.872,8,-3.752,1,0.0777,0.00912,0.00000879,0.109,0.399,126.938,4
spotify:track:3dh3AymGwdwrbE9AGGkSed,"The Sunshine Underground","Surrender","The Chemical Brothers",1999-01-01,518906,38,false,,2012-08-07T03:11:04Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.474,0.924,9,-5.589,1,0.0419,0.00228,0.69,0.309,0.201,140.019,4
spotify:track:0dVT6tsNYERlaTkDOYbsKO,"Dig Your Own Hole","Dig Your Own Hole","The Chemical Brothers",1997-01-01,327426,0,false,,2012-08-07T03:48:25Z,"big beat,alternative dance,electronic,breakbeat","Astralwerks",0.675,0.991,1,-3.431,0,0.0754,0.0275,0.862,0.454,0.528,135.122,4
spotify:track:7M8sOro6vmhw4gts6orQ3e,"Elektrobank","Dig Your Own Hole","The Chemical Brothers",1997-01-01,498666,0,false,,2012-08-07T03:57:39Z,"big beat,alternative dance,electronic,breakbeat","Astralwerks",0.289,0.854,2,-4.618,1,0.157,0.00191,0.729,0.52,0.604,167.308,5
spotify:track:5kTBiVnjq9xKmZL9dNs8zL,"Come With Us","Come With Us","The Chemical Brothers",2002-01-01,297586,39,false,,2012-08-07T04:07:24Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.685,0.979,1,-4.768,1,0.0544,0.021,0.76,0.0697,0.322,109.955,4
spotify:track:19mC6xktT1JyyycK6cQaXA,"Star Guitar","Come With Us","The Chemical Brothers",2002-01-01,387173,54,false,,2012-08-07T04:24:53Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.492,0.956,5,-4.186,1,0.0472,0.00892,0.872,0.288,0.36,126.968,4
