Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4fzG9GLQkT81Sqb8bXO754,"Bleak And Beautiful (All Things)","Etch And Etch Deep","Haiku Salut",2015-07-31,222401,7,false,5forty,2015-08-14T09:33:11Z,"electroacoustic","How Does It Feel To Be Loved",0.629,0.452,0,-10.263,1,0.0395,0.505,0.85,0.0347,0.375,202.046,4
spotify:track:77sOr8ROdKrW73eCdx2Q4l,"You Dance A Particular Algorithm","Etch And Etch Deep","Haiku Salut",2015-07-31,247317,1,false,5forty,2015-08-14T09:33:11Z,"electroacoustic","How Does It Feel To Be Loved",0.445,0.523,7,-7.168,1,0.049,0.128,0.575,0.302,0.148,130.036,4
spotify:track:5P8rR9WfNaEol0oDNw0luu,"Hearts Not Parts","Etch And Etch Deep","Haiku Salut",2015-07-31,283583,3,false,5forty,2015-08-14T09:33:11Z,"electroacoustic","How Does It Feel To Be Loved",0.293,0.661,2,-7.992,1,0.0419,0.659,0.959,0.0844,0.104,159.943,4
spotify:track:6Uyo4E3y6zlvoQs4JjWLhu,"Divided By Surfaces And Silence","Etch And Etch Deep","Haiku Salut",2015-07-31,227131,1,false,5forty,2015-08-14T09:33:11Z,"electroacoustic","How Does It Feel To Be Loved",0.575,0.625,4,-12.825,0,0.0632,0.0357,0.577,0.91,0.248,143.094,4
spotify:track:2S6mtdj2CXdjoBMtU4QWYd,"Doing Better","Etch And Etch Deep","Haiku Salut",2015-07-31,86583,1,false,5forty,2015-08-14T09:33:11Z,"electroacoustic","How Does It Feel To Be Loved",0.561,0.226,2,-18.005,1,0.0333,0.895,0.91,0.108,0.325,139.941,4
spotify:track:1lpgqPtBzlnQTaYOIbpA0L,"Things Were Happening And They Were Strange","Etch And Etch Deep","Haiku Salut",2015-07-31,187280,3,false,5forty,2015-08-14T09:33:11Z,"electroacoustic","How Does It Feel To Be Loved",0.275,0.64,10,-8.568,1,0.0343,0.0635,0.935,0.125,0.427,156.739,4
spotify:track:6HeF4seVDRQfv6TYTvpUoF,"Becauselessness","Etch And Etch Deep","Haiku Salut",2015-07-31,246559,4,false,5forty,2015-08-14T09:33:11Z,"electroacoustic","How Does It Feel To Be Loved",0.301,0.411,0,-16.496,1,0.0449,0.712,0.713,0.114,0.042,86.969,4
spotify:track:1hQgFuC3QHS8Qo79Sk5XuN,"Skip To The End","Etch And Etch Deep","Haiku Salut",2015-07-31,247162,0,false,5forty,2015-08-14T09:33:11Z,"electroacoustic","How Does It Feel To Be Loved",0.339,0.127,5,-13.603,1,0.0394,0.0762,0.899,0.0722,0.109,89.409,4
spotify:track:3lv0Eq81bXTzoMXKK3VAHA,"The No-Colour Of Rain Or Dust","Etch And Etch Deep","Haiku Salut",2015-07-31,259191,4,false,5forty,2015-08-14T09:33:11Z,"electroacoustic","How Does It Feel To Be Loved",0.403,0.27,0,-17.546,1,0.0629,0.948,0.913,0.0962,0.074,154.05,4
spotify:track:1SwOSSktMpWUcDCbWXAZ5s,"Foreign Pollen","Etch And Etch Deep","Haiku Salut",2015-07-31,273880,0,false,5forty,2015-08-14T09:33:11Z,"electroacoustic","How Does It Feel To Be Loved",0.377,0.381,2,-11.468,1,0.0365,0.901,0.872,0.1,0.147,155.863,3
