Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1TPHwpkKPZ4NCaYLu0qrmt,"Graveyard","Weird Sister","Joanna Gruesome",2013-09-16,200426,3,false,5forty,2016-10-29T11:57:51Z,"riot grrrl","Fortuna POP!",0.237,0.974,11,-5.959,0,0.0517,0.00000251,0.921,0.721,0.332,104.883,4
spotify:track:1BhJ9aWZlajuEQ9nXS1nFF,"Satan","Weird Sister","Joanna Gruesome",2013-09-16,131609,1,false,5forty,2016-10-29T11:57:57Z,"riot grrrl","Fortuna POP!",0.158,0.249,2,-10.177,1,0.031,0.0249,0.00375,0.113,0.355,86.601,4
spotify:track:2Un5ghpSnfy4gRnun3pUTn,"Skeleton Dance","Breakfast","Teleman",2014-06-02,217880,0,false,5forty,2016-10-29T11:58:59Z,"","Moshi Moshi",0.622,0.777,1,-7.015,1,0.0448,0.00607,0.00185,0.246,0.0616,156.01,4
spotify:track:4iG3jkIv08xFm7b63hTspk,"Ghost Beacons","Dawn of Delight","Tropical Popsicle",2013-02-25,300880,0,false,5forty,2016-10-29T11:59:22Z,"","Talitres",0.514,0.695,4,-8.631,1,0.0321,0.00804,0.349,0.353,0.662,125.964,4
spotify:track:53os4LwrmhP3ju0LdQgkUS,"To Speak With Ghosts","Transient","Krieg",2014-09-02,282240,0,false,5forty,2016-10-29T12:00:00Z,"black metal","CANDLELIGHT (CDL)",0.17,0.912,9,-6.189,1,0.0676,0.0000148,0.731,0.236,0.0705,131.439,4
spotify:track:38jb4HxtqzK0pOyEg02gZa,"A walrus! Like a vampire, but awesome!","Kid, just letting you know we are doing it again","Fucking Werewolf Asso",2012,54840,11,false,5forty,2016-10-29T12:01:35Z,"egg punk,electroclash","Alleycat Records",0.306,0.979,2,-4.032,1,0.574,0.674,0.89,0.311,0.167,199.702,4
spotify:track:1rU2NEe4nubCXQRCGGLIdv,"USA I: Is a Monster","America","Dan Deacon",2012-08-27,283280,0,false,5forty,2016-10-29T12:02:51Z,"","Domino Recording Co",0.32,0.905,3,-8.134,1,0.0524,0.0394,0.776,0.622,0.04,145.016,4
spotify:track:4wYaT4TPtHiHH2pwowBDJb,"Buried Alive","Waiting For Something To Happen","Veronica Falls",2013-02-04,177533,0,false,5forty,2016-10-29T12:05:13Z,"jangle pop","Bella Union",0.395,0.912,5,-6.168,1,0.0336,0.0428,0.737,0.197,0.762,154.954,4
spotify:track:0HVjCKQ186bu8Cj0LEn7lQ,"Graveyard girl","Saturdays = Youth","M83",2008-04-11,293573,0,false,5forty,2016-10-29T12:43:38Z,"","Parlophone France",0.376,0.832,11,-5.057,1,0.0521,0.00325,0.884,0.0922,0.142,140.158,4
spotify:track:3K1MREIEM0lgCmlucNDkjx,"Road to Hell","Reign of Terror","Sleigh Bells",2012-02-17,201853,0,false,5forty,2016-10-29T12:47:11Z,"","Mom + Pop Music/RCA Records",0.484,0.861,4,-5.136,1,0.0391,0.198,0.00000816,0.772,0.433,118.964,4
spotify:track:604fgWYaIUfr9UtBe9bj1p,"Satin In A Coffin","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,155200,42,false,5forty,2016-10-29T12:50:45Z,"indie rock,indie,alternative rock","Epic",0.458,0.836,7,-6.146,0,0.0479,0.00384,0,0.365,0.417,173.839,4
spotify:track:6hxmkZcDRpVDtTnv2xclLh,"Ghost Blonde","Ghost Blonde","No Joy",2010,389533,0,false,5forty,2016-10-29T12:51:41Z,"shoegaze,dream pop,space rock","Kemado Records Inc. d/b/a Mexican Summer",0.343,0.79,7,-7.383,1,0.0412,0.0000308,0.763,0.0947,0.253,101.916,4
