Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6IJaK78xPzOsr7kZat4Ohd,"The Godfather","Godfather of Hip Hop","Spoonie Gee",1996,293733,0,true,5forty,2025-04-29T07:38:55Z,"old school hip hop","Ol' Skool Flava",0.818,0.739,7,-9.991,0,0.0569,0.0117,0,0.0653,0.92,104.657,4
spotify:track:3l2csSVDgPiuiPRJqq8z7v,"Band of Gold","Invictus A-Sides Vol. 1 (The Holland Dozier Holland 45s)","Freda Payne",2014-05-19,174226,36,false,5forty,2025-04-29T07:39:08Z,"northern soul,motown,classic soul","Harmless",0.747,0.551,11,-11.063,0,0.037,0.087,0,0.293,0.966,106.783,4
spotify:track:60eZCIqGhOHfUdjzxrh3FR,"I Believe In Miracles","I Believe In Miracles: The Collection","Jackson Sisters",2006-01-01,177653,0,false,5forty,2025-04-29T07:39:20Z,"","Universal Records",0.642,0.844,2,-10.553,0,0.0626,0.355,0,0.652,0.919,108.3,4
spotify:track:0fp8XEUc9Yxxd1Ago0VgyA,"Cross The Tracks (We Better Go Back)","Funky Good Time: The Anthology","Maceo And The Macks",1995-02-28,198160,51,false,5forty,2025-04-29T07:39:26Z,"funk,jazz funk","Polydor",0.55,0.589,3,-11.964,1,0.0328,0.211,0.0103,0.42,0.953,204.383,4
spotify:track:26q6YTrXt9l8qshIveiTX9,"Rebirth Of Slick (Cool Like Dat)","Reachin' (A New Refutation Of Time And Space)","Digable Planets",1993-01-01,261265,62,false,5forty,2025-04-29T07:39:38Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.885,0.334,1,-18.944,0,0.227,0.048,0.0587,0.107,0.569,98.309,4
spotify:track:5K7EdKNXPt5kOSgabaz7hn,"Funky Like A Train","Daddy Cool","The Equals",2006-01-01,268613,8,false,5forty,2025-04-29T07:39:44Z,"","UMOD (Universal Music On Demand)",0.719,0.848,4,-13.776,1,0.114,0.101,0,0.32,0.958,104.201,4
spotify:track:2LCsNgUX2qsEbKZ9yLRUJq,"Love Will Bring Us Back Together","Evolution: The Polydor Anthology","Roy Ayers",1995-02-28,355373,36,false,5forty,2025-04-29T07:39:52Z,"jazz funk,acid jazz,funk,soul jazz","Universal Records",0.816,0.668,4,-13.439,0,0.0495,0.102,0.000144,0.0943,0.76,105.697,4
spotify:track:4gNVlRwLx8xoeX71FIQkvt,"The Masterplan - Original Extended","The Masterplan","Diana Brown;Barry K Sharpe",1992-01-01,426066,32,false,5forty,2025-04-29T07:39:59Z,"acid jazz,jazz funk","Acid Jazz",0.643,0.767,0,-11.501,1,0.0563,0.00667,0.00004,0.35,0.865,102.794,4
spotify:track:4LqwOOl4tgCwHUqU6mwf4n,"Roadblock","Roadblock","Stock Aitken Waterman",1987-07-25,200768,0,false,5forty,2025-04-29T07:40:15Z,"hi-nrg","Pete Waterman Ent. Ltd",0.551,0.717,0,-7.174,1,0.139,0.182,0.282,0.299,0.859,200.169,4
spotify:track:26fSgIa539TCK3KV76chHU,"Needle In A Haystack","The Very Best Of The Velvelettes","The Velvelettes",1999-01-01,149866,48,false,5forty,2025-04-29T07:41:04Z,"northern soul,motown,classic soul,soul","Motown",0.699,0.756,0,-3.617,1,0.0292,0.565,0.00000289,0.106,0.74,77.52,4
