Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1mPLD16bncZz5MgFt5mNo2,"Arctic Shark","Held In Splendor","Quilt",2014-01-28,157040,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.322,0.59,9,-6.293,1,0.0387,0.553,0.000877,0.163,0.147,93.384,4
spotify:track:036XkvfavE3ZnsUiXynJPs,"Saturday Bride","Held In Splendor","Quilt",2014-01-28,227226,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.294,0.752,0,-5.981,1,0.0342,0.000624,0.173,0.0883,0.397,145.212,3
spotify:track:62yWPI3erwzZCy7uhUqk68,"Eye of the Pearl","Held In Splendor","Quilt",2014-01-28,194252,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.764,0.516,0,-8.559,1,0.129,0.53,0.00000265,0.0637,0.214,115.636,4
spotify:track:72BIpEoQuBa021KMVjo6cR,"Mary Mountain","Held In Splendor","Quilt",2014-01-28,299489,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.298,0.781,2,-6.104,1,0.033,0.0898,0.047,0.294,0.305,105.32,4
spotify:track:0X6fW9H63RyRjMFYmmmkcT,"The Hollow","Held In Splendor","Quilt",2014-01-28,111071,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.539,0.719,2,-7.26,1,0.0326,0.166,0.0718,0.146,0.336,102.2,4
spotify:track:6YVehJLvt9S4F9Gb5gcKcz,"A Mirror","Held In Splendor","Quilt",2014-01-28,176780,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.307,0.906,7,-3.411,1,0.0672,0.000752,0.000258,0.236,0.316,159.575,4
spotify:track:4PuRuhGrnPWBr2rlT7i2Mh,"Just Dust","Held In Splendor","Quilt",2014-01-28,148767,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.524,0.773,11,-5.203,0,0.0629,0.0721,0.00000126,0.453,0.202,119.638,4
spotify:track:5kXdVoqXDmulMIjodkKAL7,"The World is Flat","Held In Splendor","Quilt",2014-01-28,124699,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.611,0.508,0,-9.724,1,0.0611,0.0166,0.918,0.342,0.558,113.945,4
spotify:track:71pXBstypgtuT3EPerjKRa,"Tired & Buttered","Held In Splendor","Quilt",2014-01-28,178257,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.433,0.911,0,-4.371,1,0.195,0.00396,0.00135,0.129,0.721,160.662,4
spotify:track:2ysJBb1gdYaDx3Oc4AvN4r,"Secondary Swan","Held In Splendor","Quilt",2014-01-28,277066,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.306,0.694,6,-5.867,1,0.031,0.000194,0.376,0.34,0.428,83.37,4
spotify:track:38rOf3Q8fnT8x9H8jiONEV,"Talking Trains","Held In Splendor","Quilt",2014-01-28,150326,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.568,0.402,7,-7.123,1,0.0332,0.941,0.0256,0.119,0.265,126.991,4
spotify:track:6MKH0Xd3dC5ENZWfKCEknf,"I Sleep in Nature","Held In Splendor","Quilt",2014-01-28,310640,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.261,0.786,2,-5.51,1,0.0553,0.0682,0.554,0.383,0.243,138.659,4
spotify:track:4xf3K4Fhc17DE0v8bsvI58,"Tie Up the Tides","Held In Splendor","Quilt",2014-01-28,210349,0,false,5forty,2014-01-31T03:45:30Z,"neo-psychedelic,retro pop","Mexican Summer",0.484,0.748,0,-5.049,1,0.0491,0.0101,0.000239,0.242,0.654,100.568,4
