Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:31vlNCSYRUKcc52lnG1JuJ,"Radio Static High","Radio Static High","Hey Colossus",2015-10-02,306478,1,false,5forty,2015-10-29T14:39:41Z,"noise rock,space rock,psychedelic rock,krautrock","Rocket Recordings",0.567,0.246,0,-12.36,1,0.0261,0.462,0.936,0.106,0.0368,58.344,4
spotify:track:3B8P6k73aSbSnw7w2XSGNb,"March Of The Headaches","Radio Static High","Hey Colossus",2015-10-02,222677,1,false,5forty,2015-10-29T14:39:41Z,"noise rock,space rock,psychedelic rock,krautrock","Rocket Recordings",0.363,0.805,8,-3.536,1,0.0811,0.000226,0.824,0.0893,0.244,103.487,4
spotify:track:6WbnqVlvj7D2XhCPXcJQYi,"Hop The Railings","Radio Static High","Hey Colossus",2015-10-02,362965,2,false,5forty,2015-10-29T14:39:41Z,"noise rock,space rock,psychedelic rock,krautrock","Rocket Recordings",0.499,0.821,8,-4.948,1,0.0355,0.133,0.82,0.0985,0.393,77.902,4
spotify:track:46Ou0L5qQZXYL1doMoNkcC,"Numbed Out","Radio Static High","Hey Colossus",2015-10-02,179391,0,false,5forty,2015-10-29T14:39:41Z,"noise rock,space rock,psychedelic rock,krautrock","Rocket Recordings",0.221,0.799,7,-3.435,0,0.103,0.000219,0.869,0.104,0.269,198.505,4
spotify:track:3yhyQtmCBuaXduRjM5GM8S,"Memories Of Wonder","Radio Static High","Hey Colossus",2015-10-02,309034,0,false,5forty,2015-10-29T14:39:41Z,"noise rock,space rock,psychedelic rock,krautrock","Rocket Recordings",0.39,0.562,0,-7.474,1,0.0273,0.0000239,0.728,0.0874,0.131,93.558,4
spotify:track:2ZFqQDg11MnB0UBPxLp4EK,"Snapping Undone","Radio Static High","Hey Colossus",2015-10-02,266474,0,false,5forty,2015-10-29T14:39:41Z,"noise rock,space rock,psychedelic rock,krautrock","Rocket Recordings",0.727,0.646,5,-5.639,0,0.0389,0.0432,0.913,0.0658,0.654,127.346,5
spotify:track:1SlYvvcGjiQsZPdpn3RhGn,"Another Head","Radio Static High","Hey Colossus",2015-10-02,234389,0,false,5forty,2015-10-29T14:39:41Z,"noise rock,space rock,psychedelic rock,krautrock","Rocket Recordings",0.59,0.795,7,-6.053,1,0.0334,0.0393,0.733,0.0909,0.343,112.002,4
spotify:track:24d0UdL46VZUwqeSNsd7Kk,"The Mourning Gong","Radio Static High","Hey Colossus",2015-10-02,198602,0,false,5forty,2015-10-29T14:39:41Z,"noise rock,space rock,psychedelic rock,krautrock","Rocket Recordings",0.202,0.746,5,-5.361,1,0.0319,0.000428,0.828,0.0907,0.482,99.459,4
spotify:track:6h33NwBGwJOIBOjeZrZOfw,"Hesitation Time","Radio Static High","Hey Colossus",2015-10-02,186576,0,false,5forty,2015-10-29T14:39:41Z,"noise rock,space rock,psychedelic rock,krautrock","Rocket Recordings",0.373,0.967,5,-3.551,1,0.0917,0.00229,0.936,0.285,0.281,89.601,4
spotify:track:05f48CJMeFiizPKAx8x65o,"Honey","Radio Static High","Hey Colossus",2015-10-02,271058,0,false,5forty,2015-10-29T14:39:41Z,"noise rock,space rock,psychedelic rock,krautrock","Rocket Recordings",0.302,0.946,0,-1.32,1,0.0555,0.0000108,0.927,0.0976,0.15,104.193,4
