Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7lWU6b2sqL9KNwyrS66Ys9,"Freestyle - Live from BBC/Radio 1","Greatest Hits","Fugees",2003-03-25,299053,30,false,,2012-08-08T02:26:52Z,"east coast hip hop","Columbia",0.596,0.827,6,-8.135,1,0.466,0.0328,0,0.214,0.812,166.621,4
spotify:track:0RVq7ajYkQzvtKIIwz5frI,"15-10","Spaz The World","Cappo",2003,166640,0,false,,2012-08-08T02:32:54Z,"","Zebra Traffic",0.718,0.832,10,-7.035,0,0.243,0.347,0.000714,0.201,0.806,95.845,4
spotify:track:5mIBU2IZK5puR0oO9hDPxb,"Mosh","Encore","Eminem",2004-11-12,317813,0,true,,2012-08-08T02:59:07Z,"rap,hip hop","Universal Music Group",0.625,0.719,10,-3.326,0,0.24,0.672,0,0.7,0.524,72.532,4
spotify:track:1GhIhmZXfyGwETsJO70nlC,"Godzilla (feat. Vinnie Paz, Jus Allah, Celph Titled, Apathy, Planetary & King Magnetic)","Army Of The Pharaohs: The Unholy Terror","Celph Titled;Jus Allah;Apathy;Planetary;King Magnetic;Vinnie Paz;Jedi Mind Tricks",2010-03-30,266053,0,true,,2012-08-08T03:05:21Z,"underground hip hop,hardcore hip hop,horrorcore,hip hop,east coast hip hop","Enemy Soil / Babygrande Records",0.465,0.865,6,-3.286,1,0.35,0.00161,0,0.424,0.423,177.218,4
spotify:track:0Dsnc8sZtmvdSSUlzw5PEr,"Remember Me?","The Marshall Mathers LP (Explicit Version)","Eminem;RBX;Sticky Fingaz",2000-05-23,218533,0,true,5forty,2012-08-08T03:15:33Z,"rap,hip hop,g-funk,west coast hip hop,old school hip hop,gangster rap,east coast hip hop","Universal Music Group",0.806,0.902,6,-3.113,0,0.301,0.00263,0,0.299,0.753,90.026,4
spotify:track:07zNZPnbfs2hD6XXhva5UO,"Rawhide","The Dirty Story: The Best Of ODB","Ol' Dirty Bastard",2001-09-18,243293,0,false,,2012-08-08T03:32:45Z,"east coast hip hop,old school hip hop,hardcore hip hop","143/Atlantic Entertainment",0.714,0.54,6,-8.567,1,0.293,0.00529,0,0.127,0.501,92.264,4
spotify:track:7bGS0lOt1dxfMl4S1JzjdJ,"Slide","Under Construction","Missy Elliott",2002-11-12,223733,38,true,,2012-08-08T04:51:44Z,"hip hop","Atlantic Records/ATG",0.873,0.631,8,-5.396,1,0.197,0.237,0,0.0876,0.8,92.882,4
spotify:track:66UsoGUSvPmYTufsRrEskg,"Average Man","Cheers","Obie Trice",2003-01-01,256800,0,true,5forty,2012-08-08T04:57:56Z,"","Universal Music",0.601,0.888,7,-2.64,1,0.165,0.00196,0,0.326,0.344,80.029,4
spotify:track:2QloUyCqK1enErCSmUniNu,"Yonkers","Yonkers","Tyler, The Creator",2011-02-15,251653,0,true,,2012-08-08T05:03:16Z,"","XL",0.73,0.762,11,-5.383,1,0.322,0.0169,0.0749,0.197,0.744,79.069,4
spotify:track:4R1c4c45X0R7YllVb16qJD,"Sandwitches","Sandwitches","Tyler, The Creator;Hodgy",2011-02-15,291288,0,true,,2012-08-08T05:04:53Z,"","XL Recordings",0.569,0.588,4,-9.735,1,0.219,0.0604,0.00000158,0.219,0.367,152.334,4
spotify:track:0yxyJ8XcWv41XZuSt4MHVK,"Next Millennium","Next Millennium","Bounty Killer;Norega",1998-11-03,242493,10,false,,2012-08-08T06:03:43Z,"dancehall,ragga,reggae,riddim,lovers rock,shatta","The Orchard",0.691,0.814,0,-8.469,1,0.387,0.095,0,0.225,0.592,89.509,4
spotify:track:6eNQBntWe7hh6N0h62tRcg,"When A Fire Starts To Burn","Settle (Deluxe Version)","Disclosure",2013-01-01,283705,0,false,5forty,2013-06-12T21:17:38Z,"house","Universal Music Group",0.621,0.746,7,-6.966,1,0.22,0.0094,0.000764,0.234,0.676,123.921,4
