Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0r5wWqZb5xHIZmxUgfrFvq,"Interference","Platform","Holly Herndon",2015-05-18,281348,0,false,5forty,2015-06-08T01:30:10Z,"art pop,experimental,avant-garde,electroacoustic","4AD",0.423,0.693,1,-12.316,1,0.0869,0.065,0.536,0.344,0.42,119.907,4
spotify:track:4nOPmpPaVcXaEZ11sJesG1,"Chorus","Platform","Holly Herndon",2015-05-18,354642,0,false,5forty,2015-06-08T01:30:10Z,"art pop,experimental,avant-garde,electroacoustic","4AD",0.646,0.403,7,-15.677,1,0.0421,0.244,0.836,0.145,0.234,121.869,4
spotify:track:4pFvFPHp6dbOl1F7B4Mftn,"Unequal","Platform","Holly Herndon",2015-05-18,311031,0,false,5forty,2015-06-08T01:30:10Z,"art pop,experimental,avant-garde,electroacoustic","4AD",0.27,0.538,9,-12.444,0,0.0596,0.565,0,0.074,0.0746,129.128,4
spotify:track:3wwdaC91Rr2aG3ILIP98pC,"Morning Sun","Platform","Holly Herndon",2015-05-18,320994,0,false,5forty,2015-06-08T01:30:10Z,"art pop,experimental,avant-garde,electroacoustic","4AD",0.323,0.517,11,-11.49,1,0.064,0.0198,0.539,0.21,0.0823,169.274,4
spotify:track:1KsNCvoSvkWBcRyBonFDmM,"Locker Leak","Platform","Holly Herndon",2015-05-18,254923,0,false,5forty,2015-06-08T01:30:10Z,"art pop,experimental,avant-garde,electroacoustic","4AD",0.479,0.643,7,-9.736,1,0.336,0.381,0.261,0.29,0.37,149.568,4
spotify:track:1Sviy8HkArTdiMRg31xUjs,"An Exit","Platform","Holly Herndon",2015-05-18,298111,0,false,5forty,2015-06-08T01:30:10Z,"art pop,experimental,avant-garde,electroacoustic","4AD",0.361,0.6,11,-8.951,0,0.074,0.352,0.0237,0.0775,0.403,111.671,5
spotify:track:0ivSlRzvNfOPnxVKB7h7gp,"Lonely At The Top","Platform","Holly Herndon",2015-05-18,271426,0,false,5forty,2015-06-08T01:30:10Z,"art pop,experimental,avant-garde,electroacoustic","4AD",0.61,0.316,8,-28.232,1,0.654,0.14,0.0000565,0.0546,0.199,118.278,4
spotify:track:6UGZZj09qKRAdKDj9IDC2z,"DAO","Platform","Holly Herndon",2015-05-18,252539,0,false,5forty,2015-06-08T01:30:10Z,"art pop,experimental,avant-garde,electroacoustic","4AD",0.713,0.42,1,-12.426,1,0.0515,0.00254,0.77,0.117,0.0506,124.086,4
spotify:track:0We7yyksvhdSoCAE8eGwkD,"Home","Platform","Holly Herndon",2015-05-18,353115,0,false,5forty,2015-06-08T01:30:10Z,"art pop,experimental,avant-garde,electroacoustic","4AD",0.613,0.514,1,-14.805,1,0.0485,0.0661,0.221,0.242,0.34,129.909,4
spotify:track:00yZjHBTIbQ5P9fkiLGOzU,"New Ways To Love","Platform","Holly Herndon",2015-05-18,277961,0,false,5forty,2015-06-08T01:30:10Z,"art pop,experimental,avant-garde,electroacoustic","4AD",0.203,0.68,5,-11.058,0,0.17,0.639,0.48,0.342,0.156,63.573,4
