Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2AN2CyX0pCJAInWax8DgMg,"Madeland","Hippie Girl Lover","Holy Bouncer",2016-09-30,511711,0,false,5forty,2018-05-04T21:41:46Z,"space rock","Holy Bouncer",0.211,0.682,2,-11.148,1,0.0956,0.0266,0.0344,0.165,0.222,185.456,4
spotify:track:7hJsKtrMuQyKGwgGCbyxRv,"Anticipation","Hippie Girl Lover","Holy Bouncer",2016-09-30,317490,1,false,5forty,2018-05-04T21:41:46Z,"space rock","Holy Bouncer",0.448,0.607,9,-8.877,1,0.0548,0.0056,0.26,0.0603,0.399,104.441,4
spotify:track:1iJsN50FHNH9oOl4oFpA4y,"Hippie Girl Lover","Hippie Girl Lover","Holy Bouncer",2016-09-30,306255,3,false,5forty,2018-05-04T21:41:46Z,"space rock","Holy Bouncer",0.373,0.774,2,-7.411,1,0.151,0.0177,0.00103,0.0919,0.334,134.115,4
spotify:track:0VdShfBs2IR7pJOEUGjh2S,"Reading the Bible Without Eyes, You Can Get a Big Surprise","Hippie Girl Lover","Holy Bouncer",2016-09-30,425424,0,false,5forty,2018-05-04T21:41:46Z,"space rock","Holy Bouncer",0.331,0.708,11,-9.935,0,0.0476,0.0326,0.131,0.37,0.277,103.489,4
spotify:track:40g0i1uFm6etcZjgKPTX65,"My Mother Is a Yonkie","Hippie Girl Lover","Holy Bouncer",2016-09-30,191504,1,false,5forty,2018-05-04T21:41:46Z,"space rock","Holy Bouncer",0.529,0.835,4,-7.826,1,0.0532,0.155,0.492,0.262,0.721,109.485,4
spotify:track:31GbKjlgjFa3dZsbI3AKx8,"I'm Back","Hippie Girl Lover","Holy Bouncer",2016-09-30,206794,0,false,5forty,2018-05-04T21:41:46Z,"space rock","Holy Bouncer",0.327,0.66,9,-7.726,1,0.0497,0.0763,0.00000405,0.158,0.641,102.912,4
spotify:track:2P5sGqyZfRj0MuJcP3Vumx,"Get Higher","Hippie Girl Lover","Holy Bouncer",2016-09-30,354009,1,false,5forty,2018-05-04T21:41:46Z,"space rock","Holy Bouncer",0.292,0.58,2,-8.941,1,0.0375,0.183,0.0013,0.25,0.307,135.865,4
spotify:track:6Oe6DtiaiTddtPzEMJCCA6,"Wrong Raw Tongue, Rocks Wrong","Hippie Girl Lover","Holy Bouncer",2016-09-30,192858,0,false,5forty,2018-05-04T21:41:46Z,"space rock","Holy Bouncer",0.294,0.945,0,-4.889,1,0.107,0.03,0.0258,0.0717,0.151,107.647,4
spotify:track:2g8RdwxpOdYN88XsY00sls,"My Concerns & I, Dancing Through the Wild","Hippie Girl Lover","Holy Bouncer",2016-09-30,249882,0,false,5forty,2018-05-04T21:41:46Z,"space rock","Holy Bouncer",0.35,0.704,2,-7.329,1,0.0446,0.049,0.251,0.148,0.243,109.061,4
spotify:track:73c4DKnO4NKBNRBz8cJy0n,"La Mer, Birds & Storm","Hippie Girl Lover","Holy Bouncer",2016-09-30,350465,1,false,5forty,2018-05-04T21:41:46Z,"space rock","Holy Bouncer",0.354,0.44,9,-18.806,0,0.0738,0.799,0.724,0.373,0.19,120.443,4
