Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6hIuEkcAkltCXnbPxcytEI,"They Removed All Trace That Anything Had Ever Happened Here","Cold House","Hood",2001-11-11,320586,0,false,5forty,2012-09-06T02:15:47Z,"slowcore,post-rock","Domino Recording Co",0.635,0.474,1,-14.456,0,0.0625,0.033,0.314,0.146,0.291,129.807,4
spotify:track:6B0ZCDWnShmNg2AzFNRZbC,"You Show No Emotion At All","Cold House","Hood",2001-11-11,313986,0,false,5forty,2012-09-06T02:15:47Z,"slowcore,post-rock","Domino Recording Co",0.656,0.614,7,-13.874,0,0.0316,0.325,0.485,0.0603,0.87,109.989,4
spotify:track:0i008mr2eO2jTwYhVbJoMS,"Branches Bare","Cold House","Hood",2001-11-11,355613,0,false,5forty,2012-09-06T02:15:47Z,"slowcore,post-rock","Domino Recording Co",0.476,0.418,2,-12.209,1,0.0277,0.257,0.172,0.112,0.136,82.03,4
spotify:track:5wWg2qYiExao4wJR3M5FRl,"Enemy Of Time","Cold House","Hood",2001-11-11,202826,0,false,5forty,2012-09-06T02:15:47Z,"slowcore,post-rock","Domino Recording Co",0.316,0.382,7,-14.397,1,0.0257,0.327,0.557,0.338,0.0908,101.855,4
spotify:track:0Vt4LUyI9dmEvxbSWG3MVL,"The Winter Hit Hard","Cold House","Hood",2001-11-11,342626,0,false,5forty,2012-09-06T02:15:47Z,"slowcore,post-rock","Domino Recording Co",0.365,0.504,6,-11.701,0,0.259,0.299,0.0828,0.378,0.143,137.09,3
spotify:track:2bqX3YBaOoWBSYmIKrJcVB,"I Can't Find My Brittle Youth","Cold House","Hood",2001-11-11,191573,0,false,5forty,2012-09-06T02:15:47Z,"slowcore,post-rock","Domino Recording Co",0.548,0.656,11,-9.597,1,0.0358,0.000789,0.00137,0.0736,0.214,120.975,4
spotify:track:5VRpesvPGS3ahFK55Oou9S,"This Is What We Do To Sell Out(S)","Cold House","Hood",2001-11-11,185866,0,false,5forty,2012-09-06T02:15:47Z,"slowcore,post-rock","Domino Recording Co",0.455,0.527,10,-19.618,0,0.0749,0.0144,0.406,0.162,0.463,145.397,4
spotify:track:34w4vs3K2NXSVNB0lA9VUt,"The River Curls Around The Town","Cold House","Hood",2001-11-11,203733,0,false,5forty,2012-09-06T02:15:47Z,"slowcore,post-rock","Domino Recording Co",0.351,0.349,7,-13.083,0,0.0322,0.919,0.94,0.0903,0.0701,93.206,4
spotify:track:3PfQCPVtLrctnqIoCexgNa,"Lines Low To Frozen Ground","Cold House","Hood",2001-11-11,315453,0,false,5forty,2012-09-06T02:15:47Z,"slowcore,post-rock","Domino Recording Co",0.442,0.138,9,-20.814,0,0.0331,0.557,0.755,0.0981,0.064,138.185,3
spotify:track:3W5SFrxZOsmw7aXYK2C5Zk,"You're Worth The Whole World","Cold House","Hood",2001-11-11,343240,0,false,5forty,2012-09-06T02:15:47Z,"slowcore,post-rock","Domino Recording Co",0.532,0.172,0,-16.501,1,0.0274,0.354,0.219,0.128,0.118,75.026,4
