Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Yq1M99GA5KEsIzyDnVO6b,"Away / Towards","Pearl Mystic","Hookworms",2013-03-04,529426,0,false,5forty,2013-12-11T10:05:47Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.219,0.905,7,-8.695,1,0.0684,0.00554,0.868,0.0964,0.148,141.049,4
spotify:track:0xauK1tYHLxkk8Vem8upbt,"Form and Function","Pearl Mystic","Hookworms",2013-03-04,358320,0,false,5forty,2013-12-11T10:05:47Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.187,0.93,7,-6.229,1,0.0724,0.000635,0.731,0.655,0.235,127.932,4
spotify:track:7lJQWutMNKFidtn2rO9PQU,"I","Pearl Mystic","Hookworms",2013-03-04,164586,0,false,5forty,2013-12-11T10:05:47Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.19,0.42,2,-10.942,1,0.0408,0.955,0.866,0.614,0.033,77.484,5
spotify:track:4WzZsp8xPcClEea5qbx4mq,"In Our Time","Pearl Mystic","Hookworms",2013-03-04,290906,0,false,5forty,2013-12-11T10:05:47Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.229,0.736,7,-9.99,0,0.0398,0.429,0.303,0.0879,0.571,166.11,4
spotify:track:0akzDAlZlvwVMePharsMVW,"Since We Had Changed","Pearl Mystic","Hookworms",2013-03-04,452560,0,false,5forty,2013-12-11T10:05:47Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.226,0.526,2,-8.75,1,0.0312,0.334,0.884,0.265,0.0816,96.11,4
spotify:track:5V5sNKpnXqtxU3vd0blCFn,"Preservation","Pearl Mystic","Hookworms",2013-03-04,304493,0,false,5forty,2013-12-11T10:05:47Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.396,0.867,7,-5.194,1,0.0639,0.000409,0.848,0.754,0.161,124.678,4
spotify:track:7qFwbAjHrrCwyUpVKklY5s,"Ii","Pearl Mystic","Hookworms",2013-03-04,90600,0,false,5forty,2013-12-11T10:05:47Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.242,0.296,10,-15.244,1,0.0372,0.933,0.948,0.12,0.0276,76.296,4
spotify:track:343sxt9a5OwylKvNxdxmof,"What We Talk About","Pearl Mystic","Hookworms",2013-03-04,241106,0,false,5forty,2013-12-11T10:05:47Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.282,0.581,0,-9.068,1,0.0372,0.603,0.423,0.166,0.121,119.608,3
spotify:track:2bRP5nYrEZLh6ZYDMsZwPA,"Iii","Pearl Mystic","Hookworms",2013-03-04,231378,0,false,5forty,2013-12-11T10:05:47Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.164,0.132,0,-21.579,1,0.0402,0.984,0.95,0.0781,0.0308,134.337,1
spotify:track:6TXVOwrfLemOT3uOand8Bu,"Medicine Cabinet","Hookworms","Hookworms",2011-10-24,383533,0,false,5forty,2014-01-23T21:15:32Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.247,0.659,9,-7.973,1,0.0415,0.00104,0.728,0.128,0.131,115.133,3
spotify:track:2X2MricInKVbu1f4EU2J2T,"Teen Dreams","Hookworms","Hookworms",2011-10-24,381453,0,false,5forty,2014-01-23T21:15:32Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.525,0.784,2,-8.095,1,0.0534,0.00322,0.483,0.11,0.603,127.077,4
spotify:track:0hqzUCd5O5JmjP8KNnvzFr,"I Have Some Business Out West","Hookworms","Hookworms",2011-10-24,330213,0,false,5forty,2014-01-23T21:15:32Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.378,0.876,9,-8.19,1,0.0447,0.021,0.0744,0.141,0.243,122.401,4
spotify:track:161DMzlpDgP90FcHr3fQrI,"Resolution","Hookworms","Hookworms",2011-10-24,521725,0,false,5forty,2014-01-23T21:15:32Z,"neo-psychedelic,space rock,krautrock,psychedelic rock","Gringo Records",0.241,0.608,11,-12.244,0,0.0412,0.251,0.758,0.118,0.314,114.025,4
