Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:43BJOG4sw6rHmwTDfRTImN,"Motion Sickness","In Our Heads","Hot Chip",2012-06-11,320506,0,false,5forty,2012-10-01T02:32:19Z,"alternative dance,new rave,indie dance","Domino Recording Co",0.569,0.923,7,-5.696,1,0.0327,0.0962,0.117,0.29,0.394,125.991,4
spotify:track:5RTQqFaa0ahgNfrlLGyPle,"How Do You Do?","In Our Heads","Hot Chip",2012-06-11,285320,0,false,5forty,2012-10-01T02:32:19Z,"alternative dance,new rave,indie dance","Domino Recording Co",0.666,0.811,11,-5.079,0,0.0357,0.0998,0.0614,0.0588,0.955,124.954,4
spotify:track:1Xd15jkj8yhAPYNZaE64xM,"Don't Deny Your Heart","In Our Heads","Hot Chip",2012-06-11,271480,0,false,5forty,2012-10-01T02:32:19Z,"alternative dance,new rave,indie dance","Domino Recording Co",0.677,0.86,1,-5.074,1,0.0348,0.0132,0.0119,0.0487,0.809,121.989,4
spotify:track:5yoOsu09qo5tGL6YQoo5c7,"Look At Where We Are","In Our Heads","Hot Chip",2012-06-11,239426,0,false,5forty,2012-10-01T02:32:19Z,"alternative dance,new rave,indie dance","Domino Recording Co",0.792,0.387,8,-8.192,0,0.0464,0.597,0.000106,0.0757,0.67,136.996,4
spotify:track:3hg8sBWY1aTqXeGFfTOoGL,"These Chains","In Our Heads","Hot Chip",2012-06-11,255600,0,false,5forty,2012-10-01T02:32:19Z,"alternative dance,new rave,indie dance","Domino Recording Co",0.674,0.83,10,-4.796,0,0.0327,0.0461,0.0175,0.124,0.44,125.967,4
spotify:track:37IuqAoH08yjX1zcbxs1ip,"Night And Day","In Our Heads","Hot Chip",2012-06-11,270680,0,false,5forty,2012-10-01T02:32:19Z,"alternative dance,new rave,indie dance","Domino Recording Co",0.764,0.768,5,-5.614,1,0.0382,0.0285,0.0235,0.122,0.628,125.988,4
spotify:track:3SCE48fTsE0YE2XzUYGZNW,"Flutes","In Our Heads","Hot Chip",2012-06-11,425320,0,false,5forty,2012-10-01T02:32:19Z,"alternative dance,new rave,indie dance","Domino Recording Co",0.691,0.71,10,-6.351,0,0.0322,0.034,0.00225,0.0903,0.332,118.006,4
spotify:track:2qK33fnQcIh4X5K0JXQ1zi,"Now There Is Nothing","In Our Heads","Hot Chip",2012-06-11,239520,0,false,5forty,2012-10-01T02:32:19Z,"alternative dance,new rave,indie dance","Domino Recording Co",0.599,0.473,7,-5.947,0,0.0305,0.451,0.0000265,0.0954,0.624,87.638,4
spotify:track:6hx7m6LuqaRznM7hIRMfqN,"Ends Of The Earth","In Our Heads","Hot Chip",2012-06-11,340853,0,false,5forty,2012-10-01T02:32:19Z,"alternative dance,new rave,indie dance","Domino Recording Co",0.637,0.782,9,-6.466,0,0.0294,0.0517,0.0549,0.122,0.549,129.999,4
spotify:track:0xFuqlmQlNLr88Yvgzm3ra,"Let Me Be Him","In Our Heads","Hot Chip",2012-06-11,460600,0,false,5forty,2012-10-01T02:32:19Z,"alternative dance,new rave,indie dance","Domino Recording Co",0.635,0.623,6,-7.334,0,0.038,0.0957,0.14,0.106,0.199,119.986,4
spotify:track:547MX2gUoTB2MFuEeuD4PH,"Always Been Your Love","In Our Heads","Hot Chip",2012-06-11,304480,0,false,5forty,2012-10-01T02:32:19Z,"alternative dance,new rave,indie dance","Domino Recording Co",0.767,0.575,5,-6.926,0,0.0297,0.135,0.00319,0.108,0.701,114.001,4
