Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ZMIuQsCfQ8iNl27Piskct,"Winter Beats","Winter Beats","I Break Horses",2011-07-25,305826,0,false,,2011-08-23T13:17:35Z,"dream pop,shoegaze,chillwave","Bella Union",0.0998,0.789,9,-5.956,1,0.0864,0.00293,0.225,0.22,0.0309,159.96,4
spotify:track:1UA5kkbVlf9BTa9sfSqpwZ,"Hearts - Single version","Hearts","I Break Horses",2011-05-29,233626,0,false,,2011-08-23T13:17:35Z,"dream pop,shoegaze,chillwave","Bella Union",0.246,0.769,9,-5.093,1,0.0556,0.000167,0.839,0.109,0.13,89.775,4
spotify:track:0nxYA2lVP7SxVq3w74IhOk,"Goodbye Sweet Dreams","The Psychedelic Sounds Of The Sonic Cathedral","I Break Horses",2010-06-07,252293,0,false,,2011-08-23T13:17:35Z,"dream pop,shoegaze,chillwave","Sonic Cathedral",0.347,0.522,1,-6.392,1,0.0291,0.319,0.781,0.0844,0.11,97.016,4
spotify:track:2Q7tajvGxeHaeJfsCc1ZWX,"Hearts - R.A.R Mix","Hearts","I Break Horses",2011-05-29,243133,0,false,,2011-08-23T13:17:35Z,"dream pop,shoegaze,chillwave","Bella Union",0.456,0.848,9,-7.532,1,0.0923,0.00576,0.461,0.11,0.0884,89.942,4
spotify:track:1iW0JGYKK2RZA06F7SauKx,"Hearts - Single version","Hearts","I Break Horses",2011-08-22,233893,0,false,,2011-08-23T13:17:35Z,"dream pop,shoegaze,chillwave","Bella Union",0.287,0.745,9,-4.885,1,0.054,0.0000869,0.657,0.383,0.121,90.114,4
spotify:track:48TKfiyDr0yB2FhSYgTWfR,"Wired","Hearts","I Break Horses",2011-08-22,271040,0,false,,2011-08-23T13:17:35Z,"dream pop,shoegaze,chillwave","Bella Union",0.361,0.912,1,-3.933,1,0.0573,0.0000458,0.826,0.0679,0.481,130.981,4
spotify:track:35kurTVSKlcGhH170jmxpr,"I Kill Love, Baby!","Hearts","I Break Horses",2011-08-22,289000,0,false,,2011-08-23T13:17:35Z,"dream pop,shoegaze,chillwave","Bella Union",0.213,0.593,0,-8.875,1,0.0516,0.167,0.887,0.15,0.0345,82.652,3
spotify:track:2pv9NPdJsN0QP9rq5sjO2G,"Pulse","Hearts","I Break Horses",2011-08-22,285866,0,false,,2011-08-23T13:17:35Z,"dream pop,shoegaze,chillwave","Bella Union",0.395,0.855,11,-3.559,0,0.0448,0.0303,0.235,0.0675,0.256,123.943,4
spotify:track:6ndceljFs5kuJkU5ltCh7U,"Cancer","Hearts","I Break Horses",2011-08-22,310560,0,false,,2011-08-23T13:17:35Z,"dream pop,shoegaze,chillwave","Bella Union",0.294,0.601,2,-4.798,1,0.0313,0.0151,0.711,0.117,0.2,79.913,5
spotify:track:3ppMFTSgQtAHEWgOCx1Zr8,"Load Your Eyes","Hearts","I Break Horses",2011-08-22,280546,0,false,,2011-08-23T13:17:35Z,"dream pop,shoegaze,chillwave","Bella Union",0.357,0.891,10,-4.461,1,0.0441,0.0348,0.697,0.259,0.37,176.02,4
spotify:track:02OT12MfK1YnLp0UKLybGU,"Empty Bottles","Hearts","I Break Horses",2011-08-22,202653,0,false,,2011-08-23T13:17:35Z,"dream pop,shoegaze,chillwave","Bella Union",0.399,0.921,0,-4.573,1,0.044,0.0000978,0.741,0.251,0.138,119.966,4
spotify:track:2iZtwGigkEzfE9xwpOUNEN,"No Way Outro","Hearts","I Break Horses",2011-08-22,265480,0,false,,2011-08-23T13:17:35Z,"dream pop,shoegaze,chillwave","Bella Union",0.308,0.811,0,-5.391,1,0.0535,0.0642,0.876,0.641,0.0385,139.857,4
