Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6f7I9gTb6Pl93j1gRpEbOS,"Open the Door","Black Earth","Implodes",2011-04-18,94933,0,false,,2012-01-23T14:12:14Z,"drone,shoegaze,neoclassical,post-rock","kranky",0.324,0.603,2,-11.448,1,0.0397,0.572,0.885,0.182,0.134,116.184,4
spotify:track:0USaWe8gmleoCx65SYVm65,"Marker","Black Earth","Implodes",2011-04-18,312640,0,false,,2012-01-23T14:12:14Z,"drone,shoegaze,neoclassical,post-rock","kranky",0.253,0.931,5,-5.395,1,0.0793,0.0105,0.954,0.0993,0.0644,132.206,4
spotify:track:3RXfiQrYdol4JzDrKoSZXn,"White Window","Black Earth","Implodes",2011-04-18,282840,0,false,,2012-01-23T14:12:14Z,"drone,shoegaze,neoclassical,post-rock","kranky",0.164,0.168,1,-14.721,1,0.0585,0.834,0.979,0.0909,0.0335,126.609,4
spotify:track:7Aew0oKIfKdCNL88VMztPa,"Screech Owl","Black Earth","Implodes",2011-04-18,299853,0,false,,2012-01-23T14:12:14Z,"drone,shoegaze,neoclassical,post-rock","kranky",0.177,0.669,7,-8.87,1,0.0526,0.0192,0.861,0.114,0.0345,81.315,3
spotify:track:3Ob1rVmApqjXdY2thnIqdw,"Oxblood","Black Earth","Implodes",2011-04-18,255733,0,false,,2012-01-23T14:12:14Z,"drone,shoegaze,neoclassical,post-rock","kranky",0.146,0.493,4,-13.026,0,0.0388,0.928,0.848,0.161,0.0697,139.138,4
spotify:track:1Rmd7jXS4c5jwrbMDdbxIP,"Meadowlands","Black Earth","Implodes",2011-04-18,331053,0,false,,2012-01-23T14:12:14Z,"drone,shoegaze,neoclassical,post-rock","kranky",0.234,0.9,7,-3.711,0,0.0509,0.00421,0.778,0.169,0.416,142.318,4
spotify:track:5NOV4AMCb3GXCyuAb23IHN,"Wendy","Black Earth","Implodes",2011-04-18,203613,0,false,,2012-01-23T14:12:14Z,"drone,shoegaze,neoclassical,post-rock","kranky",0.0669,0.274,10,-12.581,1,0.0473,0.886,0.856,0.068,0.0307,76.624,4
spotify:track:3a20AEcpDb28hE14EIVDFN,"Experiential Report","Black Earth","Implodes",2011-04-18,98266,0,false,,2012-01-23T14:12:14Z,"drone,shoegaze,neoclassical,post-rock","kranky",0.437,0.653,2,-9.973,1,0.0349,0.138,0.913,0.176,0.413,116.004,4
spotify:track:7mfhabEhmpLuLMFNXA6oik,"Song for Fucking Damon II (Trap Door)","Black Earth","Implodes",2011-04-18,332960,0,false,,2012-01-23T14:12:14Z,"drone,shoegaze,neoclassical,post-rock","kranky",0.186,0.656,7,-6.18,0,0.0493,0.00465,0.887,0.102,0.0403,101.258,4
spotify:track:3N11nyED00CDKBAkvJ3zgz,"Down Time","Black Earth","Implodes",2011-04-18,87506,0,false,,2012-01-23T14:12:14Z,"drone,shoegaze,neoclassical,post-rock","kranky",0.0737,0.0751,3,-23.466,1,0.049,0.331,0.911,0.109,0.0326,176.666,4
spotify:track:5TmWSSgIgGtiU2quIOeX0f,"Hands on the Rail","Black Earth","Implodes",2011-04-18,333213,0,false,,2012-01-23T14:12:14Z,"drone,shoegaze,neoclassical,post-rock","kranky",0.122,0.416,5,-7.947,1,0.0427,0.804,0.937,0.182,0.0342,81.947,4
