Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0z3MNg0lRKuWw1683Q5by0,"We Die And See Beauty Reign","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,174600,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.387,0.145,2,-19.815,0,0.0631,0.901,0.747,0.0979,0.366,170.764,3
spotify:track:5Gnzk4Q8bqXWOl4NFdzo9U,"You Won’t Let Me Down Again","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,208106,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.514,0.573,7,-8.442,1,0.0284,0.0375,0.27,0.0906,0.459,123.866,3
spotify:track:632L9STErZ5lxieFfgLJss,"Snake Song","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,168066,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.41,0.471,1,-12.923,1,0.044,0.528,0.837,0.0994,0.0569,194.589,4
spotify:track:6TlLq2hP4KtTLiEp8MYmS4,"Come Undone","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,342453,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.494,0.268,10,-10.604,0,0.0309,0.371,0.387,0.124,0.471,171.988,3
spotify:track:5QQbFmQfpijITdymU6J8rn,"No Place To Fall","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,194453,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.511,0.25,4,-10.953,1,0.0307,0.78,0.00119,0.119,0.242,128.037,3
spotify:track:11TaB4ytwm1cUtWUMBtzZQ,"Get Behind Me","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,306853,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.269,0.905,4,-6.323,0,0.0423,0.00285,0.801,0.122,0.833,200.378,4
spotify:track:4U4sogxeLrhXgLSTNaHFO2,"Time Of The Season","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,267106,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.442,0.551,2,-11.042,1,0.0333,0.221,0.768,0.133,0.647,108.082,4
spotify:track:3EHGQTKFBdmZEn8zpLmyCH,"Hawk","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,145546,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.25,0.772,9,-6.336,0,0.0617,0.00001,0.895,0.213,0.627,137.104,4
spotify:track:6xOEvWc4f80pHv1QLTIYHG,"Sunrise","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,149906,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.322,0.311,5,-13.26,1,0.0309,0.547,0.861,0.103,0.42,104.772,3
spotify:track:5UVVg54mqtOK0ATatNSnPV,"To Hell & Back Again","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,282533,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.547,0.327,2,-11.614,1,0.0298,0.753,0.829,0.126,0.477,99.36,3
spotify:track:2Lzi1NQRLVbf2BRPETsQe4,"Cool Water","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,215440,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.61,0.247,0,-15.904,1,0.0307,0.891,0.631,0.136,0.475,113.556,4
spotify:track:1IXiJi9eJS8keMZ3MZBWLb,"Eyes Of Green","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,108826,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.509,0.471,9,-8.737,1,0.0282,0.275,0.836,0.134,0.593,132.541,4
spotify:track:6LGHpOxsYPRHgyOM2YlNIZ,"Lately","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,287826,0,false,,2010-10-29T13:37:06Z,"southern gothic,grunge","Isobel Campbell",0.4,0.674,7,-7.373,1,0.0343,0.1,0.0223,0.149,0.687,171.683,4
