Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7gve9gNzvLuojgHxIXBYKc,"Only Eternal","Melbourne","Jackson Scott",2013-09-06,89946,0,false,5forty,2014-10-05T21:16:22Z,"space rock,neo-psychedelic","Fat Possum Records",0.285,0.387,11,-14.801,1,0.119,0.938,0.975,0.112,0.0958,73.612,4
spotify:track:37xsnNBpSETef4kyu0j8GX,"Evie","Melbourne","Jackson Scott",2013-09-06,217706,0,false,5forty,2014-10-05T21:16:22Z,"space rock,neo-psychedelic","Fat Possum Records",0.34,0.66,5,-5.589,1,0.0271,0.13,0.131,0.0893,0.307,78.457,4
spotify:track:3xbFo5AWM4xTOiZa5GFT4Z,"Never Ever","Melbourne","Jackson Scott",2013-09-06,132506,0,false,5forty,2014-10-05T21:16:22Z,"space rock,neo-psychedelic","Fat Possum Records",0.202,0.6,9,-7.306,1,0.0382,0.0236,0.0302,0.322,0.135,106.214,4
spotify:track:4WPQ8XHyg6lT85hSmIXzCH,"Sandy","Melbourne","Jackson Scott",2013-09-06,146093,0,false,5forty,2014-10-05T21:16:22Z,"space rock,neo-psychedelic","Fat Possum Records",0.499,0.712,11,-3.721,1,0.027,0.133,0.000427,0.398,0.393,112.451,4
spotify:track:747JtfMQ8GTjPmOfvNbyNR,"That Awful Sound","Melbourne","Jackson Scott",2013-09-06,146280,0,false,5forty,2014-10-05T21:16:22Z,"space rock,neo-psychedelic","Fat Possum Records",0.466,0.739,9,-4.782,1,0.0417,0.00876,0.114,0.713,0.653,77.554,4
spotify:track:4USDJZ9RvOdggpEEueeiTc,"Tomorrow","Melbourne","Jackson Scott",2013-09-06,167986,0,false,5forty,2014-10-05T21:16:22Z,"space rock,neo-psychedelic","Fat Possum Records",0.468,0.529,8,-7.187,0,0.0329,0.903,0.913,0.208,0.117,144.628,4
spotify:track:13dX16Ve4XhDTr8QK42Teg,"Wish Upon","Melbourne","Jackson Scott",2013-09-06,80306,0,false,5forty,2014-10-05T21:16:22Z,"space rock,neo-psychedelic","Fat Possum Records",0.293,0.16,9,-24.886,1,0.0959,0.968,0.749,0.0967,0.114,72.046,4
spotify:track:7qrGqTuxysziICPWRRXV3m,"Any Way","Melbourne","Jackson Scott",2013-09-06,114986,0,false,5forty,2014-10-05T21:16:22Z,"space rock,neo-psychedelic","Fat Possum Records",0.28,0.724,9,-6.48,1,0.0633,0.216,0.0000243,0.326,0.61,146.244,4
spotify:track:3lWoEuZxqqJ6PSoPkHojRc,"Together Forever","Melbourne","Jackson Scott",2013-09-06,222306,0,false,5forty,2014-10-05T21:16:22Z,"space rock,neo-psychedelic","Fat Possum Records",0.308,0.53,4,-3.709,1,0.0413,0.0000156,0.856,0.349,0.366,116.845,4
spotify:track:6tM7dWq2LCSmJqzuXx5TUj,"In the Sun","Melbourne","Jackson Scott",2013-09-06,131133,0,false,5forty,2014-10-05T21:16:22Z,"space rock,neo-psychedelic","Fat Possum Records",0.573,0.64,2,-5.835,1,0.0333,0.106,0.0000303,0.575,0.822,118.609,4
spotify:track:2ZXK7CryThri741Hj48jU0,"Doctor Mad","Melbourne","Jackson Scott",2013-09-06,145253,0,false,5forty,2014-10-05T21:16:22Z,"space rock,neo-psychedelic","Fat Possum Records",0.2,0.472,4,-6.75,1,0.0334,0.412,0.968,0.111,0.274,78.517,3
spotify:track:2ZAfg4adINtu40crQX0qYq,"Sweet Nothing","Melbourne","Jackson Scott",2013-09-06,179186,0,false,5forty,2014-10-05T21:16:22Z,"space rock,neo-psychedelic","Fat Possum Records",0.354,0.565,11,-7.045,1,0.0278,0.521,0.879,0.113,0.0398,74.899,3
