Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3G6BzdAKqE12KnXVXEfNhq,"Woodworkk","Sunshine Redux","Jackson Scott",2015-04-28,10000,0,false,5forty,2015-05-27T20:59:57Z,"space rock,neo-psychedelic","Bloodmoss Records",0,0.361,10,-8.225,1,0,0.985,0.456,0.126,0,0,0
spotify:track:5J6TpNZ86d2zU8Do9Lt3Yx,"Broken Record Repeat","Sunshine Redux","Jackson Scott",2015-04-28,163720,0,false,5forty,2015-05-27T20:59:57Z,"space rock,neo-psychedelic","Bloodmoss Records",0.238,0.791,8,-4.827,1,0.0503,0.00366,0.64,0.112,0.521,135.683,4
spotify:track:3EVF0XyOFRcbUZq0FqdNDA,"Ripe for Love","Sunshine Redux","Jackson Scott",2015-04-28,365000,0,false,5forty,2015-05-27T20:59:57Z,"space rock,neo-psychedelic","Bloodmoss Records",0.122,0.685,3,-4.194,1,0.0396,0.000777,0.819,0.225,0.259,85.044,4
spotify:track:1gAsDzLTX85751l6WV98qc,"Steal Me","Sunshine Redux","Jackson Scott",2015-04-28,52680,0,false,5forty,2015-05-27T20:59:57Z,"space rock,neo-psychedelic","Bloodmoss Records",0.222,0.594,2,-7.569,1,0.0645,0.94,0.825,0.191,0.367,104.463,3
spotify:track:7hz9CBFJcDL4b6K7aPmVfY,"Pacify","Sunshine Redux","Jackson Scott",2015-04-28,227453,0,false,5forty,2015-05-27T20:59:57Z,"space rock,neo-psychedelic","Bloodmoss Records",0.142,0.875,8,-4.718,1,0.0569,0.0000416,0.764,0.171,0.224,70.229,4
spotify:track:6bAUPdtfyJHddwV1AwtynQ,"Save the World","Sunshine Redux","Jackson Scott",2015-04-28,186626,0,false,5forty,2015-05-27T20:59:57Z,"space rock,neo-psychedelic","Bloodmoss Records",0.236,0.739,7,-5.827,1,0.0448,0.148,0.103,0.599,0.277,114.195,4
spotify:track:7qwJS4QWQH4tBe31rYISGP,"Merry Nightmare","Sunshine Redux","Jackson Scott",2015-04-28,230746,0,false,5forty,2015-05-27T20:59:57Z,"space rock,neo-psychedelic","Bloodmoss Records",0.103,0.691,9,-7.176,0,0.0439,0.582,0.828,0.137,0.0821,84.535,4
spotify:track:18U5hDR6xktvuFaMVNhUfo,"Dissonance","Sunshine Redux","Jackson Scott",2015-04-28,276880,0,false,5forty,2015-05-27T20:59:57Z,"space rock,neo-psychedelic","Bloodmoss Records",0.229,0.754,2,-3.832,1,0.0419,0.000094,0.349,0.388,0.249,114.691,4
spotify:track:5yom03zo7Kb8qgx9MziSxy,"PRPLMTV","Sunshine Redux","Jackson Scott",2015-04-28,197346,0,false,5forty,2015-05-27T20:59:57Z,"space rock,neo-psychedelic","Bloodmoss Records",0.207,0.495,0,-3.965,1,0.0421,0.0211,0.659,0.0713,0.568,126.484,4
spotify:track:55UCywy9nGAyKUaMiWOjRf,"Ripe for Love II","Sunshine Redux","Jackson Scott",2015-04-28,227682,0,false,5forty,2015-05-27T20:59:57Z,"space rock,neo-psychedelic","Bloodmoss Records",0.427,0.367,3,-10.401,0,0.0391,0.765,0.0859,0.0946,0.339,81.691,4
