Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:56Aoj3lftfattutHJC5WS3,"Here","Amateur","Pavement",1995-03-28,235973,0,false,,2010-05-14T15:50:21Z,"alternative rock,indie","Matador",0.527,0.226,9,-13.73,1,0.0373,0.819,0.00875,0.0836,0.282,92.839,4
spotify:track:4Epg3eOUKLJJRP86FWEamF,"Sheela-na-gig","Dry","PJ Harvey",1992-03-30,192106,0,false,,2010-05-14T15:50:52Z,"art pop,singer-songwriter,alternative rock","Too Pure",0.483,0.535,1,-16.625,1,0.0453,0.0099,0.00029,0.117,0.418,127.077,4
spotify:track:1K31O0gf2FEaZny3Cz2xFW,"Can't Be Sure","Reading Writing And Arithmetic","The Sundays",1990,204133,42,false,,2010-05-14T15:54:30Z,"dream pop,jangle pop","Parlophone UK",0.516,0.391,2,-11.191,1,0.0308,0.776,0.00687,0.039,0.378,127.996,4
spotify:track:4Ukzv6kS6DAMKPlIMxIugc,"Good Vibrations - 2001 - Remaster","The Very Best Of The Beach Boys","The Beach Boys",2001,217800,0,false,,2010-05-14T15:55:10Z,"baroque pop","EMI Catalogue",0.375,0.389,10,-10.414,0,0.0396,0.222,0.00000391,0.194,0.378,146.457,4
spotify:track:7dGgCgyGJW0KUcRnxpq1Z8,"Northern Sky","Bryter Layter","Nick Drake",1970-03-06,223866,0,false,,2010-05-14T15:56:50Z,"folk,singer-songwriter","Universal Music Group",0.539,0.261,5,-18.45,0,0.0393,0.54,0.785,0.128,0.466,89.837,4
spotify:track:0SH1174K5MfKQ0UQVdmcko,"Heroin","The Best Of The Velvet Underground","The Velvet Underground;Nico",1989-01-01,430000,0,false,,2010-05-14T15:57:27Z,"proto-punk,art rock","Universal Music Ltd.",0.201,0.673,1,-13.651,1,0.059,0.126,0.739,0.095,0.208,147.328,4
spotify:track:0xb6220jAyOgKwukn1VxZ8,"God Only Knows - Remastered 1999","The Beach Boys Love Songs","The Beach Boys",2006-01-01,171626,43,false,,2010-05-14T15:57:48Z,"baroque pop","Capitol Records",0.517,0.421,9,-10.772,1,0.0321,0.252,0,0.0936,0.447,117.204,4
spotify:track:4wVziiCDtgX39cglWWQDqm,"Song To the Siren","The Dream Belongs To Me","Tim Buckley",2001,209173,35,false,,2010-05-14T15:58:06Z,"folk rock,folk","Manifesto Records",0.477,0.0506,4,-21.352,1,0.0347,0.847,0.0000677,0.126,0.0857,137.197,4
spotify:track:7mh4EbtONKosthtBQ60aXv,"The Classical","Hip Priest And Kamerads","The Fall",1985,317800,0,false,,2010-05-14T15:58:45Z,"post-punk,madchester,new wave,deathrock,proto-punk,cold wave","Beggars Banquet",0.492,0.841,1,-13.625,1,0.0551,0.00024,0.476,0.57,0.817,112.302,4
spotify:track:0GuQcX8wTe8bUZ72ZncR7m,"All Along The Watchtower","Music From The Motion Picture Watchmen","Jimi Hendrix",2009-02-24,239666,0,false,,2010-05-14T15:59:08Z,"psychedelic rock,classic rock,acid rock,blues rock","Reprise",0.433,0.787,8,-6.747,1,0.0581,0.00287,0.0000297,0.0883,0.562,113.363,4
spotify:track:5mPB8NHK8WEL4FuWDjragQ,"French Disco","Oscillons From The Anti-Sun","Stereolab",2005-04-25,267040,0,false,,2010-05-14T15:59:26Z,"art pop,krautrock,post-rock,neo-psychedelic","Too Pure",0.269,0.651,8,-4.831,1,0.0326,0.00101,0.874,0.227,0.0732,74.64,4
