Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4oZ2Xkline6CvRDebjbi8Q,"Singularity","Singularity","Jon Hopkins",2018-05-04,389200,37,false,5forty,2018-05-04T21:59:15Z,"idm,ambient","Domino Recording Co",0.526,0.776,1,-8.873,1,0.0597,0.00389,0.841,0.0865,0.0504,132.996,4
spotify:track:5S3F5GL8LASIjPg2PMiU1Q,"Emerald Rush","Singularity","Jon Hopkins",2018-05-04,336706,42,false,5forty,2018-05-04T21:59:15Z,"idm,ambient","Domino Recording Co",0.414,0.498,1,-11.945,0,0.0579,0.00629,0.87,0.205,0.37,106.978,4
spotify:track:1rbH1KmfxUjVlt8GCjgZSE,"Neon Pattern Drum","Singularity","Jon Hopkins",2018-05-04,367213,33,false,5forty,2018-05-04T21:59:15Z,"idm,ambient","Domino Recording Co",0.863,0.511,11,-10.173,1,0.189,0.00725,0.892,0.109,0.237,125.064,5
spotify:track:3oWBMOzkjjkCmV6abncBUd,"Everything Connected","Singularity","Jon Hopkins",2018-05-04,630240,35,false,5forty,2018-05-04T21:59:15Z,"idm,ambient","Domino Recording Co",0.677,0.612,0,-9.949,1,0.0614,0.00542,0.736,0.109,0.103,124.984,3
spotify:track:4esxro8J1rbsalCPb0yrgC,"Feel First Life","Singularity","Jon Hopkins",2018-05-04,333400,47,false,5forty,2018-05-04T21:59:15Z,"idm,ambient","Domino Recording Co",0.181,0.0863,1,-21.685,1,0.0374,0.956,0.95,0.0929,0.0337,70.907,4
spotify:track:4Hg9jafzzKavElQMAINzeP,"C O S M","Singularity","Jon Hopkins",2018-05-04,428440,30,false,5forty,2018-05-04T21:59:15Z,"idm,ambient","Domino Recording Co",0.433,0.449,1,-14.983,0,0.102,0.309,0.925,0.0792,0.243,106.975,4
spotify:track:6c2HWpuYwsuDCEalqiV4Jb,"Echo Dissolve","Singularity","Jon Hopkins",2018-05-04,201826,32,false,5forty,2018-05-04T21:59:15Z,"idm,ambient","Domino Recording Co",0.285,0.0731,6,-28.276,0,0.0353,0.992,0.945,0.123,0.179,70.924,4
spotify:track:3Ha9TeaqCdcS6cqKmFGCO3,"Luminous Beings","Singularity","Jon Hopkins",2018-05-04,711026,33,false,5forty,2018-05-04T21:59:15Z,"idm,ambient","Domino Recording Co",0.653,0.485,8,-16.17,1,0.0756,0.163,0.932,0.174,0.2,120.004,4
spotify:track:76KAhZF6OzEzNXs4gotNO0,"Recovery","Singularity","Jon Hopkins",2018-05-04,335800,35,false,5forty,2018-05-04T21:59:15Z,"idm,ambient","Domino Recording Co",0.368,0.0503,3,-36.711,1,0.0673,0.993,0.959,0.132,0.296,126.02,4
spotify:track:7csAqjPSaxWNAXfd321ajh,"Emerald Rush - Edit","Singularity","Jon Hopkins",2018-05-04,202226,33,false,5forty,2018-05-04T21:59:15Z,"idm,ambient","Domino Recording Co",0.716,0.577,1,-10.094,0,0.0446,0.000215,0.824,0.0924,0.349,106.998,4
spotify:track:3V7NilUDcgW1d0J4Mn8Wy8,"Everything Connected - Edit","Singularity","Jon Hopkins",2018-05-04,352457,27,false,5forty,2018-05-04T21:59:15Z,"idm,ambient","Domino Recording Co",0.628,0.577,7,-8.909,1,0.0465,0.000206,0.642,0.0838,0.192,125.014,3
spotify:track:6tQjm6Q5EHqKKmE7XVWAbx,"Singularity - Edit","Singularity","Jon Hopkins",2018-05-04,267426,24,false,5forty,2018-05-04T21:59:15Z,"idm,ambient","Domino Recording Co",0.555,0.791,1,-8.749,1,0.0384,0.00157,0.858,0.0931,0.128,132.929,4
