Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:36oDZlkwz35nVK4JWlp5W1,"Jon Hopkins Late Night Tales Continuous Mix","Late Night Tales - Jon Hopkins","Jon Hopkins",2015-02-27,4337533,0,false,5forty,2015-03-30T04:23:45Z,"idm,ambient","Late Night Tales",0.235,0.424,7,-10.385,1,0.0553,0.666,0.244,0.0902,0.0972,62.381,3
spotify:track:7l0YJoiy3JD6oEAauGuQjf,"Sleepers Beat Theme","Late Night Tales - Jon Hopkins","Ben Lukas Boysen",2015-02-27,277211,0,false,5forty,2015-03-30T04:23:45Z,"neoclassical,ambient","Late Night Tales",0.167,0.026,3,-34.532,1,0.0399,0.955,0.838,0.127,0.0395,110.934,4
spotify:track:4I3a1sNXTzjnrA0H4rc2sU,"Hold Me Down","Late Night Tales - Jon Hopkins","Darkstar",2015-02-27,437573,0,false,5forty,2015-03-30T04:23:45Z,"idm","Late Night Tales",0.191,0.26,5,-17.312,1,0.0421,0.985,0.869,0.0925,0.195,124.947,4
spotify:track:7ivV9jzBQH5mGvGRVxQJIV,"Yr Love","Late Night Tales - Jon Hopkins","Holy Other",2015-02-27,282214,0,false,5forty,2015-03-30T04:23:45Z,"witch house,chillwave","Late Night Tales",0.512,0.468,1,-9.645,1,0.0407,0.776,0.861,0.103,0.322,90.015,4
spotify:track:65xLro1IhpyY96LgXUv626,"Verbena Tea (with Rebekah Raff)","Late Night Tales - Jon Hopkins","Teebs;Rebekah Raff",2015-02-27,264333,0,false,5forty,2015-03-30T04:23:45Z,"idm","Late Night Tales",0.324,0.439,11,-9.403,1,0.0452,0.79,0.471,0.232,0.0849,128.387,1
spotify:track:36RKUepnnpjqZxkqKQhYQA,"More","Late Night Tales - Jon Hopkins","Nils Frahm",2015-02-27,535586,0,false,5forty,2015-03-30T04:23:45Z,"neoclassical,contemporary classical,minimalism,ambient","Late Night Tales",0.339,0.682,3,-12.544,0,0.0565,0.832,0.985,0.176,0.0371,175.039,4
spotify:track:6gc23JAD1zIrj8B9zbk5na,"I Am Daylights","Late Night Tales - Jon Hopkins","Songs Of Green Pheasant",2015-02-27,185333,0,false,5forty,2015-03-30T04:23:45Z,"ambient folk","Late Night Tales",0.317,0.398,8,-12.869,1,0.0306,0.861,0.019,0.102,0.217,85.305,4
spotify:track:38UtpqZNuB5mAPDWazPFUs,"Babe","Late Night Tales - Jon Hopkins","Evenings",2015-02-27,172252,0,false,5forty,2015-03-30T04:23:45Z,"chillwave","Late Night Tales",0.651,0.647,4,-7.794,0,0.0545,0.279,0.834,0.0936,0.654,173.488,4
spotify:track:6P5ogF79ptOknKdoflof8d,"After Dawn","Late Night Tales - Jon Hopkins","letherette",2015-02-27,271373,0,false,5forty,2015-03-30T04:23:45Z,"lo-fi house","Late Night Tales",0.668,0.831,7,-4.299,0,0.281,0.0789,0.376,0.232,0.276,110.024,4
spotify:track:2bqCT1pFacYg7KdLGiLllO,"I Remember","Late Night Tales - Jon Hopkins","Jon Hopkins",2015-02-27,260620,0,false,5forty,2015-03-30T04:23:45Z,"idm,ambient","Late Night Tales",0.377,0.108,9,-23.493,1,0.0332,0.916,0.981,0.17,0.254,118.576,4
spotify:track:3XdSrHkCM0ZIrlEFUV3Lsl,"Hey Maggy","Late Night Tales - Jon Hopkins","David Holmes",2015-02-27,298653,0,false,5forty,2015-03-30T04:23:45Z,"trip hop,big beat","Late Night Tales",0.289,0.12,7,-16.4,1,0.0354,0.919,0.886,0.105,0.053,72.977,4
spotify:track:0VbTiqeae7qvSfpjEblCvo,"Lady Divine","Late Night Tales - Jon Hopkins","Alela Diane",2015-02-27,312293,0,false,5forty,2015-03-30T04:23:45Z,"folk","Late Night Tales",0.493,0.284,2,-10.355,1,0.029,0.896,0.00172,0.127,0.268,78.081,4
spotify:track:54EcSxLrK36yLfR9bY9nJ6,"Gillie Amma I Love You","Late Night Tales - Jon Hopkins","Four Tet",2015-02-27,347213,0,false,5forty,2015-03-30T04:23:45Z,"idm,electronica","Late Night Tales",0.21,0.322,2,-14.41,1,0.04,0.839,0.908,0.584,0.0396,119.932,4
spotify:track:1pr8Cvahu3q309lWjQMQwG,"Connjur","Late Night Tales - Jon Hopkins","School Of Seven Bells",2015-02-27,276973,0,false,5forty,2015-03-30T04:23:45Z,"dream pop,shoegaze","Late Night Tales",0.481,0.815,2,-7.392,1,0.0358,0.237,0.0000342,0.151,0.454,130.031,4
spotify:track:1lX3VpW6lGWfosNxeaKtAE,"And It's Alright - Nils Frahm Remix","Late Night Tales - Jon Hopkins","Peter Broderick",2015-02-27,274337,0,false,5forty,2015-03-30T04:23:45Z,"neoclassical,contemporary classical,minimalism","Late Night Tales",0.644,0.452,11,-12.545,0,0.0591,0.726,0.873,0.106,0.0916,149.386,4
spotify:track:5Mg0PpHc2Cf5OoJsVgNRI1,"Before Tigers - Gold Panda Remix","Late Night Tales - Jon Hopkins","Health",2015-02-27,322986,0,false,5forty,2015-03-30T04:23:45Z,"post-rock,noise rock","Late Night Tales",0.755,0.666,0,-9.875,1,0.169,0.514,0.0278,0.0985,0.289,128.06,4
spotify:track:3eTtVReJZrKv6FoGCiQpL7,"Missing Photos","Late Night Tales - Jon Hopkins","Last Days",2015-02-27,122000,0,false,5forty,2015-03-30T04:23:45Z,"ambient,drone,post-rock,neoclassical","Late Night Tales",0.161,0.0617,1,-25.219,1,0.0362,0.933,0.896,0.0837,0.0325,63.772,4
spotify:track:0fcSwUpqSspvM6oCFB2M9B,"Down To The Sound","Late Night Tales - Jon Hopkins","Bibio",2015-02-27,155240,0,false,5forty,2015-03-30T04:23:45Z,"ambient folk,downtempo","Late Night Tales",0.512,0.474,0,-13.019,1,0.0319,0.704,0.474,0.343,0.337,78.328,4
spotify:track:4T0JpbAMrGqgiYsBjX0ZyY,"Requiem For The Static King 1","Late Night Tales - Jon Hopkins","A Winged Victory for the Sullen",2015-02-27,165680,0,false,5forty,2015-03-30T04:23:45Z,"neoclassical,drone,ambient,minimalism,contemporary classical","Late Night Tales",0.136,0.139,11,-22.141,1,0.0387,0.85,0.792,0.1,0.0346,82.879,3
spotify:track:4NJKkV0z4RTLlGtlEsV62e,"Emancipation","Late Night Tales - Jon Hopkins","Helios",2015-02-27,154733,0,false,5forty,2015-03-30T04:23:45Z,"post-rock,ambient,space music","Late Night Tales",0.431,0.0152,0,-23.205,1,0.0347,0.992,0.915,0.111,0.0847,75.174,3
spotify:track:5HgfyIK3MwjistbXVUvQxN,"I Remember","Late Night Tales - Jon Hopkins","Rick Holland",2015-02-27,208100,0,false,5forty,2015-03-30T04:23:45Z,"spoken word,ambient","Late Night Tales",0.554,0.0422,0,-24.539,1,0.525,0.632,0.00000219,0.19,0.4,168.863,3
